Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;0.29546662427543524;0.894156918235084;[[0.3335403447749788, 0.002442390435539589, 0.05971569313580569], [0.024548251974890477, 0.0048447029777685564, 0.019884355332622894]];0.5545237601978737;0.3521789145292385;506.3272559178258;[];[];False;30;;[0.06699063464832075, 0.07860473159275184, 0.09045585092380398, 0.10230697025485612, 0.11415808958590826, 0.12600920891696038, 0.1378603282480125, 0.14971144757906463, 0.16156256691011675, 0.17341368624116887, 0.185264805572221, 0.19711592490327312, 0.20896704423432524, 0.22081816356537737, 0.2326692828964295, 0.24452040222748161, 0.25637152155853377, 0.2682226408895859, 0.28007376022063807, 0.2919248795516902, 0.30377599888274237, 0.3156271182137945, 0.3274782375448467, 0.3335403447749788, 0.3404998320747841, 0.3541052849877536, 0.3677107379007231, 0.3813161908136926, 0.3949216437266621, 0.4, 0.39147290336036844, 0.37786745044739894, 0.36426199753442945, 0.35065654462145995, 0.33705109170849046, 0.32344563879552096, 0.30984018588255147, 0.29623473296958197, 0.2826292800566125, 0.269023827143643, 0.26864103545216356, 0.25541837423067343, 0.2418129213177039, 0.22820746840473438, 0.21460201549176486, 0.20099656257879533, 0.1873911096658258, 0.1737856567528563, 0.16018020383988676, 0.14657475092691724, 0.13296929801394772, 0.11936384510097821, 0.1057583921880087, 0.09215293927503919, 0.07854748636206968, 0.06494203344910017, 0.051336580536130653, 0.03773112762316114, 0.036107691089849035, 0.024548251974890477];[0.0049, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.002442390435539589, 0.005, 0.0, 0.005, 0.0, 0.005, 0.003133705542247356, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.004859324164389078, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.000596612455203364, 0.0048447029777685564];[0.11975787949808916, 0.11714172293638891, 0.11447217542444987, 0.11180262791251083, 0.10913308040057179, 0.10646353288863275, 0.10379398537669371, 0.10112443786475467, 0.09845489035281563, 0.09578534284087659, 0.09311579532893755, 0.0904462478169985, 0.08777670030505946, 0.08510715279312042, 0.08243760528118138, 0.07976805776924234, 0.0770985102573033, 0.07442896274536426, 0.07175941523342522, 0.06908986772148618, 0.06642032020954713, 0.0637507726976081, 0.06108122518566905, 0.05971569313580569, 0.07168728769380872, 0.09509116200745658, 0.11849503632110445, 0.14189891063475232, 0.1653027849484002, 0.17403848913270029, 0.18870665926204805, 0.21211053357569593, 0.2355144078893438, 0.2589182822029917, 0.28232215651663956, 0.30572603083028743, 0.3291299051439353, 0.3525337794575832, 0.37593765377123106, 0.39934152808487894, 0.4, 0.37725459760147323, 0.35385072328782535, 0.3304468489741775, 0.3070429746605296, 0.2836391003468817, 0.26023522603323385, 0.23683135171958597, 0.2134274774059381, 0.19002360309229022, 0.16661972877864234, 0.14321585446499446, 0.1198119801513466, 0.09640810583769874, 0.07300423152405087, 0.04960035721040301, 0.026196482896755146, 0.0027926085831072797, 0.0, 0.019884355332622894];2.526844328131141e-09;False;1.1896235425105186
1;380;1.3559348372118312;0;[];0;0;380;[];[0.21383228431116566, 0.004661535065058302, 0.1647783686517046];False;13;0.27532653351515757;[0.024996371923633354, 0.04993993029114391, 0.07539254087023631, 0.10084515144932871, 0.1262977620284211, 0.1517503726075135, 0.1772029831866059, 0.2026555937656983, 0.2078620607608749, 0.2281082043447907, 0.2535608149238831, 0.27901342550297553, 0.30446603608206796, 0.3299186466611604, 0.3553712572402528, 0.38082386781934524, 0.4, 0.3937235216015624, 0.36827091102246995, 0.3428183004433775, 0.3173656898642851, 0.29191307928519267, 0.26646046870610024, 0.24100785812700784, 0.21555524754791544, 0.21383228431116566];[0.0049, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.0010227766183350494, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0012329734073708975, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.004661535065058302];[0.0796506991012571, 0.068786048249158, 0.05769966982864871, 0.04661329140813941, 0.03552691298763012, 0.024440534567120822, 0.013354156146611527, 0.0022677777261022325, 0.0, 0.008818600694407062, 0.019904979114916357, 0.030991357535425652, 0.04207773595593495, 0.05316411437644424, 0.06425049279695354, 0.07533687121746283, 0.08368940768266442, 0.08642324963797213, 0.09750962805848143, 0.10859600647899073, 0.11968238489950003, 0.13076876332000933, 0.14185514174051864, 0.15294152016102794, 0.16402789858153724, 0.1647783686517046];1.3130214567835295e-09;False;0.6219416092986829
2;380;0.021116706430651253;0;[];0;0;380;[0.11866861924035366, 0.005, 0.020521073462505188];[];False;1;;[0.1170586897542197, 0.117855523540286, 0.11866861924035366];[0.0049, 0.0, 0.005];[0.03191291000913677, 0.02627452626383427, 0.020521073462505188];3.204355193835798e-11;False;0.015178136013868585
3;380;0.1368108406337905;0;[];0;0;380;[0.049020743639439215, 0.005, 0.08307984878768834];[];False;1;;[0.035755636509314015, 0.04232119458382043, 0.049020743639439215];[0.0049, 0.0, 0.005];[0.09946336463783058, 0.09135435174230563, 0.08307984878768834];4.916761152014438e-11;False;0.02328932499634887
4;380;0.030553098382402503;0;[];0;0;380;[0.009623370975612975, 0.005, 0.132070689669065];[];False;1;;[0.01799497076690938, 0.013851451678287927, 0.009623370975612975];[0.0049, 0.0, 0.005];[0.12668697765995224, 0.12935164319981612, 0.132070689669065];2.9637483499889344e-11;False;0.014038448563238704
5;380;1.1736668379405049;0;[];0;0;380;[0.0007209160275721137, 0.005, 0.10691330108434455];[];False;2;;[0.0001229710541731341, 0.0, 0.00029471043073107944, 0.0007209160275721137];[0.0049, 0.0034573740105177486, 0.0, 0.005];[0.12135231139766299, 0.119248261747118, 0.11420573053551548, 0.10691330108434455];3.700308044324995e-11;False;0.017527326214652732
6;380;0.6251537046671164;0;[];0;0;380;[0.16140677068208334, 0.005, 0.14103008427898509];[];False;1;;[0.16166127493781007, 0.16153530818497563, 0.16140677068208334];[0.0049, 0.0, 0.005];[0.13869232339471851, 0.13984939696369894, 0.14103008427898509];2.1482067520994708e-11;False;0.010175455683564733
7;380;0.1573636485597125;0;[];0;0;380;[0.008769960255187885, 0.005, 0.045909489594507275];[];False;1;;[0.01169477081230696, 0.010247137304237923, 0.008769960255187885];[0.0049, 0.0, 0.005];[0.04314565940810221, 0.04451361576298957, 0.045909489594507275];2.256116322475686e-11;False;0.010686593194012724
8;380;0.3311129781974298;0;[];0;0;380;[0.15658625991817202, 0.005, 0.0915728327335312];[];False;1;;[0.15018129597871374, 0.15335142964571835, 0.15658625991817202];[0.0049, 0.0, 0.005];[0.10281210776439893, 0.09724923426427248, 0.0915728327335312];3.439028210338003e-11;False;0.016289716580875423
9;380;1.2273831332457183;0;[];0;0;380;[0.0055901859006478325, 0.005, 0.029564362959184135];[];False;1;;[0.0016338766380635777, 0.0035920499094436635, 0.0055901859006478325];[0.0049, 0.0, 0.005];[0.03549870617037159, 0.032561505995137394, 0.029564362959184135];2.5759572892258128e-11;False;0.01220159056555237
