Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;1.479500067427495;0;[];0;0;380;[0.028977872768027758, 0.015, 0.06457350672739554];[];False;1;;[0.03046112873554517, 0.02972198111293616, 0.028977872768027758];[0.0149, 0.0, 0.015];[0.04591912250574527, 0.05521511999412617, 0.06457350672739554];7.44674749129625e-11;False;0.03527316400543238
1;380;1.8492518272906826;0;[];0;0;380;[0.0016837815879342435, 0.015, 0.12220963570792641];[];False;1;;[0.030329569261742545, 0.016054578079811317, 0.0016837815879342435];[0.0149, 0.0, 0.015];[0.0716925715132557, 0.09686662691461334, 0.12220963570792641];1.378990866005477e-10;False;0.06531894768213423
2;380;0.368279537595588;0;[];0;0;380;[0.009566788511217818, 0.015, 0.011153901174061053];[];False;1;;[0.030855528123672243, 0.02024675821646251, 0.009566788511217818];[0.0149, 0.0, 0.015];[0.02383626453089062, 0.017516290817955485, 0.011153901174061053];8.198453165146746e-11;False;0.038833783933600124
3;380;0.25050168040455456;0;[];0;0;380;[0.05599893017172101, 0.015, 0.020358394910729334];[];False;1;;[0.02095789987647779, 0.0384198179834719, 0.05599893017172101];[0.0149, 0.0, 0.015];[0.06655626057699213, 0.04353458169982438, 0.020358394910729334];1.3773029534919121e-10;False;0.06523899597840402
4;380;0.1918714429586347;0;[];0;0;380;[0.09540466952279784, 0.015, 0.0014010970565532432];[];False;2;;[0.08478907668606223, 0.09007912127694385, 0.09479723485608768, 0.09540466952279784];[0.0149, 0.0, 0.013289092581642474, 0.015];[0.023084624111900834, 0.01088270954969462, 0.0, 0.0014010970565532432];8.461141602218939e-11;False;0.040078065726961334
5;380;1.747054710115698;0;[];0;0;380;[0.09232766265859513, 0.015, 0.014667825257652782];[];False;1;;[0.05111028936499651, 0.07165005063839515, 0.09232766265859513];[0.0149, 0.0, 0.015];[0.011114302258022898, 0.012885121411684613, 0.014667825257652782];1.0776271664233947e-10;False;0.05104419053068386
6;380;0.8231198489441136;0;[];0;0;380;[0.0040807153120490745, 0.015, 0.07703210490160704];[];False;2;;[0.04054680934610884, 0.018307674984685666, 0.0, 0.0040807153120490745];[0.0149, 0.0, 0.012265961113351527, 0.015];[0.08454844323625108, 0.08080284319657896, 0.07771939457692889, 0.07703210490160704];1.1451239479138703e-10;False;0.054241324643442584
7;380;0.2560061269239288;0;[];0;0;380;[];[0.11715855817274114, 0.012431616243584184, 0.08964593661076031];False;2;0.27532653351515757;[0.04774952230184761, 0.06493124595586328, 0.07960188188448174, 0.11166801569250268, 0.11715855817274114];[0.0149, 0.0068626776226522156, 0.0, 0.015, 0.012431616243584184];[0.029491690155438115, 0.0, 0.02518151600517293, 0.08022165643531827, 0.08964593661076031];2.990529670639747e-10;False;0.14165304202791718
8;380;1.5693885728118557;0;[];0;0;380;[0.07778440032238339, 0.015, 0.07999556138127446];[];False;1;;[0.08372134502718709, 0.08076280067596384, 0.07778440032238339];[0.0149, 0.0, 0.015];[0.03903725384220858, 0.059447915458666165, 0.07999556138127446];1.07790235473479e-10;False;0.05105722543276904
9;380;1.948355926204999;0;[];0;0;380;[0.0037595804399874772, 0.015, 0.037811413495965916];[];False;2;;[0.011635559628275512, 0.003963733975529072, 0.0, 0.0037595804399874772];[0.0149, 0.0, 0.00769825057406517, 0.015];[0.025165095212027866, 0.03146710666455887, 0.03472311091168719, 0.037811413495965916];7.585371773354777e-11;False;0.035929788530689996
10;380;0.563810057426027;0;[];0;0;380;[0.010429129366498343, 0.015, 0.05635660271136336];[];False;2;;[0.026370038275448458, 0.00803199152411042, 0.0, 0.010429129366498343];[0.0149, 0.0, 0.006526140724366571, 0.015];[0.06921817181827838, 0.06280889490546789, 0.06000165711523735, 0.05635660271136336];1.0371836006468169e-10;False;0.04912849172356155
