Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;0.3013679042752045;0;[];0;0;380;[0.04084223781006791, 0.009000000000000001, 0.0485916758572949];[];False;1;;[0.05161759569146199, 0.046260015515796775, 0.04084223781006791];[0.008900000000000002, 0.0, 0.009000000000000001];[0.045838437247575275, 0.047207365941793415, 0.0485916758572949];4.4489952456929586e-11;False;0.021073648481318378
1;380;0.7532920303226585;0;[];0;0;380;[0.1750338030252591, 0.009000000000000001, 0.06112532621575896];[];False;1;;[0.18932547018448956, 0.182219557462861, 0.1750338030252591];[0.008900000000000002, 0.0, 0.009000000000000001];[0.04888738094128744, 0.05497216937384591, 0.06112532621575896];5.4826477724118375e-11;False;0.02596977194222519
2;380;1.2989989994655309;0;[];0;0;380;[0.10451341366910663, 0.009000000000000001, 0.08312360767403298];[];False;1;;[0.11339240569954595, 0.1089777113380426, 0.10451341366910663];[0.008900000000000002, 0.0, 0.009000000000000001];[0.07122318628259916, 0.07714015557778134, 0.08312360767403298];4.9098391349849047e-11;False;0.023256537334055145
3;380;3.524324656555841;0;[];0;0;380;[];[0.2875427130244762, 0.006812364872120099, 0.2502246436938928];False;15;0.27532653351515757;[0.11418512250393682, 0.18527708305765067, 0.25716782968500174, 0.3290585763123528, 0.40094932293970387, 0.47284006956705493, 0.5, 0.455269183805594, 0.38337843717824294, 0.31148769055089187, 0.2395969439235408, 0.16770619729618974, 0.09581545066883868, 0.02392470404148761, 0.0, 0.047966042585863455, 0.061039221599088145, 0.11985678921321452, 0.19174753584056559, 0.26363828246791665, 0.3355290290952677, 0.4074197757226188, 0.47931052234996985, 0.5, 0.4487987310226791, 0.376907984395328, 0.30501723776797696, 0.2875427130244762];[0.008900000000000002, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.0034001507198634087, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.006004867156415533, 0.0, 0.0016366308132660093, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.002590114967305528, 0.009000000000000001, 0.0, 0.009000000000000001, 0.006812364872120099];[0.13694464040581583, 0.1642036630237138, 0.19176896679462188, 0.21933427056552995, 0.24689957433643803, 0.2744648781073461, 0.2848788989362246, 0.30203018187825414, 0.3295954856491622, 0.35716078942007023, 0.3847260931909783, 0.4122913969618863, 0.43985670073279437, 0.4674220045037024, 0.4765955319112168, 0.49498730827461046, 0.5, 0.4774473879544815, 0.44988208418357345, 0.4223167804126654, 0.39475147664175736, 0.3671861728708493, 0.33962086909994127, 0.331687835113791, 0.3120555653290332, 0.2844902615581252, 0.25692495778721713, 0.2502246436938928];3.6383593119101133e-09;False;1.7233892363034595
4;380;0.10996366934813502;0;[];0;0;380;[0.13820636013238144, 0.009000000000000001, 0.10674951083741777];[];False;1;;[0.15377236555295645, 0.1460328433047376, 0.13820636013238144];[0.008900000000000002, 0.0, 0.009000000000000001];[0.07929666214091938, 0.09294640255426215, 0.10674951083741777];7.659688415922706e-11;False;0.036281805720032784
5;380;0.19698944322467718;0.1345949072216942;[[0.14053124101540115, 0.008700208238836575, 0.09019987987063159], [0.2580186105778521, 0.0038345395047102624, 0.03879458673631322]];1.9626756974095598;-0.3347406088178748;426.44246066289253;[];[];False;8;;[0.014380952381737994, 0.0, 0.0010064953523058055, 0.016566835757518633, 0.03212717616273146, 0.04768751656794429, 0.06324785697315712, 0.07880819737836994, 0.09436853778358277, 0.1099288781887956, 0.12548921859400844, 0.14053124101540115, 0.16554403567383968, 0.19141872116941927, 0.21729340666499886, 0.24316809216057844, 0.2580186105778521];[0.008900000000000002, 0.0005821503858435897, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.008700208238836575, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0038345395047102624];[0.17253368679350378, 0.1648903984841737, 0.16435545935389445, 0.15608534171833446, 0.14781522408277448, 0.1395451064472145, 0.1312749888116545, 0.12300487117609452, 0.11473475354053453, 0.10646463590497454, 0.09819451826941455, 0.09019987987063159, 0.07925580948830784, 0.06793462834677631, 0.056613447205244784, 0.045292266063713255, 0.03879458673631322];7.280835853575195e-10;False;0.3315843504463713
6;380;1.4407825466761077;0;[];0;0;380;[0.16485039201744137, 0.009000000000000001, 0.17392854593943197];[];False;1;;[0.17195406285795814, 0.16842207009367885, 0.16485039201744137];[0.008900000000000002, 0.0, 0.009000000000000001];[0.16912378660961955, 0.17151274515907936, 0.17392854593943197];4.1903190405900834e-11;False;0.019848371510726714
7;380;1.707465253514135;0;[];0;0;380;[0.054059695255900576, 0.009000000000000001, 0.0008190144780949697];[];False;1;;[0.05968345846689079, 0.05688728569718057, 0.054059695255900576];[0.008900000000000002, 0.0, 0.009000000000000001];[0.017396347850708864, 0.009153986564884078, 0.0008190144780949697];5.285696069002701e-11;False;0.025036866704922674
8;380;3.0548938368475542;0;[];0;0;380;[];[0.230446422292014, 0.008574129828512389, 0.21833661391420284];False;67;0.27532653351515757;[0.05907992763853138, 0.07639132596655482, 0.09389723438815156, 0.1114031428097483, 0.12890905123134505, 0.1464149596529418, 0.16392086807453854, 0.18142677649613528, 0.19893268491773203, 0.21643859333932877, 0.23394450176092552, 0.25145041018252223, 0.26895631860411895, 0.28646222702571567, 0.3039681354473124, 0.3214740438689091, 0.3389799522905058, 0.35648586071210253, 0.37399176913369925, 0.39149767755529596, 0.4090035859768927, 0.4265094943984894, 0.4440154028200861, 0.46152131124168283, 0.47902721966327955, 0.49653312808487626, 0.5, 0.485960963493527, 0.4684550550719303, 0.4509491466503336, 0.43344323822873687, 0.41593732980714015, 0.39843142138554344, 0.3809255129639467, 0.36341960454235, 0.3459136961207533, 0.3284077876991566, 0.31090187927755986, 0.29339597085596314, 0.2758900624343664, 0.2583841540127697, 0.24087824559117296, 0.22337233716957622, 0.20586642874797947, 0.20149674533041798, 0.18836052032638273, 0.17085461190478599, 0.15334870348318924, 0.1358427950615925, 0.11833688663999575, 0.10083097821839901, 0.08332506979680226, 0.06581916137520552, 0.04831325295360878, 0.030807344532012046, 0.013301436110415309, 0.0, 0.0042044723111814295, 0.021710380732778166, 0.0392162891543749, 0.05672219757597164, 0.07422810599756838, 0.09173401441916512, 0.10923992284076187, 0.1267458312623586, 0.14425173968395535, 0.1617576481055521, 0.17926355652714884, 0.1967694649487456, 0.21427537337034233, 0.23178128179193908, 0.24928719021353582, 0.26679309863513256, 0.2842990070567293, 0.301804915478326, 0.3193108238999227, 0.33681673232151943, 0.35432264074311615, 0.37182854916471286, 0.3893344575863096, 0.4068403660079063, 0.424346274429503, 0.44185218285109973, 0.45935809127269644, 0.47686399969429316, 0.4943699081158899, 0.5, 0.4881241834625134, 0.4706182750409167, 0.45311236661932, 0.43560645819772326, 0.41810054977612654, 0.4005946413545298, 0.3830887329329331, 0.3655828245113364, 0.3480769160897397, 0.33057100766814296, 0.31306509924654624, 0.2955591908249495, 0.2780532824033528, 0.2605473739817561, 0.24304146556015935, 0.2255355571385626, 0.20802964871696586, 0.19052374029536912, 0.17301783187377237, 0.15551192345217563, 0.13800601503057888, 0.12050010660898214, 0.1029941981873854, 0.08548828976578865, 0.0679823813441919, 0.05047647292259517, 0.03297056450099843, 0.015464656079401694, 0.0, 0.002041252342195043, 0.01954716076379178, 0.03705306918538852, 0.054558977606985255, 0.07206488602858199, 0.08957079445017874, 0.10707670287177548, 0.12458261129337223, 0.14208851971496897, 0.1595944281365657, 0.17710033655816246, 0.1946062449797592, 0.21211215340135595, 0.2296180618229527, 0.230446422292014];[0.008900000000000002, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.001782360931216826, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0067534927173767065, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.00683842975244004, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.006105501426336759, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0010494326051135438, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.0, 0.009000000000000001, 0.008574129828512389];[0.11274412918299756, 0.11010456067321069, 0.10743533409028014, 0.10476610750734959, 0.10209688092441904, 0.0994276543414885, 0.09675842775855795, 0.0940892011756274, 0.09141997459269685, 0.0887507480097663, 0.08608152142683576, 0.08341229484390521, 0.08074306826097466, 0.07807384167804411, 0.07540461509511356, 0.07273538851218302, 0.07006616192925247, 0.06739693534632192, 0.06472770876339137, 0.06205848218046083, 0.05938925559753029, 0.05672002901459975, 0.05405080243166921, 0.05138157584873867, 0.04871234926580813, 0.04604312268287759, 0.04551450877421306, 0.043373896099947046, 0.040704669517016505, 0.038035442934085964, 0.03536621635115542, 0.03269698976822488, 0.030027763185294338, 0.027358536602363794, 0.02468931001943325, 0.022020083436502705, 0.01935085685357216, 0.016681630270641616, 0.014012403687711072, 0.011343177104780527, 0.008673950521849983, 0.006004723938919439, 0.003335497355988895, 0.0006662707730583509, 0.0, 0.002002955809872193, 0.004672182392802737, 0.007341408975733281, 0.010010635558663826, 0.01267986214159437, 0.015349088724524914, 0.018018315307455457, 0.020687541890386, 0.023356768473316546, 0.02602599505624709, 0.028695221639177634, 0.030723368137034978, 0.031364448222108175, 0.034033674805038716, 0.03670290138796926, 0.0393721279708998, 0.04204135455383034, 0.04471058113676088, 0.04737980771969142, 0.05004903430262196, 0.0527182608855525, 0.05538748746848304, 0.058056714051413584, 0.060725940634344125, 0.06339516721727467, 0.06606439380020522, 0.06873362038313577, 0.07140284696606632, 0.07407207354899686, 0.07674130013192741, 0.07941052671485796, 0.08207975329778851, 0.08474897988071906, 0.0874182064636496, 0.09008743304658015, 0.0927566596295107, 0.09542588621244125, 0.0980951127953718, 0.10076433937830234, 0.10343356596123289, 0.10610279254416344, 0.10696124504828304, 0.10877201912709397, 0.11144124571002452, 0.11411047229295507, 0.11677969887588562, 0.11944892545881616, 0.12211815204174671, 0.12478737862467726, 0.1274566052076078, 0.13012583179053833, 0.13279505837346886, 0.1354642849563994, 0.13813351153932993, 0.14080273812226046, 0.143471964705191, 0.14614119128812153, 0.14881041787105206, 0.1514796444539826, 0.15414887103691313, 0.15681809761984367, 0.1594873242027742, 0.16215655078570473, 0.16482577736863527, 0.1674950039515658, 0.17016423053449634, 0.17283345711742687, 0.1755026837003574, 0.17817191028328794, 0.18084113686621847, 0.1831991219595309, 0.183510363449149, 0.18617959003207954, 0.18884881661501007, 0.1915180431979406, 0.19418726978087114, 0.19685649636380168, 0.1995257229467322, 0.20219494952966274, 0.20486417611259328, 0.2075334026955238, 0.21020262927845434, 0.21287185586138488, 0.2155410824443154, 0.21821030902724595, 0.21833661391420284];5.201625784040406e-09;False;2.463864923441964
9;380;0.7150310166984412;0;[];0;0;380;[0.19647041180150832, 0.009000000000000001, 0.04962530449876564];[];False;1;;[0.20233703053282914, 0.19942010837032884, 0.19647041180150832];[0.008900000000000002, 0.0, 0.009000000000000001];[0.058064559115190977, 0.0538685051438957, 0.04962530449876564];4.3576424679612525e-11;False;0.020640935875573592
