Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;3.1500177518278427;0;[];0;0;380;[];[0.15534727490696237, 0.0019259578939371958, 0.14241142687565372];False;43;0.27532653351515757;[0.09322458742959684, 0.06717538601790848, 0.04909980509555047, 0.04095135775110813, 0.014727329484307765, 0.0, 0.0114966987824926, 0.03772072704929296, 0.06394475531609332, 0.09016878358289368, 0.11639281184969405, 0.14261684011649442, 0.1688408683832948, 0.19506489665009516, 0.201325460879523, 0.22128892491689553, 0.2475129531836959, 0.27373698145049624, 0.2999610097172966, 0.326185037984097, 0.35000000000000003, 0.3475909337491027, 0.32136690548230235, 0.295142877215502, 0.2689188489487016, 0.24824927314540363, 0.24269482068190124, 0.21647079241510087, 0.1902467641483005, 0.16402273588150013, 0.13779870761469976, 0.11157467934789939, 0.08535065108109902, 0.05912662281429865, 0.03290259454749829, 0.006678566280697927, 0.0, 0.0021759928296697915, 0.019545461986102436, 0.0457694902529028, 0.07199351851970316, 0.09821754678650352, 0.12444157505330389, 0.15066560332010426, 0.17688963158690463, 0.203113659853705, 0.22933768812050537, 0.25260125880474327, 0.25556171638730574, 0.2817857446541061, 0.3080097729209065, 0.33423380118770685, 0.35000000000000003, 0.33954217054549285, 0.3133181422786925, 0.2870941140118921, 0.26087008574509174, 0.23464605747829137, 0.208422029211491, 0.19697347522018338, 0.18219800094469063, 0.15597397267789026, 0.1297499444110899, 0.10352591614428952, 0.07730188787748915, 0.05107785961068879, 0.024853831343888425, 0.0, 0.0013701969229119398, 0.0275942251897123, 0.05345179075489009, 0.053818253456512664, 0.08004228172331303, 0.10626630999011338, 0.13249033825691375, 0.15534727490696237];[0.0149, 0.0, 0.010339132915694183, 0.015, 0.0, 0.008423951500398914, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.003581008321299955, 0.015, 0.0, 0.015, 0.0, 0.015, 0.001377972651486493, 0.0, 0.015, 0.0, 0.015, 0.0031771162730942857, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.01117989680337193, 0.00993524086748854, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.013306634538117229, 0.015, 0.0, 0.015, 0.0, 0.009018179044742645, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.006548509943722964, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0007837451071427935, 0.0, 0.015, 0.000209614650671262, 0.0, 0.015, 0.0, 0.015, 0.0019259578939371958];[0.06166979101243505, 0.025262839586861117, 0.0, 0.011388453794589144, 0.048039747176039406, 0.06862299503418799, 0.08469104055748967, 0.12134233393893994, 0.15799362732039018, 0.19464492070184045, 0.2312962140832907, 0.26794750746474094, 0.3045988008461912, 0.3412500942276414, 0.35000000000000003, 0.3220986123909084, 0.2854473190094582, 0.24879602562800793, 0.21214473224655767, 0.1754934388651074, 0.14220911081174023, 0.13884214548365714, 0.10219085210220688, 0.06553955872075662, 0.028888265339306357, 0.0, 0.0077630280421439, 0.04441432142359416, 0.08106561480504443, 0.11771690818649469, 0.15436820156794495, 0.1910194949493952, 0.22767078833084547, 0.26432208171229576, 0.300973375093746, 0.33762466847519623, 0.34695878334233166, 0.35000000000000003, 0.3257240381433536, 0.28907274476190337, 0.25242145138045313, 0.21577015799900287, 0.1791188646175526, 0.14246757123610235, 0.10581627785465209, 0.06916498447320182, 0.03251369109175156, 0.0, 0.004137602289698696, 0.04078889567114896, 0.07744018905259922, 0.11409148243404948, 0.13612667749640345, 0.15074277581549975, 0.18739406919695, 0.22404536257840027, 0.26069665595985053, 0.2973479493413008, 0.33399924272275106, 0.35000000000000003, 0.3293494638957988, 0.29269817051434854, 0.2560468771328983, 0.21939558375144805, 0.18274429036999779, 0.14609299698854752, 0.10944170360709726, 0.07470542834952479, 0.07279041022564701, 0.03613911684419675, 0.0, 0.0005121765372535089, 0.03716346991870377, 0.07381476330015403, 0.1104660566816043, 0.14241142687565372];6.3037919230959866e-09;False;2.9859302550458757
1;380;0.15496418478658372;4.408438089972802;[[0.06161106767638523, 0.01417013920130986, 0.21226361954664433]];1.2683446323079794;0.49604528705783313;416.37360196430393;[];[0.15446646564378222, 0.006753525832119956, 0.20644207226669836];False;19;0.2683799504570655;[0.026484138919515808, 0.0, 0.018669362726591917, 0.06161106767638523, 0.06314450021550272, 0.09086178499756263, 0.11857906977962254, 0.14629635456168244, 0.17401363934374234, 0.20173092412580224, 0.22944820890786213, 0.25716549368992203, 0.28488277847198196, 0.3126000632540419, 0.3403173480361018, 0.35000000000000003, 0.33196536718183833, 0.3042480823997784, 0.2765307976177185, 0.25016553227362376, 0.24881351283565858, 0.2210962280535987, 0.1933789432715388, 0.1656616584894789, 0.137944373707419, 0.11022708892535908, 0.08250980414329917, 0.05479251936123926, 0.02707523457917935, 0.0, 0.0006420502028805615, 0.02835933498494047, 0.056076619767000374, 0.08379390454906029, 0.1115111893311202, 0.1392284741131801, 0.15446646564378222];[0.0149, 0.006160618656032813, 0.0, 0.01417013920130986, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.009759956445932964, 0.0, 0.015, 0.0, 0.014268316080419107, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.00034746379809330943, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.006753525832119956];[0.08813441207228541, 0.1254514841554478, 0.15175726501289366, 0.21226361954664433, 0.2128076605487587, 0.22264137608827592, 0.23247509162779315, 0.24230880716731037, 0.2521425227068276, 0.2619762382463448, 0.27180995378586204, 0.28164366932537926, 0.2914773848648965, 0.3013111004044137, 0.31114481594393095, 0.3145800891256227, 0.3209785314834482, 0.3308122470229654, 0.34064596256248264, 0.35000000000000003, 0.3495203218980002, 0.33968660635848297, 0.32985289081896574, 0.3200191752794485, 0.3101854597399313, 0.30035174420041405, 0.2905180286608968, 0.2806843131213796, 0.27085059758186236, 0.26124467271906043, 0.26101688204234513, 0.2511831665028279, 0.24134945096331067, 0.23151573542379345, 0.22168201988427622, 0.211848304344759, 0.20644207226669836];2.3302353635830747e-09;False;1.0993437012589575
2;380;0.27149556441065137;0;[];0;0;380;[];[0.14555193039846523, 0.009760969771435318, 0.15268451280780576];False;5;0.27532653351515757;[0.05033226038548867, 0.02700880616541045, 0.003528818695533044, 0.0, 0.01995116877434436, 0.043431156244221766, 0.06691114371409917, 0.09039113118397658, 0.11387111865385399, 0.1373511061237314, 0.14555193039846523];[0.0149, 0.0, 0.015, 0.012745642730819053, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.009760969771435318];[0.10158976283755482, 0.10767349045767632, 0.11379804846451005, 0.11471851125539179, 0.11992260647134378, 0.12604716447817751, 0.13217172248501124, 0.13829628049184498, 0.1444208384986787, 0.15054539650551244, 0.15268451280780576];5.02444297334473e-10;False;0.2379938372314555
3;380;0.08767503621095447;4.158417586821179;[[0.11795928702144934, 0.014181369728973497, 0.08002007842705713]];1.907850362434685;-0.053371288138365294;469.2708302065761;[];[0.13738223093871643, 0.005748341475545958, 0.17244371505549486];True;5;0.23373679830588984;[0.035880479055463634, 0.07569261351273088, 0.11577194350326837, 0.11795928702144934, 0.345985173824353, 0.35000000000000003, 0.3165814654812511, 0.03579838256619061, 0.0, 0.13738223093871643];[0.0149, 0.0, 0.015, 0.014181369728973497, 0.0019997658141883094, 0.0017852856823745164, 0.0, 0.015, 0.013087578023155692, 0.005748341475545958];[0.08253940606493865, 0.08131741206737945, 0.08008721676782322, 0.08002007842705713, 0.0, 0.0014089045325102346, 0.013136317549520172, 0.1116702367938501, 0.12423279896901403, 0.17244371505549486];1.88221718616249e-09;False;0.8510782304110551
4;380;2.590880439951618;5.547253011639218;[[0.0951924354548438, 0.01367039866569428, 0.1441774381778467]];5.498190151568189;0.9909599658456671;459.3721671579427;[0.07641519956147302, 0.015, 0.1784771659942207];[];False;50;;[0.0661025459774528, 0.039387905607693216, 0.012493972349545985, 0.0, 0.014399960908601246, 0.041293894166748474, 0.06818782742489571, 0.09508176068304294, 0.12197569394119018, 0.1488696271993374, 0.17576356045748465, 0.20265749371563188, 0.22955142697377912, 0.2564453602319263, 0.28333929349007353, 0.31023322674822074, 0.33712716000636794, 0.35000000000000003, 0.3359789067354849, 0.3090849734773377, 0.2821910402191905, 0.2552971069610433, 0.22840317370289606, 0.20150924044474883, 0.1746153071866016, 0.14772137392845436, 0.12082744067030712, 0.09393350741215989, 0.06703957415401265, 0.04014564089586542, 0.013251707637718189, 0.0, 0.01364222562042904, 0.04053615887857627, 0.0674300921367235, 0.09432402539487074, 0.12121795865301797, 0.1481118919111652, 0.17500582516931243, 0.20189975842745966, 0.2287936916856069, 0.25568762494375413, 0.28258155820190134, 0.30947549146004855, 0.33636942471819575, 0.35000000000000003, 0.3367366420236571, 0.3098427087655099, 0.2829487755073627, 0.2560548422492155, 0.22916090899106825, 0.20226697573292102, 0.17537304247477378, 0.14847910921662655, 0.12158517595847931, 0.09469124270033208, 0.06779730944218484, 0.04090337618403761, 0.014009442925890379, 0.0, 0.012884490332256852, 0.03977842359040408, 0.06667235684855131, 0.09356629010669855, 0.12046022336484578, 0.147354156622993, 0.17424808988114024, 0.20114202313928747, 0.2280359563974347, 0.25492988965558194, 0.28182382291372915, 0.30871775617187636, 0.33561168943002356, 0.35000000000000003, 0.3374943773118293, 0.3106004440536821, 0.2837065107955349, 0.2568125775373877, 0.22991864427924044, 0.2030247110210932, 0.17613077776294597, 0.14923684450479874, 0.1223429112466515, 0.09544897798850427, 0.06855504473035703, 0.0416611114722098, 0.014767178214062569, 0.0, 0.01212675504408466, 0.03902068830223189, 0.06591462156037912, 0.09280855481852636, 0.0951924354548438, 0.08623921846280702, 0.07641519956147302];[0.0149, 0.0, 0.015, 0.008031529325060103, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.007179782817598315, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0076089050397432694, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.0076024071029151385, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.007186280754426446, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.008025031388231962, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.0, 0.015, 0.006763656469109621, 0.0, 0.015, 0.0, 0.015, 0.01367039866569428, 0.0, 0.015];[0.05194754177168184, 0.05303713359144092, 0.0541340381079769, 0.05464362123842291, 0.055230942624512884, 0.05632784714104887, 0.057424751657584844, 0.05852165617412082, 0.0596185606906568, 0.06071546520719277, 0.06181236972372875, 0.06290927424026473, 0.0640061787568007, 0.06510308327333668, 0.06619998778987266, 0.06729689230640863, 0.06839379682294461, 0.068918832569636, 0.06949070133948058, 0.07058760585601656, 0.07168451037255254, 0.07278141488908851, 0.07387831940562449, 0.07497522392216047, 0.07607212843869644, 0.07716903295523242, 0.0782659374717684, 0.07936284198830437, 0.08045974650484035, 0.08155665102137633, 0.0826535555379123, 0.0831940439008491, 0.08375046005444828, 0.08484736457098425, 0.08594426908752023, 0.08704117360405621, 0.08813807812059218, 0.08923498263712816, 0.09033188715366414, 0.09142879167020011, 0.09252569618673609, 0.09362260070327207, 0.09471950521980804, 0.09581640973634402, 0.09691331425288, 0.09746925523206218, 0.09801021876941597, 0.09910712328595195, 0.10020402780248792, 0.1013009323190239, 0.10239783683555988, 0.10349474135209585, 0.10459164586863183, 0.1056885503851678, 0.10678545490170378, 0.10788235941823976, 0.10897926393477574, 0.11007616845131171, 0.11117307296784769, 0.11174446656327527, 0.11226997748438367, 0.11336688200091964, 0.11446378651745562, 0.1155606910339916, 0.11665759555052757, 0.11775450006706355, 0.11885140458359952, 0.1199483091001355, 0.12104521361667148, 0.12214211813320745, 0.12323902264974343, 0.1243359271662794, 0.12543283168281538, 0.12601967789448837, 0.12652973619935137, 0.12762664071588736, 0.12872354523242335, 0.12982044974895934, 0.13091735426549533, 0.13201425878203132, 0.13311116329856731, 0.1342080678151033, 0.1353049723316393, 0.13640187684817529, 0.13749878136471128, 0.13859568588124727, 0.13969259039778326, 0.14029488922570163, 0.14078949491431925, 0.14188639943085524, 0.14298330394739123, 0.14408020846392722, 0.1441774381778467, 0.16053197021076504, 0.1784771659942207];5.6314284645049125e-09;False;2.6393680432716677
5;380;0.2457619011090902;10.30658678433097;[[0.2155719220163097, 0.002734144264471749, 0.07994557996921589]];1.613810822925501;-0.7908192080938711;469.2708302065761;[0.23311482595235217, 0.015, 0.07887192082204908];[];False;3;;[0.05591937928900518, 0.1469538624965226, 0.1908180650976243, 0.2155719220163097, 0.21827658199107947, 0.23311482595235217];[0.0149, 0.004844944299039689, 0.0, 0.002734144264471749, 0.0, 0.015];[0.10606252360027978, 0.0, 0.05110533788588172, 0.07994557996921589, 0.07978004962529596, 0.07887192082204908];9.32450222257362e-10;False;0.2707300026642066
6;380;6.111592828719897;0;[];0;0;380;[];[0.21044006872318433, 0.013215768223483226, 0.16890464925628412];True;2;0.27532653351515757;[0.09666731248812253, 0.24533469619751813, 0.35000000000000003, 0.21044006872318433];[0.0149, 0.014262700341515853, 0.013814026525483362, 0.013215768223483226];[0.10281743527908448, 0.0, 0.07238587127296899, 0.16890464925628412];1.0085103313530705e-09;False;0.4777031900244758
7;380;0.05947298018941992;0;[];0;0;380;[0.06625728024518436, 0.015, 0.04456105356804706];[];False;1;;[0.06380763712146269, 0.06502836229014004, 0.06625728024518436];[0.0149, 0.0, 0.015];[0.034137813460244484, 0.03933200334674142, 0.04456105356804706];6.704917914315585e-11;False;0.03175932439109026
8;380;4.473296621155669;0;[];0;0;380;[];[0.13836587415511553, 0.010260031537755777, 0.1712522608918751];True;2;0.27532653351515757;[0.01947489623715593, 0.0, 0.027986567418316375, 0.13836587415511553];[0.0149, 0.014327505934485056, 0.013504798405468725, 0.010260031537755777];[0.07363593047035735, 0.043420846594171586, 0.0, 0.1712522608918751];6.151627517039829e-10;False;0.29138542237734155
9;380;1.5657581496621662;0;[];0;0;380;[];[0.1471980853876048, 0.012319493727156612, 0.1517412526081548];True;4;0.27532653351515757;[0.024716102779161246, 0.22054356201120362, 0.35000000000000003, 0.2823147005068746, 0.08517296302495278, 0.0, 0.11196877445696905, 0.1471980853876048];[0.0149, 0.0, 0.009850002311205237, 0.015, 0.0, 0.006480588340616856, 0.015, 0.012319493727156612];[0.008166415608533175, 0.04235062405784529, 0.06494891481170072, 0.07676425672493802, 0.11117788939203074, 0.1260459285000729, 0.14559152205912346, 0.1517412526081548];1.7675971139159042e-09;False;0.8372614079845968
