Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;0.16503013423673882;0;[];0;0;380;[0.2139381319344806, 0.024, 0.12629630458714627];[];False;1;;[0.1825458564674683, 0.19820922564620722, 0.2139381319344806];[0.0239, 0.0, 0.024];[0.12127756815320868, 0.12378169760563265, 0.12629630458714627];1.2137038145180553e-10;False;0.057489761474458355
1;380;0.40006952504732535;11.877265903427539;[[0.3380735522629867, 0.009958605651143366, 0.28214897651542126]];5.883424769262805;0.9958294492895516;489.0345374100244;[0.316068427999151, 0.024, 0.3779215232924705];[];False;3;;[0.06596232303542773, 0.12511618784727868, 0.18451755836963948, 0.2439189288920003, 0.30332029941436106, 0.3380735522629867, 0.33162039110851604, 0.316068427999151];[0.0239, 0.0, 0.024, 0.0, 0.024, 0.009958605651143366, 0.0, 0.024];[0.010259304757760438, 0.06936500551309813, 0.12871801045569664, 0.18807101539829515, 0.24742402034089367, 0.28214897651542126, 0.3102349655385366, 0.3779215232924705];1.1406169195197415e-09;False;0.5040396799370763
2;380;0.5349712682859311;0;[];0;0;380;[0.13251096366628282, 0.024, 0.04105598772808549];[];False;1;;[0.1980638870324643, 0.1653558522004865, 0.13251096366628282];[0.0239, 0.0, 0.024];[0.051171477096695395, 0.04612429137832845, 0.04105598772808549];1.7272787610302955e-10;False;0.08181637297643378
3;380;2.7860410621254954;0;[];0;0;380;[];[0.21990604248263418, 0.01664128034039545, 0.23283272760880824];False;5;0.27532653351515757;[0.12602232268772998, 0.10705567256396643, 0.06547149214798056, 0.0046673108528347065, 0.0, 0.05613687044231115, 0.116941051737457, 0.17774523303260287, 0.21990604248263418];[0.0239, 0.016413679268852115, 0.0, 0.024, 0.022157767145579915, 0.0, 0.024, 0.0, 0.01664128034039545];[0.013506342420819523, 0.0, 0.02961251334961592, 0.0729117827425218, 0.0762354217695217, 0.11621105213542769, 0.15951032152833358, 0.20280959092123946, 0.23283272760880824];9.417616309273295e-10;False;0.4460861940135529
4;380;0.05716174087339881;3.6920411828703252;[[0.11561495002968576, 0.020906041582275457, 0.14402110195557136]];0.9849324609106148;0.18684479647022317;473.2693773900932;[];[0.22763630652774025, 0.005916331486583801, 0.21967313825196236];True;0;0.23373679830588984;[0.15886589262288883, 0.11561495002968576, 0.13198077893152715, 0.22763630652774025];[0.0239, 0.020906041582275457, 0.024, 0.005916331486583801];[0.18127505204774252, 0.14402110195557136, 0.1550735326777804, 0.21967313825196236];7.321200380959735e-10;False;0.19398464388999634
5;380;0.008050520474631945;1.776516618535672;[[0.007601533128867121, 0.018648181785368312, 0.12748351136732283], [0.46248942750401717, 0.01865832770657516, 0.15791033927991907]];0.2647779315271916;-0.20796767100207691;481.3400130873551;[];[];False;5;;[0.008849266387267275, 0.007601533128867121, 0.09597370774753146, 0.10643078391518296, 0.20970770150943613, 0.23908162461899835, 0.3234416952713408, 0.37173246532281373, 0.4371756890332455, 0.46248942750401717];[0.0239, 0.018648181785368312, 0.0, 0.002206638663802014, 0.024, 0.017801552804825316, 0.0, 0.010190255726547354, 0.024, 0.01865832770657516];[0.13345615291598564, 0.12748351136732283, 0.46058420695953145, 0.5, 0.11071894815634342, 0.0, 0.3179778967277817, 0.5, 0.25332525838809317, 0.15791033927991907];4.137137510369585e-09;False;1.784567139010304
6;380;1.759445781030601;0;[];0;0;380;[0.22209747448598055, 0.024, 0.17732122364338182];[];False;1;;[0.2042448303324769, 0.2131525170813023, 0.22209747448598055];[0.0239, 0.0, 0.024];[0.1887786693932616, 0.18306190627380176, 0.17732122364338182];1.1059765348639326e-10;False;0.05238702097259461
7;380;0.6571326656773617;0;[];0;0;380;[0.007310529166494633, 0.024, 0.11760517380315107];[];False;2;;[0.01142770043280406, 0.0020781453717761116, 0.0, 0.007310529166494633];[0.0239, 0.0, 0.005312303533296513, 0.024];[0.05459913821318833, 0.08603638770379604, 0.09302401161785794, 0.11760517380315107];1.717104442892647e-10;False;0.08133444392924614
8;380;5.248787861978708;0;[];0;0;380;[0.17174386094627944, 0.024, 0.21333369783155834];[];False;1;;[0.1515679592914005, 0.16163484967869918, 0.17174386094627944];[0.0239, 0.0, 0.024];[0.17799734652070717, 0.19562863663196695, 0.21333369783155834];1.3268693570546148e-10;False;0.06285009730741266
9;380;0.04492529649750774;0.5035658851766609;[[0.05974026201441427, 0.0022754183425407228, 0.09741467433010229], [0.4146346933754593, 0.02102895975137295, 0.12099957380451612]];4.759241897334606;0.33906375926892335;481.3400130873551;[];[];False;5;;[0.08908572832351402, 0.05974026201441427, 0.05328853919022045, 0.0, 0.014761078273861538, 0.08281069573794353, 0.15086031320202553, 0.21890993066610753, 0.28695954813018953, 0.35500916559427154, 0.4146346933754593];[0.0239, 0.0022754183425407228, 0.0, 0.01879400631811537, 0.024, 0.0, 0.024, 0.0, 0.024, 0.0, 0.02102895975137295];[0.12367306995189054, 0.09741467433010229, 0.09773544007145626, 0.10038483128753929, 0.10111872025715586, 0.10450200044285546, 0.10788528062855506, 0.11126856081425465, 0.11465184099995425, 0.11803512118565385, 0.12099957380451612];1.1868144175694156e-09;False;0.5484911816741685
