Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;0.6032605960463622;0;[];0;0;380;[0.02906072845920228, 0.024, 0.05938974274064818];[];False;1;;[0.06082279497175055, 0.044974916273422705, 0.02906072845920228];[0.0239, 0.0, 0.024];[0.025203050918072623, 0.042260711347290904, 0.05938974274064818];1.4117948423222533e-10;False;0.0668727804634987
1;380;3.728853571954864;0;[];0;0;380;[0.05005855336567609, 0.024, 0.06832910837302418];[];False;2;;[0.02422368400031459, 0.0, 0.012839895812778885, 0.05005855336567609];[0.0239, 0.0082796511150012, 0.0, 0.024];[0.041826990010012915, 0.05046941871610413, 0.05505038518487657, 0.06832910837302418];1.9480716383803487e-10;False;0.09227471520316084
2;380;2.8864740575945307;0;[];0;0;380;[];[0.20977027586467156, 0.011691785796966692, 0.18589118601776106];True;8;0.27532653351515757;[0.04047211023630653, 0.08770231643441567, 0.13189149257266952, 0.13513013855803993, 0.1825579606816642, 0.22998578280528845, 0.2774136049289127, 0.32484142705253694, 0.35000000000000003, 0.3277307508238389, 0.3241555199742434, 0.28030292870021467, 0.2328751065765904, 0.20977027586467156];[0.0239, 0.0, 0.02236114120006845, 0.024, 0.0, 0.024, 0.0, 0.024, 0.011268954725240211, 0.0, 0.0018091815425686874, 0.024, 0.0, 0.011691785796966692];[0.13115963100833153, 0.06339832854624515, 0.0, 0.004646494009824843, 0.07269131656589484, 0.14073613912196484, 0.20878096167803484, 0.27682578423410487, 0.3129208557622017, 0.3448706067901749, 0.35000000000000003, 0.28708457065375514, 0.21903974809768514, 0.18589118601776106];1.7286450550668292e-09;False;0.8188109051074874
3;380;1.3298495611056544;0;[];0;0;380;[0.05160251283786518, 0.024, 0.01669329311827761];[];False;1;;[0.03552729299770769, 0.04354812293883011, 0.05160251283786518];[0.0239, 0.0, 0.024];[0.02997334229739121, 0.023347179972113233, 0.01669329311827761];1.1029059787855356e-10;False;0.05224157730303584
4;380;0.2535681503645169;0;[];0;0;380;[0.0580977597673763, 0.024, 0.04245399818904076];[];False;1;;[0.06405381210844074, 0.0610820031115422, 0.0580977597673763];[0.0239, 0.0, 0.024];[0.02335476014100606, 0.032884442590860534, 0.04245399818904076];1.0959093630923482e-10;False;0.051910167149653796
5;380;6.850115699415492;0;[];0;0;380;[0.05188806492972374, 0.024, 0.00035207420878580024];[];False;1;;[0.05759597714868414, 0.05474797919392102, 0.05188806492972374];[0.0239, 0.0, 0.024];[0.009657971342075782, 0.005014736655528171, 0.00035207420878580024];1.0371795793588523e-10;False;0.04912830124637664
6;380;3.534847144298618;0;[];0;0;380;[0.0010791778547869866, 0.024, 0.022853168804725876];[];False;1;;[0.02614547448119894, 0.01363849140455498, 0.0010791778547869866];[0.0239, 0.0, 0.024];[0.027653912418087626, 0.025258551826034478, 0.022853168804725876];1.1458350343862774e-10;False;0.054275006824545904
7;380;0.23405541081258793;0;[];0;0;380;[0.16664447979860644, 0.024, 0.07180901835984119];[];False;1;;[0.1167706591681304, 0.14165550912780425, 0.16664447979860644];[0.0239, 0.0, 0.024];[0.08871024037836636, 0.0802772715632776, 0.07180901835984119];1.502855912759251e-10;False;0.07118608916073686
8;380;2.460514636948415;0;[];0;0;380;[];[0.20879766051937604, 0.018431735537104817, 0.17605213989072524];False;4;0.27532653351515757;[0.0829299200087347, 0.0, 0.16414686446056953, 0.24121840104860087, 0.35000000000000003, 0.20879766051937604];[0.0239, 0.0177854377473139, 0.005682613806067294, 0.0, 0.008020649949559885, 0.018431735537104817];[0.1330000563986072, 0.0883593425331409, 0.0, 0.041487178712287985, 0.10004370731023968, 0.17605213989072524];1.3794377825124087e-09;False;0.6534011686943939
9;380;1.3377729120027295;0;[];0;0;380;[0.01682890202487182, 0.024, 0.07985291830389636];[];False;1;;[0.005903262047616035, 0.011354677401612136, 0.01682890202487182];[0.0239, 0.0, 0.024];[0.0602223714417754, 0.07001715369657062, 0.07985291830389636];1.1169516230523952e-10;False;0.05290688026163079
10;380;0.020383778504791193;8.956971894941498;[[0.02658765179740351, 0.008451697032747582, 0.11815496339829583]];2.5816339229822702;0.11021724343082448;444.1743259711958;[];[0.1922255667015489, 0.021217863310348677, 0.14767885153459537];False;1;0.2523603297418939;[0.0393851135622204, 0.02658765179740351, 0.10020861599945564, 0.16708556303128197, 0.1922255667015489];[0.0239, 0.008451697032747582, 0.016599014285381106, 0.024, 0.021217863310348677];[0.11453925683630582, 0.11815496339829583, 0.0, 0.10733142813843978, 0.14767885153459537];7.289566485371716e-10;False;0.3341345411071838
11;380;1.6747013617434858;0;[];0;0;380;[];[0.1461356887578981, 0.001686434857877301, 0.15018304525100923];False;11;0.27532653351515757;[0.015919145299620695, 0.11801515434981588, 0.22053834335419598, 0.32306153235857604, 0.35000000000000003, 0.27441527863704396, 0.1718920896326639, 0.06936890062828381, 0.0, 0.03315428837609628, 0.13567747738047636, 0.23820066638485643, 0.3407238553892365, 0.35000000000000003, 0.2567529556063835, 0.15422976660200344, 0.05170657759762336, 0.0, 0.05081661140675674, 0.1461356887578981];[0.0239, 0.0, 0.024, 0.0, 0.006306116983608015, 0.024, 0.0, 0.024, 0.007761199478415717, 0.0, 0.024, 0.0, 0.024, 0.021828515940439448, 0.0, 0.024, 0.0, 0.01210416759753682, 0.024, 0.001686434857877301];[0.011819219634952288, 0.021050850578106926, 0.030321107592153427, 0.03959136460619993, 0.04202716982281201, 0.04886162162024643, 0.058131878634292936, 0.06740213564833944, 0.07367454624979439, 0.07667239266238594, 0.08594264967643245, 0.09521290669047895, 0.10448316370452546, 0.10532192267677676, 0.11375342071857195, 0.12302367773261845, 0.13229393474666495, 0.13696929910375913, 0.14156419176071147, 0.15018304525100923];3.330709590971372e-09;False;1.5776641519551426
12;380;1.2777560989604961;0;[];0;0;380;[];[0.208140681203552, 0.018240323584155203, 0.1678269558248095];False;4;0.27532653351515757;[0.05814704462938155, 0.35000000000000003, 0.3097179671680189, 0.0, 0.35000000000000003, 0.208140681203552];[0.0239, 0.022443022488118285, 0.022241928016093673, 0.020695765454140216, 0.018948508420162147, 0.018240323584155203];[0.06953940059052803, 0.00843388536950896, 0.0, 0.06484592877593226, 0.13812574292137347, 0.1678269558248095];2.4453803290675996e-09;False;1.158308395761719
