Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;0.006202515795104648;0.045300467724664555;[[0.041736925414113696, 0.018639215369547397, 0.022598486584838325], [0.059341086341005975, 0.014887277325747662, 0.018972523206228123]];2.732979776192086;-0.20998609816153105;481.3400130873551;[];[];False;1;0.20641329805171382;[0.03896048575302978, 0.041736925414113696, 0.05130675295843287, 0.059341086341005975];[0.020900000000000002, 0.018639215369547397, 0.016599618016101013, 0.014887277325747662];[0.01753376173035787, 0.022598486584838325, 0.0, 0.018972523206228123];4.095247995567829e-10;False;0.0515029835197692
1;380;0.019349943091819838;0.15611135137509916;[[0.06255149115975563, 0.007882746499553122, 0.013263333635954585]];1.2651775629411257;-1.1092642783874194;421.69799427278133;[0.07691656600225512, 0.021, 0.023440794351059144];[];False;1;;[0.0691492893557484, 0.06255149115975563, 0.06647204087036862, 0.07691656600225512];[0.020900000000000002, 0.007882746499553122, 0.0, 0.021];[0.02596925618910767, 0.013263333635954585, 0.01604098993770453, 0.023440794351059144];1.3699940913689855e-10;False;0.0531752165895398
2;380;0.036854218092855835;2.9051139382466262;[[0.026873080388710835, 0.016690697580621305, 0.03541918409282914]];6.12641522085846;-0.1173312733051427;406.22279721203313;[];[0.10059660299273362, 0.0102841100547931, 0.15257045782469103];True;5;0.27797510856022406;[0.009245864472420161, 0.0, 0.026873080388710835, 0.0, 0.006811894674920997, 0.009685880166616808, 0.046056986228450406, 0.0853020777819798, 0.10059660299273362];[0.020900000000000002, 0.019822486804566445, 0.016690697580621305, 0.01985829940999974, 0.020661235646624008, 0.021, 0.016712840491989914, 0.012086916630603833, 0.0102841100547931];[0.04141393066767064, 0.03987937270672821, 0.03541918409282914, 0.2066067092388501, 0.25, 0.23169207040977494, 0.0, 0.25, 0.15257045782469103];2.121890340869215e-09;False;0.8589461218482667
3;380;0.007651347444009444;0.2502633653524129;[[0.008702432565103177, 0.016315990243650796, 0.07863342839069926], [0.1746427217701487, 0.005750377316277219, 0.09817097661335948]];2.3552991229374705;0.3572166029145553;464.8436421268753;[];[];False;2;;[0.011726214193297467, 0.008702432565103177, 0.021252413940084487, 0.0775182251966397, 0.08250406577688502, 0.13378403645319492, 0.1746427217701487];[0.020900000000000002, 0.016315990243650796, 0.021, 0.0, 0.001860857416731078, 0.021, 0.005750377316277219];[0.08396134702067475, 0.07863342839069926, 0.06526179935205273, 0.005312263715209688, 0.0, 0.054637271921633354, 0.09817097661335948];6.400452519251745e-10;False;0.25791471279642236
4;380;0.03375332042284037;8.07801904180629;[[0.010788205836203064, 0.0017739688121301452, 0.06252358935126363]];3.709160795469547;-0.163597907924059;473.2693773900932;[];[0.09643156863023758, 0.019473083390069333, 0.10792890533858626];True;4;0.23373679830588984;[0.011364257853622085, 0.0, 0.009055038607157052, 0.010788205836203064, 0.0, 0.02854102288099935, 0.09643156863023758];[0.020900000000000002, 0.009268208983257064, 0.0, 0.0017739688121301452, 0.0035548128041599384, 0.008266171661760423, 0.019473083390069333];[0.07411868013764647, 0.06817037554373644, 0.06343076751664316, 0.06252358935126363, 0.045373053387545756, 0.0, 0.10792890533858626];5.584472386349055e-10;False;0.2359002759761475
5;380;0.047371876401902414;0.2392876994489904;[[0.05466295891180925, 0.018645320661829588, 0.07146809064539442]];2.8131827796664575;0.7905530783360578;473.2693773900932;[0.05699348619444716, 0.021, 0.06174543863737575];[];False;1;;[0.07698901224872348, 0.06518952480160566, 0.05466295891180925, 0.05699348619444716];[0.020900000000000002, 0.0, 0.018645320661829588, 0.021];[0.05798441051022904, 0.06511063708036702, 0.07146809064539442, 0.06174543863737575];1.2764987451744116e-10;False;0.05764347969787115
6;380;0.00812288106868187;3.2247077307991083;[[0.0642865512838382, 0.016702862214533414, 0.053202475857414666]];2.3955212955186234;0.2508422322534133;444.1743259711958;[];[0.14052241559204856, 0.0036428864536751544, 0.09037883942303518];False;8;0.2523603297418939;[0.057980451673787826, 0.0642865512838382, 0.08105657235350357, 0.11192182895760773, 0.16301122683399372, 0.24496588131448385, 0.25, 0.173079464205026, 0.16423859917061284, 0.09112480972453588, 0.009170155244045741, 0.0, 0.059600972701166585, 0.0727844992364444, 0.14052241559204856];[0.020900000000000002, 0.016702862214533414, 0.021, 0.01309110949469638, 0.0, 0.021, 0.019710061154354502, 0.0, 0.00226537671227537, 0.021, 0.0, 0.002349753791846001, 0.017621862919247118, 0.021, 0.0036428864536751544];[0.056134768300859096, 0.053202475857414666, 0.03447252014691185, 0.0, 0.057060283676796865, 0.1485930875005056, 0.15421555032446038, 0.2401258913242143, 0.25, 0.168341304852077, 0.07680850102836827, 0.06656661755869894, 0.0, 0.014724302795340462, 0.09037883942303518];1.9355820160625905e-09;False;0.8845054793837649
7;380;0.01138609274016959;1.3598002918658727;[[0.013570695626234145, 0.01361374533244021, 0.07853184201574388]];2.5741315058344583;-0.520779111480783;406.22279721203313;[];[0.10743315739265291, 0.0017745359845679036, 0.09123375782126629];False;2;0.27797510856022406;[0.01932672477145535, 0.013570695626234145, 0.03730469295348928, 0.05699051699008045, 0.07391577474629223, 0.10743315739265291];[0.020900000000000002, 0.01361374533244021, 0.0, 0.011291726016402003, 0.021, 0.0017745359845679036];[0.07194232539564421, 0.07853184201574388, 0.03560502956095911, 0.0, 0.03061209434853425, 0.09123375782126629];4.939675564063406e-10;False;0.2127046986365852
8;380;0.018987742158211748;8.03215750951503;[[0.06909545077796558, 0.009297698157248152, 0.07154124408059247]];2.891570768945864;0.5264584734764095;409.494335816729;[];[0.10565437790243243, 0.011455367865393484, 0.09404355005290607];True;1;0.27797510856022406;[0.07889804451152949, 0.06909545077796558, 0.08489080893523344, 0.08923123134346204, 0.10565437790243243];[0.020900000000000002, 0.009297698157248152, 0.01847747881037347, 0.021, 0.011455367865393484];[0.08293554530142662, 0.07154124408059247, 0.0, 0.019658890658144215, 0.09404355005290607];4.330050988327293e-10;False;0.18988628341636116
9;380;0.018831774441400037;13.586551738507692;[[0.0654676560543605, 0.01132900360901133, 0.08090136844971686]];0.0840473204917826;0.10121683409979808;396.9145659860842;[];[0.08965758029678243, 0.013785826820156173, 0.13048636558281945];False;1;0.27797510856022406;[0.07866748422623215, 0.0654676560543605, 0.07964059175058522, 0.08965758029678243];[0.020900000000000002, 0.01132900360901133, 0.012768462329079728, 0.013785826820156173];[0.07147818995578431, 0.08090136844971686, 0.25, 0.13048636558281945];6.982831375835601e-10;False;0.30846642099118515
