Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;Time_s;Timed_out;Total_distance_m
5333;380;0.018432604166064372;3.665559329510777;[[0.08887580995131034, 0.009567647449670019, 0.029357922015906295]];4.029488727540109;1.3212085589628493;436.7508539799367;[0.08261344640416103, 0.015, 0.008733839303558321];[];False;1;;1.7773468767834873e-10;False;0.05111500441656178
5334;380;0.0013525662645091593;0.8406432144619268;[[0.12028206789236455, 0.014187588293763435, 0.07266766257370694]];4.890741452171306;-0.8005086932283537;546.751874553499;[0.11949384447194102, 0.015, 0.07287171673709993];[];False;0;;6.215047567747157e-11;False;0.0025027606144050352
5335;380;0.008839473894179758;16.333910753164027;[[0.09048156991185166, 0.010214040779620877, 0.1181291873191763]];4.7211487994698285;0.8585756536448813;477.8436481302492;[0.06871183419594469, 0.015, 0.11842099923400416];[];False;1;;1.296676716684952e-10;False;0.04215245034136106
5336;380;0.007339776825193124;0.04323744127944404;[[0.10564762500599331, 0.007692528992590987, 0.1167873992774095], [0.14294039612086706, 0.0022159842383157975, 0.12545098458456505]];1.3690584200193114;0.49416509741914405;428.9659788801306;[];[];False;0;;1.3338302853279453e-10;False;0.05057721810463716
5337;380;0.002047234553010356;4.0542733569417715;[[0.09675789054953736, 0.013063307225614886, 0.12257198498677914]];0.29015113507140167;-0.20323569030284386;489.0345374100244;[];[0.18834884682476868, 0.012438272836945836, 0.14133910129866137];True;8;0.20641329805171382;3.160975071485222e-09;False;1.4827048823208264
5338;380;0.029287294061128087;3.2045288998313928;[[0.10252083021721747, 0.00692923492683324, 0.06401709542173761]];1.0343187557751177;-0.11776491040146253;392.60294285388386;[];[0.14254882347511108, 0.00937477806433343, 0.19285484804242017];False;7;0.27797510856022406;1.91504707053031e-09;False;0.8962761568563922
5339;380;0.0276250315676741;0.5349271410932742;[[0.0023988927569479753, 0.0005430047175524939, 0.04328804535566188]];1.014171439395993;-0.8657191271832642;496.768984169103;[0.015626066692451195, 0.015, 0.05598794413351907];[];False;2;;1.1581570506199922e-10;False;0.05166313787698502
5340;380;0.0030823937211543126;6.727101413007192;[[0.11034933038031595, 0.012915144850059002, 0.1239301325955551]];3.796768337522655;0.7828194960933493;426.44246066289253;[0.08228984526216734, 0.015, 0.07242051291941465];[];False;1;;1.8599212578462465e-10;False;0.06804261952337898
5341;380;0.00748716486283253;7.949137328805358;[[0.1339751356325578, 0.012931445907719066, 0.056461811974516815]];0.4737444945606982;0.5140043510021008;412.0367646617399;[];[0.17008701457078915, 0.003321216192669704, 0.13735076222584267];False;1;0.27797510856022406;3.115457611307495e-10;False;0.09838729030545226
5342;380;0.005129857529004212;1.5879820342179816;[[0.02427696308588033, 0.014196385177788092, 0.1047756300399358]];4.733200768604924;-1.0012576035019174;485.2082870573262;[0.023762394085447894, 0.015, 0.10479549239275936];[];False;0;;2.3135446805409904e-10;False;0.00608430634991836
5343;380;0.004488928642669385;1.261886963755813;[[0.11287161162127257, 0.013696062407509353, 0.046131839450737566]];0.23458185418462693;-0.2356042376139486;421.69799427278133;[];[0.13981913088874887, 0.007226968955833955, 0.1620952997301974];False;0;0.2683799504570655;3.689982795412788e-10;False;0.12371787682532917
