Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;Time_s;Timed_out;Total_distance_m
0;380;0.00034202938982980016;0.3942440138486219;[[0.014829778307712378, 0.011787765196289338, 0.09500010560480439]];4.094079392473133;0.6155978195246711;450.370708338086;[0.018802774479238445, 0.012, 0.06569581224518764];[];False;2;;1.4755596516185443e-10;False;0.05089643562021991
1;380;1.0541371000842435e-06;11.621423930923159;[[0.0031728492140194273, 0.011999290387549566, 0.09352197373161282]];4.533569729745489;-0.5733811562469698;450.370708338086;[0.0031717503161087924, 0.012, 0.09352173729255436];[];False;0;;3.763671514407044e-11;False;2.3834338600948833e-06
2;380;0.0013996648504338738;0.11788326925778242;[[0.10097541078044435, 0.011192310165078212, 0.002284805181943992], [0.2148649472630387, 0.006767119552856713, 0.02684284938113047]];1.3609341495950262;-0.15640373068082947;436.7508539799367;[];[];False;1;;3.302717023637445e-10;False;0.11928293410821628
3;380;0.00013124538823653848;0.08689588506869945;[[0.024709697916073477, 0.01191225906267409, 0.04899852188136871], [0.04450724247028921, 0.002738429740449683, 0.0351132663950861]];2.887773743052144;-0.4339266510742057;426.44246066289253;[];[];False;1;;2.7610798117911995e-10;False;0.08702713045693598
4;380;0.0024493286828297105;5.113124936193333;[[0.09176392496710617, 0.01070382310463142, 0.06295529201051453]];0.7595740192373736;-0.3411909502526625;492.4594622177664;[];[0.1377365159814639, 0.005620005766172445, 0.11432701643226784];False;1;0.18846145777887674;1.9743781097751294e-10;False;0.0732942338182116
5;380;0.000554794506158415;7.488341747199686;[[0.08005413581521709, 0.011721063386312302, 0.10470157400468859]];3.691877831304888;0.8709761212095827;433.55285670546846;[0.060081449306090294, 0.012, 0.05415593940456509];[];False;1;;1.755798722430155e-10;False;0.059854526644663925
6;380;0.0007982713263054674;4.856641582443042;[[0.0561968754167315, 0.011670977643166566, 0.06526874281306795]];1.087037563634811;0.09775313126391158;444.1743259711958;[];[0.14535777206268072, 0.0035853973532713242, 0.11233838992577203];False;0;0.2523603297418939;2.751173916677832e-10;False;0.10199939853458832
7;380;0.0007535368242797532;0.12008448792304753;[[0.07549476157352566, 0.011252339388737438, 0.04183745607144677], [0.15011537059021793, 0.009713860948970622, 0.0522352925532685]];2.4708946346527383;-0.020614419075376263;455.86529629651864;[];[];False;1;;7.882735989469359e-10;False;0.12083802474732735
8;380;0.0002501074637336458;5.887812326857575;[[0.004907212633722504, 0.011864020711605399, 0.07891432853765128]];3.155657931048317;1.3022336314796796;419.1114406296339;[0.0016604368412472734, 0.012, 0.11928742948351026];[];False;8;;3.761827426972072e-09;False;1.7600510761471362
9;380;0.0015231696203723347;3.176259737142236;[[0.06043983456995706, 0.010691626031075228, 0.09548861206509072]];2.8848097520010283;-0.47961882883707024;459.3721671579427;[];[0.11464797155699666, 0.006496539736933406, 0.13721120376937526];False;2;0.23373679830588984;5.374145174549984e-10;False;0.24211138482663333
10;380;0.0010865666715170925;3.296285520303136;[[0.10787560869288958, 0.011510272737647936, 0.0012230251980126713]];5.083975936614711;0.03736526110326971;477.8436481302492;[];[0.18588409926497, 0.006432754548799909, 0.16124272457804353];False;7;0.20641329805171382;2.6001939748427363e-09;False;1.2061012491070968
11;380;0.00011147142333908081;1.6990683074101287;[[0.04769749693418994, 0.01191969607672045, 0.006355396460918393]];3.046874340231711;-0.2904882680934617;455.86529629651864;[];[0.1153034029738017, 0.0082907253112059, 0.13638402134554117];False;4;0.23373679830588984;1.610272466631065e-09;False;0.746195154683865
12;380;1.4186869156810095e-05;7.893380380118411;[[0.06025396413839064, 0.011986290190309973, 0.06977163536848566]];1.1134511784296999;0.16973558682341242;426.44246066289253;[];[0.1453535966575742, 0.002571059233452695, 0.1122637619967804];True;1;0.2683799504570655;2.293732889421592e-10;False;0.09624434725734765
13;380;0.00092177328151754;0.058668046390910014;[[0.08882870460209129, 0.011465910556380965, 0.08974067634397304]];0.5229755117052121;-1.3116876643661002;473.2693773900932;[0.09504875138629781, 0.012, 0.1318490203104118];[];False;1;;1.4633664624145006e-10;False;0.04952682005480753
14;380;0.00021111965389576575;0.7363882701905439;[[0.08460742725001114, 0.01186150148672003, 0.027776982530872345], [0.10449894535721146, 0.002141732160301478, 0.1761846227010028]];1.0029567514072149;0.05478820403969167;409.494335816729;[];[];False;4;0.27797510856022406;1.6237826982543395e-09;False;0.7365993898444396
15;380;0.00032100941334893264;0.8332133794326454;[[0.030369527088306328, 0.0117290036610917, 0.07959785406182412]];2.4288099210231477;-0.15882959456780177;400.7450187005097;[];[0.1495492997484352, 0.007559094676197259, 0.187410778215684];False;6;0.27797510856022406;1.403474488523929e-09;False;0.6508930637271215
16;380;0.0004652564952586356;0.6334596441521205;[[0.011802071283855086, 0.011715950221246397, 0.10069910784742493]];0.13080403350882452;-1.302677498281019;489.0345374100244;[0.018317647430400687, 0.012, 0.2876525598704794];[];False;1;;4.3054268435438885e-10;False;0.18902954858353976
17;380;0.00039340174431899276;2.9076392457441442;[[0.08062931173233728, 0.011694191719526709, 0.018086078951253005]];6.129841140118278;0.6380394121757699;426.44246066289253;[0.048674941920868686, 0.012, 0.2754699035043534];[];False;1;;5.824220552584547e-10;False;0.26083327890000907
18;380;0.00019374811683794393;13.75600949651516;[[0.025020330226904555, 0.011815874852344692, 0.07252741860966233]];0.36935777842947065;-0.4145609402068379;469.2708302065761;[];[0.14555924005696994, 0.006770975637558925, 0.18728666625362006];False;3;0.23373679830588984;7.96784465690223e-10;False;0.36498114780758034
19;380;0.0014008105123480602;0.034065697907083095;[[0.09737999555293834, 0.011126331863510452, 0.035205624772396145], [0.11225650700967796, 0.002644888185420871, 0.0057569186223878745]];2.6148874466608905;-0.5181614792884719;481.3400130873551;[];[];False;0;;1.265972703539954e-10;False;0.03546650841943115
20;380;0.0004223113861001805;4.869896045048431;[[0.09866508561944927, 0.011959845883606128, 0.004494785874115309]];5.452429233906612;1.245482500693136;419.1114406296339;[0.09058349551493819, 0.012, 0.027585115915621038];[];False;1;;3.387357393166322e-10;False;0.03466482377653601
21;380;0.0005606636883294414;4.385948532989694;[[0.05651625688001778, 0.011678013346832296, 0.04212564921949299]];1.2196834180205536;-0.9126895046176748;444.1743259711958;[0.07482115711514396, 0.012, 0.053088181449183494];[];False;1;;1.1140253255504204e-10;False;0.03243376836229703
22;380;0.001149686476894577;17.3865508378168;[[0.034124044503243176, 0.011576064450692373, 0.055533922607115364]];1.2619966903873527;-0.3517259324802574;396.9145659860842;[];[0.1480961914671795, 0.009491366940180867, 0.18696287846532486];False;55;0.27797510856022406;6.720056003744947e-09;False;3.151709372652748
23;380;0.0009091576990807417;4.647616680302784;[[0.08798189273200506, 0.011348477821665906, 0.03745093577819253]];2.160472104170101;0.870709741956029;511.9184981959861;[0.08853075873284308, 0.012, 0.03688094070632914];[];False;0;;3.7515906869812356e-11;False;0.0019341598540470965
24;380;4.424089990205095e-05;5.693762190770447;[[0.05424022498668762, 0.011971027785952002, 0.11025596693194595]];5.72390505635799;-0.6114600913493025;419.1114406296339;[0.05419890071771402, 0.012, 0.11033659455869504];[];False;0;;3.888609307626439e-11;False;0.0001393613424380093
25;380;0.00017210172397091273;8.730865104084874;[[0.06708345898696379, 0.01185433684304814, 0.09407779522667148]];3.79493415132557;1.1399555049889918;496.768984169103;[0.05611907328653543, 0.012, 0.05978145965887406];[];False;1;;1.2111612574205333e-10;False;0.04336337136713292
