Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;Time_s;Timed_out;Total_distance_m
0;380;0.00034202938982980016;0.3942440138486219;[[0.028266202718952495, 0.004787765196289334, 0.17974347929852766]];4.094079392473133;0.6155978195246711;450.370708338086;[0.014427679977781703, 0.005, 0.16768587152073391];[];False;1;;6.092618167684997e-11;False;0.021143254462375555
1;380;1.0541371000842435e-06;11.621423930923159;[[0.00600759686622006, 0.004999290387549563, 0.17709848412359983]];4.533569729745489;-0.5733811562469698;450.370708338086;[0.006006497968309419, 0.005, 0.17709824768454135];[];False;0;;1.5683601689616398e-11;False;2.383433860102997e-06
2;380;0.0013996648504338738;0.11788326925778242;[[0.19111815654159273, 0.004192310165078213, 0.005343803485299347], [0.30500769302418707, 0.003767119552856707, 0.02990184768448582]];1.3609341495950262;-0.15640373068082947;436.7508539799367;[];[];False;2;;2.8278357431665217e-10;False;0.11928293410821628
3;380;0.00013124538823653848;0.08689588506869945;[[0.04687886454337698, 0.00491225906267409, 0.09278728124642593], [0.06667640909759272, 0.004261570259550318, 0.00867549296997111]];2.887773743052144;-0.4339266510742057;426.44246066289253;[];[];False;1;;2.140078501150858e-10;False;0.087027130456936
4;380;0.0024493286828297105;5.113124936193333;[[0.17552172253336346, 0.0037038231046314244, 0.11860072427575787]];0.7595740192373736;-0.3411909502526625;492.4594622177664;[];[0.2604663537848714, 0.003541902850667552, 0.21352146055527443];False;3;0.18846145777887674;2.9630217469146305e-10;False;0.13335111624780785
5;380;0.000554794506158415;7.488341747199686;[[0.15117331278474505, 0.004721063386312297, 0.19834563268463457]];3.691877831304888;0.8709761212095827;433.55285670546846;[0.14298836136042573, 0.005, 0.1776316659518992];[];False;1;;7.22995373069615e-11;False;0.02485625374185116
6;380;0.0007982713263054674;4.856641582443042;[[0.10672525747469154, 0.004670977643166566, 0.12416896861132312]];1.087037563634811;0.09775313126391158;444.1743259711958;[];[0.23065219557709915, 0.004889650265899614, 0.2824897085998845];False;14;0.2523603297418939;2.7188266260818505e-09;False;1.2764995856298236
7;380;0.0007535368242797532;0.12008448792304753;[[0.1429433446237584, 0.004252339388737436, 0.0793077581216108], [0.21756395364045064, 0.002713860948970622, 0.01476499050310448]];2.4708946346527383;-0.020614419075376263;455.86529629651864;[];[];False;1;;7.113605832170655e-10;False;0.1208380247473273
8;380;0.0002501074637336458;5.887812326857575;[[0.009255941669375248, 0.004864020711605397, 0.1492525373980349]];3.155657931048317;1.3022336314796796;419.1114406296339;[0.006541251163924876, 0.005, 0.4219234595898229];[];False;3;;1.5550790970540588e-09;False;0.7276511356967734
9;380;0.0015231696203723347;3.176259737142236;[[0.11440157941493494, 0.0036916260310752257, 0.18151758995714568]];2.8848097520010283;-0.47961882883707024;459.3721671579427;[];[0.21293889097497504, 0.0024397631734324045, 0.2414745202186176];False;6;0.23373679830588984;9.355674136622507e-10;False;0.4388544862291925
10;380;0.0010865666715170925;3.296285520303136;[[0.2035872368389123, 0.004510272737647943, 0.0017939381430519558]];5.083975936614711;0.03736526110326971;477.8436481302492;[];[0.2879810455916087, 0.0028998175118851188, 0.2511921035792372];False;12;0.20641329805171382;4.366834234262733e-09;False;2.0584404475350833
11;380;0.00011147142333908081;1.6990683074101287;[[0.09030656490300495, 0.00491969607672045, 0.011967726212992434], [0.2442665762567725, 0.0011058198674992331, 0.3205153680215075]];3.046874340231711;-0.2904882680934617;455.86529629651864;[];[];False;9;0.23373679830588984;3.6707231272611583e-09;False;1.6991797788334677
12;380;1.4186869156810095e-05;7.893380380118411;[[0.11410184371217508, 0.004986290190309973, 0.13212058064823617], [0.09448893828299147, 0.0013173505283143663, 0.38241792490695703]];1.1134511784296999;0.16973558682341242;426.44246066289253;[];[];False;141;;1.6726450054559812e-08;False;7.893394566987568
13;380;0.00092177328151754;0.058668046390910014;[[0.1686725986598339, 0.004465910556380968, 0.16945043260752268]];0.5229755117052121;-1.3116876643661002;473.2693773900932;[0.17118170250962222, 0.005, 0.18643651191205007];[];False;1;;5.961122670009156e-11;False;0.02052855667222498
14;380;0.00021111965389576575;0.7363882701905439;[[0.16016610477523097, 0.00486150148672003, 0.05273290509621463], [0.21994237711756878, 0.00114173216030148, 0.44877129986433945]];1.0029567514072149;0.05478820403969167;409.494335816729;[];[];False;4;;1.6229382314304465e-09;False;0.7365993898444396
15;380;0.00032100941334893264;0.8332133794326454;[[0.05766097077017434, 0.004729003661091699, 0.15075684678035145], [0.40432444405587536, 0.001449527124935972, 0.47960662189247205]];2.4288099210231477;-0.15882959456780177;400.7450187005097;[];[];False;11;;1.8284634145955028e-09;False;0.8335343888459943
16;380;0.0004652564952586356;0.6334596441521205;[[0.022678240528396423, 0.004715950221246397, 0.19068095788302694]];0.13080403350882452;-1.302677498281019;489.0345374100244;[0.025347541691200536, 0.005, 0.26727204601572546];[];False;1;;1.803794651088603e-10;False;0.07771627356785307
17;380;0.00039340174431899276;2.9076392457441442;[[0.15251285900851627, 0.004694191719526708, 0.03410883821422347]];6.129841140118278;0.6380394121757699;426.44246066289253;[0.13943911541363577, 0.005, 0.1394143143519265];[];False;1;;2.385362997249832e-10;False;0.10694922481029677
18;380;0.00019374811683794393;13.75600949651516;[[0.04733990825157163, 0.0048158748523446935, 0.13737806041958794]];0.36935777842947065;-0.4145609402068379;469.2708302065761;[];[0.2510146304181789, 0.004814146898792918, 0.2878094425357273];False;10;0.23373679830588984;1.3123909740985848e-09;False;0.6165753993748065
19;380;0.0014008105123480602;0.034065697907083095;[[0.18493341997645427, 0.004126331863510451, 0.06584428680572074], [0.1998099314331939, 0.00435511181457913, 0.03639558065571248]];2.6148874466608905;-0.5181614792884719;481.3400130873551;[];[];False;1;;9.431149826891031e-11;False;0.035466508419431164
20;380;0.0004223113861001805;4.869896045048431;[[0.18653687544033393, 0.004959845883606127, 0.008286438933973381]];5.452429233906612;1.245482500693136;419.1114406296339;[0.1831774468227033, 0.005, 0.017884836591963018];[];False;1;;1.4106921884540246e-10;False;0.014656549274481932
21;380;0.0005606636883294414;4.385948532989694;[[0.10740363148780684, 0.0046780133468322955, 0.07992253265385378]];1.2196834180205536;-0.9126895046176748;444.1743259711958;[0.11488546985798771, 0.005, 0.08440329426505616];[];False;1;;4.588394965994381e-11;False;0.013588290960991175
22;380;0.001149686476894577;17.3865508378168;[[0.06373131181155833, 0.0045760644506923735, 0.10551391483079552]];1.2619966903873527;-0.3517259324802574;396.9145659860842;[];[0.2610798927032695, 0.002107973540019247, 0.2863980018264152];False;302;0.27797510856022406;1.8145862788606873e-08;False;8.582778638295316
23;380;0.0009091576990807417;4.647616680302784;[[0.16625193030494262, 0.004348477821665907, 0.0713605005632859]];2.160472104170101;0.870709741956029;511.9184981959861;[0.16680079630578065, 0.005, 0.07079050549142252];[];False;0;;1.6893931351231183e-11;False;0.0019341598540470997
24;380;4.424089990205095e-05;5.693762190770447;[[0.10269009724793703, 0.004971027785952, 0.20880678991452573]];5.72390505635799;-0.6114600913493025;419.1114406296339;[0.10264877297896342, 0.005, 0.20888741754127482];[];False;0;;1.6319680844248093e-11;False;0.00013936134243801372
25;380;0.00017210172397091273;8.730865104084874;[[0.12710434200018875, 0.004854336843048136, 0.178191014797257]];3.79493415132557;1.1399555049889918;496.768984169103;[0.12257490357228253, 0.005, 0.16402304000127005];[];False;1;;5.0140251401726743e-11;False;0.01801461491321
26;380;3.800519274568407e-05;1.6675046537467222;[[0.02865331550238308, 0.004996725529843864, 0.11676597579726009]];4.951881690976896;0.7168483106940134;496.768984169103;[0.017182697354354005, 0.005, 0.12048126814830441];[];False;1;;1.1991069688954878e-10;False;0.015700476238869103
27;380;0.00012661718185605242;3.3245536321157325;[[0.13038501677791042, 0.004880160185294276, 0.1656547772647296]];1.6758740746602594;0.8971245345442859;412.0367646617399;[0.1304806786813232, 0.005, 0.16563860520702056];[];False;0;;1.147831415179988e-11;False;0.000280806404578667
28;380;0.0008794568916638681;0.489133832457002;[[0.19664411786586392, 0.004507816388813825, 0.09662203607761917]];4.212320560077347;-0.9555542501153624;396.9145659860842;[0.19629626690519159, 0.005, 0.09629272706001063];[];False;0;;2.0311588263621936e-11;False;0.0015662533877522132
29;380;0.00027323813437443126;5.450411597657544;[[0.18778104714047136, 0.004991186017635166, 0.008344978205790339]];1.051701154922253;-0.5435287569520724;413.8942085452024;[];[0.2428288712867592, 0.0025072250867889706, 0.28734276019564464];False;67;0.2683799504570655;3.033219372178557e-09;False;1.4199865532915457
30;380;0.0011996731673687667;0.422016076929007;[[0.022949738391805037, 0.004891395011176128, 0.19270164346034743], [0.4444227114688001, 0.004508369176983137, 0.18366000082021117]];1.5922228434639876;-0.045996024801203864;428.9659788801306;[];[];False;2;;1.0301259093545433e-09;False;0.42321575009637574
31;380;0.00017516886190785462;0.2601376805038953;[[0.13826693199395293, 0.0049946602318642905, 0.008250091464442473], [0.21306245452208458, 0.004884856204728426, 0.23907690327963704]];2.826456570502869;-0.3827126867784449;464.8436421268753;[];[];False;4;0.23373679830588984;5.732592271593204e-10;False;0.2603128493658032
32;380;0.00012115889769025887;4.661442541701753;[[0.1934806498792632, 0.004975510840936286, 0.2056012845690566]];6.157225574352766;0.08593211441909145;464.8436421268753;[];[0.24890090093081998, 0.0031331196230833984, 0.28796703775630184];True;12;0.23373679830588984;7.51399628640691e-09;False;3.5345541847751334
33;380;0.0001414343019574488;2.3761205916092827;[[0.14016251468668658, 0.004884098425290143, 0.054912082613909244]];1.7642350159526652;1.312213887920955;412.0367646617399;[0.14019317114398974, 0.005, 0.05488859809660533];[];False;0;;1.3139151199910442e-11;False;0.00026360023807551157
34;380;0.0001832070326919666;8.958450396809841;[[0.13812174981816583, 0.004890371958628779, 0.13649189578176987]];1.9901056211789834;0.7674044623100943;433.55285670546846;[0.13823539581956867, 0.005, 0.1364215108982589];[];False;0;;1.80055533156768e-11;False;0.0003560877803667666
35;380;0.0004531238412748431;0.30030621791261164;[[0.06427614928201938, 0.004562473956056485, 0.07088529785932357], [0.0971972918333653, 0.004914743509103531, 0.3687342353735857]];0.12801379618155173;-0.5380720297810936;426.44246066289253;[];[];False;2;;8.035178738539296e-10;False;0.30075934175388647
36;380;0.00017182404609297948;0.6697929220835707;[[0.11684706631283925, 0.004896727269834836, 0.014898065947127975]];3.0992505364117484;0.8114670969096844;485.2082870573262;[0.11694509026414052, 0.005, 0.01153730993332986];[];False;0;;2.4664144255055022e-11;False;0.003535594985991336
37;380;9.51216909016763e-05;1.5413795531934569;[[0.106315174670802, 0.004989986474353103, 0.1683857747003649]];6.188283266674276;0.698539945223502;485.2082870573262;[0.09441943835092612, 0.005, 0.33157973746610875];[];False;1;;4.4635991031581126e-10;False;0.1640267472411193
38;380;0.0011210216382243;1.5195910899351075;[[0.022194886366888947, 0.004403238195558031, 0.10982666179804897]];5.720725079000695;-1.2124557538230551;416.37360196430393;[0.02197139340227647, 0.005, 0.11083753944101177];[];False;0;;2.2351973713136986e-11;False;0.002315989154734325
39;380;0.0006855745861506992;0.6874115105431358;[[0.1917770735587312, 0.004774346358146194, 0.17083594401758173], [0.19530856816247147, 0.0014403309840485897, 0.4707126122072151]];1.1193800342189673;-0.13513491581986878;473.2693773900932;[];[];False;9;;1.508392618786987e-09;False;0.6880970851292865
40;380;0.0016536607056711321;7.623100432722266;[[0.15004590473261503, 0.004707549260254852, 0.14071662370600016]];3.451164762601016;0.08285005372127309;489.0345374100244;[];[0.24035108324870239, 0.0008336362564026509, 0.2868493949520572];True;16;0.20641329805171382;6.3853704648826555e-09;False;2.997952927851665
41;380;1.2355664080619258e-05;0.25739311503422374;[[0.09604824528149847, 0.0049915097754619315, 0.08384712324530876], [0.22343139935229872, 0.0031609935664452388, 0.13907577280793448]];2.6181020469959173;0.14168079127176383;469.2708302065761;[];[];False;3;;6.137607050175149e-10;False;0.2574054706983044
42;380;0.0008828540295793813;1.0638370721629133;[[0.07476907138396062, 0.00453040901923091, 0.028700512833623085]];2.520073483921378;0.22682998482550176;444.1743259711958;[];[0.24319930042375615, 0.003404447112463235, 0.21265237424787056];False;5;0.2523603297418939;6.46584766319971e-10;False;0.2977517628001751
43;380;0.0002884087830970174;2.733359722668575;[[0.0017144099302164565, 0.004742550691764306, 0.11203241788744972], [0.31174559789813955, 0.00475812445682631, 0.2063067625198308]];4.595659644317501;-0.5506610190849103;473.2693773900932;[];[];False;148;;5.801728222663417e-09;False;2.733648131451672
44;380;0.0011872527540604198;0.19759023650352264;[[0.1016839347122811, 0.003851993519835703, 0.04748323746670193], [0.2882446239218285, 0.0009871800988438756, 0.016297002398028355]];1.72929195989147;0.29718561095399837;506.3272559178258;[];[];False;6;;4.5736002753437337e-10;False;0.19877748925758307
45;380;0.000726276612700688;7.561666609662917;[[0.014697929309653739, 0.004746027418519603, 0.10892532462688537]];1.959109945176313;0.3953312704827218;496.768984169103;[];[0.25898660352484015, 0.002161993278661009, 0.21303230807350942];False;32;0.18846145777887674;1.82536639015357e-09;False;0.8510530508680982
46;380;0.0009699342047832533;0.7756785176741312;[[0.07899785536302563, 0.004174435434280582, 0.14904374473953574], [0.11156959858688012, 0.0032546131261877278, 0.09955166679213748]];6.032353116487962;0.14295176603918716;501.7887052523518;[];[];False;5;;1.7541913559680839e-09;False;0.7766484518789145
47;380;2.6770657616593416e-05;2.8948858202530094;[[0.05312036482500987, 0.004981715111048032, 0.046117112220401664]];4.506006847386636;-0.30892739571163147;473.2693773900932;[];[0.21600603290433038, 1.737269519906592e-05, 0.23279477035087778];False;45;0.23373679830588984;2.88891060641539e-09;False;1.361102644945134
48;380;0.0008249834474632613;12.8197770726548;[[0.035420243357351236, 0.004970496486534401, 0.15400908876599312]];1.6809169696516637;0.9714876714285371;469.2708302065761;[0.035440397867222556, 0.005, 0.15400513812910416];[];False;0;;2.9524011307514394e-10;False;0.0008609315921552537
49;380;0.0006026664751471652;1.9273547544070935;[[0.02970545093709564, 0.00459056089826217, 0.16476389877506709]];5.807597204764397;1.2297794306049095;450.370708338086;[0.02630193896785194, 0.005, 0.18452363246888925];[];False;1;;6.246091416189503e-11;False;0.02282899832992769
50;380;6.752631732609803e-05;3.671959510290405;[[0.17006700346993753, 0.004954861397076195, 0.09169410652484035]];6.028239283087656;-0.8658194484732572;501.7887052523518;[0.17002859810264212, 0.005, 0.09192151313831123];[];False;0;;1.6287403257877304e-11;False;0.00030252894190996153
51;380;0.000692301518487151;0.08503621567327405;[[0.08605107675273678, 0.004553423428978619, 0.024747778800648663], [0.16448919960391262, 0.004875538780233427, 0.05613180990471509]];1.1927917552863667;-0.12276197493744212;388.79140076723115;[];[];False;1;;2.863311896404202e-10;False;0.0857285171917612
