Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;Time_s;Timed_out;Total_distance_m
0;380;0.0054724702372768025;0.3942440138486219;[[0.008386963077922537, 0.021504243140629375, 0.07639831880429435]];4.094079392473133;0.6155978195246711;450.370708338086;[0.05736349306364015, 0.025, 0.019109457399502615];[];False;2;;2.496624766581983e-10;False;0.10430455386381868
1;380;1.6866193601347895e-05;11.621423930923159;[[0.0024756611690730963, 0.024888646200793032, 0.07262572517830726]];4.533569729745489;-0.5733811562469698;450.370708338086;[0.002303219920029376, 0.025, 0.072588622690288];[];False;0;;7.853074110338334e-11;False;0.0002254620890231028
2;380;0.02239463760694198;0.11788326925778242;[[0.08002489844594732, 0.011976962641251374, 0.015553153186554574], [0.19391443492854166, 0.005982467076683552, 0.04011119738574106]];1.3609341495950262;-0.15640373068082947;436.7508539799367;[];[];False;2;;4.625254026286637e-10;False;0.14027790686472438
3;380;0.0020999262117846157;0.08689588506869945;[[0.017703413161060434, 0.023496145002785438, 0.03803483431814988], [0.03750095771527617, 0.01432231568056103, 0.04607695395830494]];2.887773743052144;-0.4339266510742057;426.44246066289253;[];[];False;1;;5.245512973370515e-10;False;0.08899581128048406
4;380;0.03918925892527537;5.113124936193333;[[0.041408717932505834, 0.004161169674102728, 0.05936473352981197]];0.7595740192373736;-0.3411909502526625;492.4594622177664;[];[0.09067330562664022, 0.013331572874573799, 0.11441507476430912];False;1;0.18846145777887674;2.5961080881148284e-10;False;0.11510721274768758
5;380;0.00887671209853464;7.488341747199686;[[0.06935099336756455, 0.02043701418099682, 0.07999864446213803]];3.691877831304888;0.8709761212095827;433.55285670546846;[0.031093887209690967, 0.025, 0.01682006381881199];[];False;2;;3.443565828746912e-10;False;0.12246364225535601
6;380;0.012772341220887478;4.856641582443042;[[0.03839901831035459, 0.019635642290665056, 0.040934538535810486]];1.087037563634811;0.09775313126391158;444.1743259711958;[];[0.11579384302550462, 0.023741734830675133, 0.15424830880628748];True;4;0.2523603297418939;1.5111256340060368e-09;False;0.6681381944540022
7;380;0.012056589188476052;0.12008448792304753;[[0.05892957291569622, 0.012937430219798983, 0.03109270171860404], [0.1335501819323885, 0.011398951780032168, 0.06298004690611125]];2.4708946346527383;-0.020614419075376263;455.86529629651864;[];[];False;1;;7.021292919954161e-10;False;0.13214107711152356
8;380;0.004001719419738333;5.887812326857575;[[0.004434803017215583, 0.022724331385686403, 0.06441786866578578]];3.155657931048317;1.3022336314796796;419.1114406296339;[0.008699474888269911, 0.025, 0.04543763224701641];[];False;16;;7.526572032974094e-09;False;3.523330068035168
9;380;0.024370713925957355;3.176259737142236;[[0.047799029685114805, 0.003966016497203616, 0.062314154650295474]];2.8848097520010283;-0.47961882883707024;459.3721671579427;[];[0.09130577173805801, 0.018662991152570137, 0.12444767532548857];False;2;0.23373679830588984;4.688492205721234e-10;False;0.21746367010815093
10;380;0.01738506674427348;3.296285520303136;[[0.09556215361873696, 0.017064363802367016, 0.009842901149458332]];5.083975936614711;0.03736526110326971;477.8436481302492;[];[0.11138292110584015, 0.009328206404531955, 0.09054365275614668];False;1;0.20641329805171382;5.858574371781807e-10;False;0.23964330257352073
11;380;0.001783542773425293;1.6990683074101287;[[0.03731447809827526, 0.023615137227527228, 0.006080306048112986]];3.046874340231711;-0.2904882680934617;455.86529629651864;[];[0.09297777456965775, 0.006974894629956464, 0.1054539050327806];False;3;0.23373679830588984;1.3698334839013692e-09;False;0.6160712535166062
12;380;0.00022698990650896151;7.893380380118411;[[0.046764797674832555, 0.024680643044959573, 0.05423188305522055]];1.1134511784296999;0.16973558682341242;426.44246066289253;[];[0.1178557557941567, 0.013135459392470534, 0.08972916906115194];False;0;0.2683799504570655;2.2411216937076605e-10;False;0.08061622425990723
13;380;0.01474837250428064;0.058668046390910014;[[0.06111853835981533, 0.016354568902095412, 0.07799512355400083], [0.0686263594095832, 0.011969632400458282, 0.1288214150868586]];0.5229755117052121;-1.3116876643661002;473.2693773900932;[];[];False;1;;2.7156396854976285e-10;False;0.07341641889519065
14;380;0.003377914462332252;0.7363882701905439;[[0.06657676435805858, 0.022684023787520463, 0.019307579593351765]];1.0029567514072149;0.05478820403969167;409.494335816729;[];[0.0924378990154108, 0.0015238733528867092, 0.14472847581751275];False;4;0.27797510856022406;1.3838219953010412e-09;False;0.6280645894682607
15;380;0.005136150613582922;0.8332133794326454;[[0.021002690292279684, 0.020564058577467178, 0.061372224029073566]];2.4288099210231477;-0.15882959456780177;400.7450187005097;[];[0.1352315573363812, 0.015500072785451853, 0.15859992371000708];False;4;0.27797510856022406;1.186219606738391e-09;False;0.5375199040650275
16;380;0.007444103924138169;0.6334596441521205;[[0.0035575974609197824, 0.02035520353994234, 0.07834491020231868]];0.13080403350882452;-1.302677498281019;489.0345374100244;[0.01601821065793289, 0.025, 0.06411884141223304];[];False;2;;7.865238072129604e-10;False;0.36806097856942727
17;380;0.006294427909103884;2.9076392457441442;[[0.06553275986768761, 0.020007067512427396, 0.016429559175346185]];6.129841140118278;0.6380394121757699;426.44246066289253;[0.004835501381481434, 0.025, 0.005329594483220693];[];False;3;;1.1120291674262221e-09;False;0.5009994287306546
18;380;0.003099969869407103;13.75600949651516;[[0.02011127198026924, 0.02195399763751506, 0.05570801452251392]];0.36935777842947065;-0.4145609402068379;469.2708302065761;[];[0.1222426721999472, 0.022990409433657044, 0.15605589725579233];False;2;0.23373679830588984;7.078357427172847e-10;False;0.3121806473488563
19;380;0.022412968197568963;0.034065697907083095;[[0.06660734379241966, 0.010921309816167225, 0.04136038862065393], [0.08148385524915927, 0.002439866138077645, 0.01191168247064566]];2.6148874466608905;-0.5181614792884719;481.3400130873551;[];[];False;0;;1.7689294204054447e-10;False;0.056478666104652055
20;380;0.006756982177602888;4.869896045048431;[[0.08174543031241815, 0.024257534137698007, 0.007325764111163202]];5.452429233906612;1.245482500693136;419.1114406296339;[0.06513099955215139, 0.025, 0.054795715537203];[];False;1;;6.086115371184738e-10;False;0.0771540010577001
21;380;0.008970619013271062;4.385948532989694;[[0.03739368363659815, 0.019748213549316773, 0.030140478207551433]];1.2196834180205536;-0.9126895046176748;444.1743259711958;[0.07198744675017238, 0.025, 0.05085816790853667];[];False;1;;2.1870253430842391e-10;False;0.06920643666987514
22;380;0.018394983630313232;17.3865508378168;[[0.04162491345474216, 0.018117031211077952, 0.0371335941834543]];1.2619966903873527;-0.3517259324802574;396.9145659860842;[];[0.15964211161767083, 0.008486320550907821, 0.138645352756545];True;3;0.27797510856022406;8.477184891598781e-10;False;0.35240833689263673
23;380;0.014546523185291867;4.647616680302784;[[0.07438019365708967, 0.01447564514665446, 0.02156553633701492]];2.160472104170101;0.870709741956029;511.9184981959861;[0.0832462933108668, 0.025, 0.012358128515093717];[];False;0;;1.083106317256515e-10;False;0.031103881880114558
24;380;0.0007078543984328152;5.693762190770447;[[0.04250002581661825, 0.024436444575232003, 0.08528220140288872]];5.72390505635799;-0.6114600913493025;419.1114406296339;[0.04169620337087563, 0.025, 0.08685053637257197];[];False;0;;8.417812101668378e-11;False;0.0025580975765573605
25;380;0.0027536275835346037;8.730865104084874;[[0.050879601661133554, 0.022569389488770204, 0.07237602824181961]];3.79493415132557;1.1399555049889918;496.768984169103;[0.029014850722111758, 0.025, 0.0039836115757670015];[];False;1;;2.4394475020206947e-10;False;0.08888397535586585
26;380;0.0006080830839309451;1.6675046537467222;[[0.011337611712250454, 0.024847608477501816, 0.04746395166850469]];4.951881690976896;0.7168483106940134;496.768984169103;[0.045859405524133645, 0.025, 0.06598986177191107];[];False;2;;2.0049531315928625e-10;False;0.07870732889863152
27;380;0.0020258749096968387;3.3245536321157325;[[0.05389320988778944, 0.022982562964708377, 0.06745788824186844]];1.6758740746602594;0.8971245345442859;412.0367646617399;[0.055503625151575794, 0.025, 0.0671856405899573];[];False;0;;6.102085127208534e-11;False;0.004621565241222052
