Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;Time_s;Timed_out;Total_distance_m
0;380;0.00034202938982980016;0.3942440138486219;[[0.024907096616142474, 0.01268776519628934, 0.15855763587509686]];4.094079392473133;0.6155978195246711;450.370708338086;[0.011411788819878503, 0.013000000000000001, 0.12691272090080413];[];False;2;;1.5914275074881355e-10;False;0.054934367348784506
1;380;1.0541371000842435e-06;11.621423930923159;[[0.005298909953169902, 0.012899290387549564, 0.15620435652560308]];4.533569729745489;-0.5733811562469698;450.370708338086;[0.005142952172785742, 0.013000000000000001, 0.15617080062346075];[];False;0;;4.085473684922396e-11;False;0.00018971058112163448
2;380;0.0013996648504338738;0.11788326925778242;[[0.16858247010130561, 0.012092310165078212, 0.0045790539094605065], [0.2824720065839, 0.0058671195528567106, 0.02913709810864698]];1.3609341495950262;-0.15640373068082947;436.7508539799367;[];[];False;1;;3.6255687985284146e-10;False;0.11928293410821628
3;380;0.00013124538823653848;0.08689588506869945;[[0.041336572886551105, 0.012812259062674091, 0.08184009140516162], [0.06113411744076685, 0.003638429740449684, 0.002271696871293208]];2.887773743052144;-0.4339266510742057;426.44246066289253;[];[];False;1;;2.969476732252055e-10;False;0.087027130456936
4;380;0.0024493286828297105;5.113124936193333;[[0.15458227314179915, 0.01160382310463142, 0.10468936620944704]];0.7595740192373736;-0.3411909502526625;492.4594622177664;[];[0.22972195297767922, 0.010923419673273198, 0.18865363362396081];False;1;0.18846145777887674;2.9591923056611376e-10;False;0.11824144247109498
5;380;0.000554794506158415;7.488341747199686;[[0.13339351854236306, 0.0126210633863123, 0.1749346180146481]];3.691877831304888;0.8709761212095827;433.55285670546846;[0.11182106798601239, 0.013000000000000001, 0.12034039991823622];[];False;1;;1.893865376947543e-10;False;0.06460429225290279
6;380;0.0007982713263054674;4.856641582443042;[[0.09409316196020154, 0.012570977643166562, 0.10944391216175933]];1.087037563634811;0.09775313126391158;444.1743259711958;[];[0.2052586372727376, 0.0077316194185555786, 0.2567435771306882];False;7;0.2523603297418939;2.4890858672215183e-09;False;1.1485108868922558
7;380;0.0007535368242797532;0.12008448792304753;[[0.12608119886120023, 0.012152339388737438, 0.0699401826090698], [0.20070180787789246, 0.010613860948970624, 0.02413256601564545]];2.4708946346527383;-0.020614419075376263;455.86529629651864;[];[];False;1;;1.1279390566485629e-09;False;0.12083802474732724
8;380;0.0002501074637336458;5.887812326857575;[[0.008168759410462065, 0.012764020711605399, 0.13166798518293898]];3.155657931048317;1.3022336314796796;419.1114406296339;[0.00107820836105751, 0.013000000000000001, 0.03194352467399353];[];False;5;;4.061120546425317e-09;False;1.900162496636828
9;380;0.0015231696203723347;3.176259737142236;[[0.10091114320369046, 0.011591626031075226, 0.16001034548413196]];2.8848097520010283;-0.47961882883707024;459.3721671579427;[];[0.18863919567785442, 0.008038055182972655, 0.21658074930178722];False;3;0.23373679830588984;8.537026722720713e-10;False;0.3908805012203596
10;380;0.0010865666715170925;3.296285520303136;[[0.1796593298024066, 0.012410272737647941, 0.0016512099067921386]];5.083975936614711;0.03736526110326971;477.8436481302492;[];[0.26290145818809313, 0.00023329666582573398, 0.22887815518990706];False;7;0.20641329805171382;3.952973071524409e-09;False;1.8448780963747151
11;380;0.00011147142333908081;1.6990683074101287;[[0.07965429791080121, 0.012819696076720455, 0.010564643774973924]];3.046874340231711;-0.2904882680934617;455.86529629651864;[];[0.22054389963201204, 0.0032984913238656636, 0.26270785303715305];True;6;0.23373679830588984;3.320298953875657e-09;False;1.5549376566338462
12;380;1.4186869156810095e-05;7.893380380118411;[[0.10063987381872896, 0.012886290190309976, 0.11653334432829855], [0.11897303161042844, 0.012782649471681024, 0.001994838773118242]];1.1134511784296999;0.16973558682341242;426.44246066289253;[];[];False;69;;1.687046657413478e-08;False;7.893394566987568
13;380;0.00092177328151754;0.058668046390910014;[[0.14871162514539826, 0.012365910556380963, 0.14952299354163526]];0.5229755117052121;-1.3116876643661002;473.2693773900932;[0.15543529989927582, 0.013000000000000001, 0.19504078771219055];[];False;1;;1.5792434392061608e-10;False;0.053462298656729454
14;380;0.00021111965389576575;0.7363882701905439;[[0.141276435393926, 0.01276150148672003, 0.046493924454879064], [0.13883204649887376, 0.005241732160301488, 0.4425323192230039]];1.0029567514072149;0.05478820403969167;409.494335816729;[];[];False;2;;1.6254655100822917e-09;False;0.7365993898444396
15;380;0.00032100941334893264;0.8332133794326454;[[0.05083810984970734, 0.0126290036610917, 0.1329670986007196], [0.31114730497634263, 0.0044504728750640625, 0.4026036299278962]];2.4288099210231477;-0.15882959456780177;400.7450187005097;[];[];False;6;;1.8821529537369347e-09;False;0.8335343888459942
16;380;0.0004652564952586356;0.6334596441521205;[[0.019959198217261085, 0.012615950221246397, 0.16818549537412644]];0.13080403350882452;-1.302677498281019;489.0345374100244;[0.026996768825885885, 0.013000000000000001, 0.3701166967823006];[];False;1;;4.745910250809439e-10;False;0.20413635019281146
17;380;0.00039340174431899276;2.9076392457441442;[[0.13454197218947153, 0.01259419171952672, 0.030103148398480852]];6.129841140118278;0.6380394121757699;426.44246066289253;[0.10002523167718025, 0.013000000000000001, 0.30812617737938525];[];False;1;;6.289564713527159e-10;False;0.281717543383613
18;380;0.00019374811683794393;13.75600949651516;[[0.04176001374540486, 0.012715874852344693, 0.12116539996710654]];0.36935777842947065;-0.4145609402068379;469.2708302065761;[];[0.22493943159240132, 0.010105109651169269, 0.26186412151817273];False;4;0.23373679830588984;1.1989957656176787e-09;False;0.5545503754289166
19;380;0.0014008105123480602;0.034065697907083095;[[0.1630450638705753, 0.012026331863510455, 0.05818462129738959], [0.17792157532731492, 0.0035448881854208765, 0.02873591514738133]];2.6148874466608905;-0.5181614792884719;481.3400130873551;[];[];False;0;;1.4564329881454735e-10;False;0.03546650841943115
20;380;0.0004223113861001805;4.869896045048431;[[0.16456892798511277, 0.012859845883606131, 0.007338525669008847]];5.452429233906612;1.245482500693136;419.1114406296339;[0.1558464731073822, 0.013000000000000001, 0.03225990367684891];[];False;1;;3.6445172603457676e-10;False;0.03738023245895765
21;380;0.0005606636883294414;4.385948532989694;[[0.09468178783585958, 0.012578013346832298, 0.0704733117952636]];1.2196834180205536;-0.9126895046176748;444.1743259711958;[0.11445553218122834, 0.013000000000000001, 0.08231551289460606];[];False;1;;1.2011053546515071e-10;False;0.034991368866759964
22;380;0.001149686476894577;17.3865508378168;[[0.05632949498447955, 0.012476064450692374, 0.09301891677487548]];1.2619966903873527;-0.3517259324802574;396.9145659860842;[];[0.23860376087920643, 0.0004157569166146919, 0.26058638598170014];False;117;0.27797510856022406;1.6373224651680417e-08;False;7.721705136601533
23;380;0.0009091576990807417;4.647616680302784;[[0.14668442091170822, 0.012248477821665906, 0.06288310936701257]];2.160472104170101;0.870709741956029;511.9184981959861;[0.14731753055291494, 0.013000000000000001, 0.0622256276230422];[];False;0;;4.0499441124414145e-11;False;0.002091484069408004
24;380;4.424089990205095e-05;5.693762190770447;[[0.09057762918262467, 0.012871027785952003, 0.18416908416888078]];5.72390505635799;-0.6114600913493025;419.1114406296339;[0.090393670771486, 0.013000000000000001, 0.18452800473732747];[];False;0;;4.2480618441109235e-11;False;0.00046767743998710757
25;380;0.00017210172397091273;8.730865104084874;[[0.11209912124688251, 0.012754336843048142, 0.15716270990461062]];3.79493415132557;1.1399555049889918;496.768984169103;[0.10026142127375472, 0.013000000000000001, 0.12013466823206748];[];False;1;;1.306238482391076e-10;False;0.04680355974302248
26;380;3.800519274568407e-05;1.6675046537467222;[[0.025269666067496765, 0.012896725529843866, 0.10298671394552966]];4.951881690976896;0.7168483106940134;496.768984169103;[0.004445208963366921, 0.013000000000000001, 0.11261125610094742];[];False;2;;1.622570130727604e-10;False;0.040611962394001354
27;380;0.00012661718185605242;3.3245536321157325;[[0.11500536596393451, 0.01278016018529428, 0.14610718722391075]];1.6758740746602594;0.8971245345442859;412.0367646617399;[0.11518085267652918, 0.013000000000000001, 0.14607752043763528];[];False;0;;2.937135897902282e-11;False;0.0004094691725420698
