Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;Time_s;Timed_out;Total_distance_m
0;380;0.0054724702372768025;0.34496351211754417;[[0.03190070579759274, 0.016504243140629378, 0.22469922276831006]];4.094079392473133;0.6155978195246711;450.370708338086;[0.01971115745412707, 0.02, 0.1797294224933919];[];False;2;;2.3148900776152046e-10;False;0.08305228160821558
1;380;1.6866193601347895e-05;10.168745939557764;[[0.007436469560424198, 0.019888646200793027, 0.2188846183642844]];4.533569729745489;-0.5733811562469698;450.370708338086;[0.007264028311380472, 0.02, 0.21884751587626516];[];False;0;;6.284994577877331e-11;False;0.0002254620890231065
2;380;0.02239463760694198;0.10314786060055962;[[0.2377747035279569, 0.006976962641251381, 0.010199906155682704], [0.33742804795022696, 0.008737538361941686, 0.03168819482997089]];1.3609341495950262;-0.15640373068082947;436.7508539799367;[];[];False;2;;4.4663455018808447e-10;False;0.12554249820750163
3;380;0.0020999262117846157;0.07603389943511203;[[0.056499454758841564, 0.01849614500278544, 0.11466516320699999], [0.07382230624378033, 0.010469044345839082, 0.04106734846510201]];2.887773743052144;-0.4339266510742057;426.44246066289253;[];[];False;0;;3.129328628078964e-10;False;0.07813382564689665
4;380;0.03918925892527537;4.473984319169166;[[0.18798486367345607, 0.0008388303258972697, 0.15674423999398782]];0.7595740192373736;-0.3411909502526625;492.4594622177664;[];[0.28522207075559314, 0.006312093997548975, 0.26540122224248536];False;2;0.18846145777887674;4.755235569239097e-10;False;0.18903421130596787
5;380;0.00887671209853464;6.552299028799726;[[0.19380955306423847, 0.015437014180996826, 0.2438757471520434]];3.691877831304888;0.8709761212095827;433.55285670546846;[0.16397225768122736, 0.02, 0.16836537306208488];[];False;1;;2.705849150632241e-10;False;0.09746487589620406
6;380;0.012772341220887478;4.249561384637662;[[0.12682368691178464, 0.014635642290665052, 0.144009933682757]];1.087037563634811;0.09775313126391158;444.1743259711958;[];[0.2915954128555282, 0.011527074370860627, 0.33550243164643784];True;6;0.2523603297418939;3.3722714499093853e-09;False;1.5618419697593917
7;380;0.012056589188476052;0.1050739269326666;[[0.17696459325360347, 0.007937430219798983, 0.09666573030639107], [0.24225762614320917, 0.006591261585003021, 0.014352075259765196]];2.4708946346527383;-0.020614419075376263;455.86529629651864;[];[];False;0;;3.028484358105829e-10;False;0.11713051612114266
8;380;0.004001719419738333;5.151835786000379;[[0.012045078829607883, 0.017724331385686402, 0.18750973417145705]];3.155657931048317;1.3022336314796796;419.1114406296339;[0.0016629144737791072, 0.02, 0.19411491564307753];[];False;6;;5.950323225889797e-09;False;2.7859015391420523
9;380;0.024370713925957355;2.7792272699994567;[[0.14223208316382607, 0.00103398350279639, 0.21286486596139165], [0.4315662866312792, 0.004670052505313294, 0.07523718149986305]];2.8848097520010283;-0.47961882883707024;459.3721671579427;[];[];False;16;;6.241634130306614e-09;False;2.803597983925414
10;380;0.01738506674427348;2.884249830265244;[[0.26305750287427665, 0.012064363802367025, 0.01084199880327709]];5.083975936614711;0.03736526110326971;477.8436481302492;[];[0.3322230613032912, 0.004931572010697207, 0.28022073097719064];False;7;0.20641329805171382;5.3781087026331865e-09;False;2.520692534598167
11;380;0.001783542773425293;1.4866847689838627;[[0.11188034704370152, 0.018615137227527234, 0.01590188311424256], [0.2465953569782482, 0.018342810776335004, 0.2641189303033069]];3.046874340231711;-0.2904882680934617;455.86529629651864;[];[];False;4;;3.909248227521602e-09;False;1.488468311757288
12;380;0.00022698990650896151;6.90670783260361;[[0.14099858692895528, 0.019680643044959572, 0.16334253729478393], [0.2488372946784511, 0.013529679159280867, 0.3868786550659934]];1.1134511784296999;0.16973558682341242;426.44246066289253;[];[];False;41;;1.4813135968936733e-08;False;6.906934822510118
13;380;0.01474837250428064;0.051334540592046264;[[0.20084535296086486, 0.011354568902095422, 0.21748719701521263], [0.20741469637941176, 0.01342910723763905, 0.26196020210646315]];0.5229755117052121;-1.3116876643661002;473.2693773900932;[];[];False;1;;2.0961724030593537e-10;False;0.06608291309632688
14;380;0.003377914462332252;0.6443397364167259;[[0.19880445002719327, 0.01768402378752046, 0.06298044408270076], [0.4587904716290064, 0.0074311943463766395, 0.40951403950481013]];1.0029567514072149;0.05478820403969167;409.494335816729;[];[];False;2;;1.999107303427958e-09;False;0.6477176508790582
