Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;Time_s;Timed_out;Total_distance_m
0;380;0.0054724702372768025;0.19712200692431095;[[0.005027856975112509, 0.016504243140629378, 0.05521247538086354]];4.094079392473133;0.6155978195246711;450.370708338086;[0.046584006276607304, 0.02, 0.010242675105945377];[];False;2;;1.9299690867332347e-10;False;0.0830522816082156
1;380;1.6866193601347895e-05;5.8107119654615795;[[0.0017669742560229365, 0.019888646200793027, 0.05173159758031052]];4.533569729745489;-0.5733811562469698;450.370708338086;[0.001594533006979211, 0.02, 0.05169449509229126];[];False;0;;6.284994577877331e-11;False;0.00022546208902310896
2;380;0.02239463760694198;0.05894163462889121;[[0.05748921200566023, 0.006976962641251381, 0.016317902762393408], [0.11443398024695742, 0.0020027522177160847, 0.028596924861986655]];1.3609341495950262;-0.15640373068082947;436.7508539799367;[];[];False;2;;3.8421803185007697e-10;False;0.0813362722358332
3;380;0.0020999262117846157;0.04344794253434973;[[0.01216112150423456, 0.018496145002785437, 0.02708764447688558], [0.022059893781342432, 0.013909230341673235, 0.014968249661341831]];2.887773743052144;-0.4339266510742057;426.44246066289253;[];[];False;1;;4.0883061870915156e-10;False;0.04554786874613434
4;380;0.03918925892527537;2.5565624680966663;[[0.02046926854094151, 0.0008388303258972801, 0.045453375463501124]];0.7595740192373736;-0.3411909502526625;492.4594622177664;[];[0.0649957201299862, 0.014971507093124798, 0.095209122312674];False;2;0.18846145777887674;2.8156926278850396e-10;False;0.1078056272708374
5;380;0.00887671209853464;3.744170873599843;[[0.051571199125182564, 0.015437014180996822, 0.05658762979215154]];3.691877831304888;0.8709761212095827;433.55285670546846;[0.021733903742171448, 0.02, 0.018922744297806982];[];False;2;;2.7058491506322404e-10;False;0.09746487589620406
6;380;0.012772341220887478;2.428320791221521;[[0.02576692279586458, 0.014635642290665054, 0.0262094820862467]];1.087037563634811;0.09775313126391158;444.1743259711958;[];[0.10110567117408309, 0.0179762112366425, 0.06598216757366504];True;0;0.2523603297418939;2.7644593888916646e-10;False;0.09828478608348964
7;380;0.012056589188476052;0.060042243961523765;[[0.042067427153138034, 0.007937430219798978, 0.021725126206063036], [0.07937773166148415, 0.007168190999915571, 0.025311248106294607]];2.4708946346527383;-0.020614419075376263;455.86529629651864;[];[];False;1;0.23373679830588984;2.72626180760404e-10;False;0.07209883314999982
8;380;0.004001719419738333;2.9439061634287875;[[0.0033476207583023965, 0.017724331385686402, 0.04683331645068989]];3.155657931048317;1.3022336314796796;419.1114406296339;[0.007034543597526378, 0.02, 0.0652086666361554];[];False;16;;5.950323225889797e-09;False;2.7859015391420523
9;380;0.024370713925957355;1.588129868571118;[[0.03430859347387033, 0.0010339835027963762, 0.04080691017728174]];2.8848097520010283;-0.47961882883707024;459.3721671579427;[];[0.06546276644668558, 0.015170126142240097, 0.09292892204625464];True;3;0.23373679830588984;3.899739750094682e-10;False;0.1626401193760797
