Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;1.073932124650726;0;[];0;0;380;[];[0.05496436471077616, 0.0025001773179654063, 0.042681086611675495];True;12;0.27532653351515757;[0.031159166321274273, 0.03114099667237062, 0.005703488207256226, 0.0, 0.019734020257858174, 0.04517152872297257, 0.07060903718808698, 0.09604654565320137, 0.12148405411831575, 0.12169806286309226, 0.14692156258343014, 0.15, 0.12764092895145546, 0.10220342048634107, 0.07676591202122668, 0.05132840355611228, 0.025890895090997887, 0.00045338662588349093, 0.0, 0.024984121839230905, 0.0504216303043453, 0.05496436471077616];[0.01399, 0.014, 0.0, 0.003139019492065968, 0.014, 0.0, 0.014, 0.0, 0.014, 0.013882216356567311, 0.0, 0.0016942745745356198, 0.014, 0.0, 0.014, 0.0, 0.014, 0.0, 0.00024952965700527886, 0.014, 0.0, 0.0025001773179654063];[0.027968517468497156, 0.027965192940468814, 0.02331085370078855, 0.022267277872499706, 0.01865651446110829, 0.014002175221428026, 0.009347835981747762, 0.004693496742067498, 3.915750238723398e-05, 0.0, 0.00461518173729303, 0.005178448068368296, 0.009269520976973294, 0.013923860216653558, 0.01857819945633382, 0.023232538696014084, 0.027886877935694346, 0.03254121717537461, 0.0326241740092363, 0.03719555641505488, 0.04184989565473514, 0.042681086611675495];9.42354043828182e-10;False;0.4463668034666748
1;380;1.3133784583180377;0;[];0;0;380;[];[0.10831349756554849, 0.0043279124837829926, 0.05697703629893];False;3;0.27532653351515757;[0.014942069671920286, 0.014728656426315687, 0.0, 0.05462954412798595, 0.15, 0.10831349756554849];[0.01399, 0.014, 0.013309852751426515, 0.010750051743142393, 0.006281235592494088, 0.0043279124837829926];[0.028922167935383106, 0.02883344822066205, 0.022710481519765482, 0.0, 0.03964720940263932, 0.05697703629893];4.728622717761381e-10;False;0.22398165754694735
2;380;1.4449516456478002;0;[];0;0;380;[];[0.07062164646750345, 0.007986811487903905, 0.03792484783174022];False;4;0.27532653351515757;[0.03350936546370786, 0.010013914796143514, 0.0, 0.0007842118707629453, 0.013498330332226811, 0.037010575460597134, 0.060522820588967456, 0.07062164646750345];[0.01399, 0.0, 0.005962629531147898, 0.006429576270208295, 0.014, 0.0, 0.014, 0.007986811487903905];[0.018622944979661698, 0.005863865319150726, 0.00042586209012776544, 0.0, 0.0069043344840768375, 0.0196725342873044, 0.03244073409053196, 0.03792484783174022];2.8233876961884575e-10;False;0.13373599329771263
3;380;3.486723911278151;0;[];0;0;380;[0.026136989608170794, 0.014, 0.09885322871077018];[];False;2;;[0.009243683996274055, 0.0, 0.008440332571292342, 0.026136989608170794];[0.01399, 0.006677230380395961, 0.0, 0.014];[0.033569636845228054, 0.050625866471986386, 0.06619977082875554, 0.09885322871077018];1.6753102579330566e-10;False;0.07935477006186167
4;380;0.95839398934502;0;[];0;0;380;[];[0.03777865705946493, 0.005489210283311991, 0.08123255179974828];False;2;0.27532653351515757;[0.011444445307883373, 0.0, 0.023907665588992114, 0.03777865705946493];[0.01399, 0.009461054321923415, 0.0, 0.005489210283311991];[0.026930791510798743, 0.039556032421272355, 0.06593040265485164, 0.08123255179974828];1.6010142622274597e-10;False;0.07583557615266383
5;380;5.099085073492466;0;[];0;0;380;[0.015383153964305014, 0.014, 0.023665895577734155];[];False;2;;[0.0037158745777226975, 0.0, 0.005830227933994619, 0.015383153964305014];[0.01399, 0.008544313105423737, 0.0, 0.014];[0.016020940728244615, 0.017508330168526588, 0.01984205249474546, 0.023665895577734155];7.333551852492623e-11;False;0.03473698786452163
6;380;1.193432144362016;0;[];0;0;380;[0.01875259012237229, 0.014, 0.008085585417137811];[];False;2;;[0.017601660754795256, 0.0, 0.0005689705339355048, 0.01875259012237229];[0.01399, 0.0004380639089129699, 0.0, 0.014];[0.031929936334773514, 0.020385201794964603, 0.020012020316991324, 0.008085585417137811];1.0916223898283416e-10;False;0.051707105193806696
7;380;1.6546227990896356;0;[];0;0;380;[0.03223283430482159, 0.014, 0.017713280645254674];[];False;2;;[0.0005181387360522994, 0.0, 0.015851497306885384, 0.03223283430482159];[0.01399, 0.013547182523890079, 0.0, 0.014];[0.026557102928305903, 0.02641718870670728, 0.02213677160498019, 0.017713280645254674];9.284998282970108e-11;False;0.04398044483288274
8;380;0.5900180903644778;0;[];0;0;380;[];[0.04084804040579638, 0.010374193705747018, 0.061302876051975604];False;2;0.27532653351515757;[4.2170032702403466e-05, 2.54008867007213e-05, 0.0, 0.023451403515655275, 0.04084804040579638];[0.01399, 0.014, 0.013984852605673436, 0.0, 0.010374193705747018];[0.01821302327257048, 0.01823069449569944, 0.018257461794196145, 0.042970406876244226, 0.061302876051975604];1.3556464712290505e-10;False;0.06421318887062777
9;380;5.141631641476085;0;[];0;0;380;[];[0.09624844146833601, 0.009364874971548786, 0.04465948977483612];False;7;0.27532653351515757;[0.03212038846480935, 0.03210408152415373, 0.00927436460627562, 0.0, 0.013555352311602487, 0.03638506922948059, 0.0592147861473587, 0.0820445030652368, 0.10487421998311491, 0.12770393690099302, 0.15, 0.14946634618112886, 0.12663662926325076, 0.10380691234537265, 0.09624844146833601];[0.01399, 0.014, 0.0, 0.005687372513418212, 0.014, 0.0, 0.014, 0.0, 0.014, 0.0, 0.013672744366867506, 0.014, 0.0, 0.014, 0.009364874971548786];[0.00705037567643821, 0.007052975771954115, 0.01069310949422097, 0.012171880671162916, 0.014333243216487827, 0.017973376938754684, 0.02161351066102154, 0.025253644383288393, 0.028893778105555247, 0.0325339118278221, 0.036088955959662716, 0.036174045550088955, 0.03981417927235581, 0.043454312994622664, 0.04465948977483612];5.895113840525317e-10;False;0.279235085613663
