Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;1.073932124650726;0;[];0;0;380;[];[0.055190751593996536, 0.004375226502757352, 0.04272250896069866];False;19;0.27532653351515757;[0.031159166321274273, 0.03114099667237062, 0.018422242439813424, 0.005703488207256226, 0.0, 0.007015266025300973, 0.01973402025785817, 0.032452774490415365, 0.04517152872297256, 0.057890282955529754, 0.07060903718808695, 0.08332779142064414, 0.09604654565320134, 0.10876529988575853, 0.12148405411831573, 0.12169806286309225, 0.13420280835087292, 0.14692156258343012, 0.15, 0.14035968318401268, 0.12764092895145548, 0.11492217471889829, 0.1022034204863411, 0.0894846662537839, 0.0767659120212267, 0.06404715778866951, 0.05132840355611232, 0.03860964932355512, 0.025890895090997925, 0.013172140858440727, 0.0004533866258835291, 0.0, 0.01226536760667367, 0.02498412183923087, 0.03770287607178807, 0.050421630304345266, 0.055190751593996536];[0.0069900000000000006, 0.007, 0.0, 0.007, 0.003860980507934032, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0068822163565673, 0.0, 0.007, 0.005305725425464365, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0067504703429947, 0.0, 0.007, 0.0, 0.007, 0.004375226502757352];[0.027968517468497156, 0.027965192940468814, 0.025638023320628683, 0.02331085370078855, 0.022267277872499706, 0.02098368408094842, 0.01865651446110829, 0.01632934484126816, 0.014002175221428027, 0.011675005601587896, 0.009347835981747765, 0.007020666361907633, 0.004693496742067501, 0.0023663271222273694, 3.915750238723745e-05, 0.0, 0.002288012117452894, 0.004615181737293026, 0.0051784480683682976, 0.006942351357133158, 0.00926952097697329, 0.011596690596813421, 0.013923860216653552, 0.016251029836493684, 0.018578199456333815, 0.020905369076173946, 0.023232538696014077, 0.025559708315854208, 0.02788687793569434, 0.03021404755553447, 0.0325412171753746, 0.0326241740092363, 0.034868386795214736, 0.03719555641505487, 0.039522726034895005, 0.04184989565473514, 0.04272250896069866];9.42906552488563e-10;False;0.44662851139506676
1;380;1.3133784583180377;0;[];0;0;380;[];[0.10844246844051292, 0.0026660442701851583, 0.05692342079253651];False;4;0.27532653351515757;[0.014942069671920286, 0.014728656426315687, 0.0, 0.05462954412798595, 0.13466061549690908, 0.15, 0.10844246844051292];[0.0069900000000000006, 0.007, 0.006309852751426514, 0.003750051743142392, 0.0, 0.0007187644075059131, 0.0026660442701851583];[0.028922167935383106, 0.02883344822066205, 0.022710481519765482, 0.0, 0.03327035208408152, 0.03964720940263932, 0.05692342079253651];4.725671264324572e-10;False;0.22384185543702936
2;380;1.4449516456478002;0;[];0;0;380;[];[0.06952286183512027, 0.001641065676280108, 0.037328158674648365];False;6;0.27532653351515757;[0.03350936546370786, 0.02177003736032868, 0.010013914796143518, 0.0, 0.000784211870762942, 0.0017422077680416441, 0.013498330332226804, 0.025254452896411966, 0.03701057546059713, 0.048766698024782285, 0.06052282058896745, 0.06952286183512027];[0.0069900000000000006, 0.0, 0.007, 0.0010373704688520996, 0.0005704237297917043, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.001641065676280108];[0.018622944979661698, 0.012247965220764507, 0.005863865319150726, 0.0004258620901277637, 0.0, 0.0005202345824630551, 0.006904334484076836, 0.013288434385690617, 0.019672534287304397, 0.02605663418891818, 0.032440734090531956, 0.037328158674648365];2.7935954666278636e-10;False;0.13232481855248784
3;380;3.486723911278151;0;[];0;0;380;[0.008440332571292342, 0.007, 0.06619977082875554];[];False;2;;[0.009243683996274055, 0.00040799594714688477, 0.0, 0.008440332571292342];[0.0069900000000000006, 0.0, 0.00032276961960403836, 0.007];[0.033569636845228054, 0.04987304188774822, 0.05062586647198639, 0.06619977082875554];8.373558595385303e-11;False;0.039663209473577876
4;380;0.95839398934502;0;[];0;0;380;[];[0.03737585908300971, 0.0016701902036079198, 0.08078819461561325];False;2;0.27532653351515757;[0.011444445307883373, 0.0, 0.006218975361820676, 0.02390766558899211, 0.03737585908300971];[0.0069900000000000006, 0.002461054321923415, 0.0, 0.007, 0.0016701902036079198];[0.026930791510798743, 0.039556032421272355, 0.04641665869428193, 0.06593040265485164, 0.08078819461561325];1.5879129891648953e-10;False;0.0752150054216757
5;380;5.099085073492466;0;[];0;0;380;[0.00583022793399462, 0.007, 0.01984205249474546];[];False;2;;[0.0037158745777226975, 0.0, 0.001053764918839422, 0.00583022793399462];[0.0069900000000000006, 0.0015443131054237377, 0.0, 0.007];[0.016020940728244615, 0.017508330168526588, 0.017930130953251112, 0.01984205249474546];3.665465895547403e-11;False;0.01736228868255297
6;380;1.193432144362016;0;[];0;0;380;[0.0005689705339355048, 0.007, 0.02001202031699132];[];False;2;;[0.017601660754795256, 0.008522839260282888, 0.0, 0.0005689705339355048];[0.0069900000000000006, 0.0, 0.00656193609108703, 0.007];[0.031929936334773514, 0.02597523776691808, 0.0203852017949646, 0.02001202031699132];5.4561619270091105e-11;False;0.025844315886436434
7;380;1.6546227990896356;0;[];0;0;380;[0.015851497306885384, 0.007, 0.02213677160498019];[];False;2;;[0.0005181387360522994, 0.0, 0.00766082880791728, 0.015851497306885384];[0.0069900000000000006, 0.006547182523890079, 0.0, 0.007];[0.026557102928305903, 0.02641718870670728, 0.02434851708484295, 0.02213677160498019];4.6408405137103185e-11;False;0.021982365959700947
8;380;0.5900180903644778;0;[];0;0;380;[];[0.03993605549556781, 0.0028303467441086324, 0.06034183195126369];False;3;0.27532653351515757;[4.2170032702403466e-05, 2.54008867007213e-05, 0.0, 0.011713001314477275, 0.02345140351565527, 0.03518980571683327, 0.03993605549556781];[0.0069900000000000006, 0.007, 0.0069848526056734365, 0.0, 0.007, 0.0, 0.0028303467441086324];[0.01821302327257048, 0.01823069449569944, 0.018257461794196145, 0.030600550685971832, 0.042970406876244226, 0.05534026306651662, 0.06034183195126369];1.325411138319111e-10;False;0.06278102555672775
9;380;5.141631641476085;0;[];0;0;380;[];[0.09756452231209216, 0.0031719428768961925, 0.04444964441066368];True;12;0.27532653351515757;[0.03212038846480935, 0.03210408152415373, 0.020689223065214674, 0.00927436460627562, 0.0, 0.002140493852663433, 0.013555352311602487, 0.02497021077054154, 0.03638506922948059, 0.04779992768841965, 0.0592147861473587, 0.07062964460629775, 0.0820445030652368, 0.09345936152417586, 0.10487421998311491, 0.11628907844205397, 0.12770393690099302, 0.13911879535993207, 0.15, 0.14946634618112886, 0.1380514877221898, 0.12663662926325076, 0.1152217708043117, 0.10380691234537265, 0.09756452231209216];[0.0069900000000000006, 0.007, 0.0, 0.007, 0.0013126274865817881, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.006672744366867504, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0031719428768961925];[0.00705037567643821, 0.007052975771954115, 0.008873042633087542, 0.010693109494220969, 0.012171880671162915, 0.012513176355354398, 0.014333243216487827, 0.016153310077621254, 0.01797337693875468, 0.019793443799888108, 0.021613510661021535, 0.023433577522154962, 0.02525364438328839, 0.027073711244421816, 0.028893778105555244, 0.03071384496668867, 0.0325339118278221, 0.03435397868895553, 0.036088955959662716, 0.036174045550088955, 0.037994112411222386, 0.03981417927235582, 0.04163424613348925, 0.04345431299462268, 0.04444964441066368];5.862221220202847e-10;False;0.2776770540132106
