Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;1.073932124650726;2.58961387821321;[[0.2499426155199969, 0.005276915748482495, 0.0093682302100399]];4.924751778411374;-0.404299190356467;444.1743259711958;[];[0.28031582371191294, 0.01984870738815699, 0.23676640590109432];False;26;0.2523603297418939;[0.1789329903381577, 0.17891482068925404, 0.13894159310121715, 0.09896836551318025, 0.05899513792514335, 0.019021910337106443, 0.0, 0.020951317250930464, 0.060924544838967365, 0.10089777242700426, 0.14087100001504116, 0.18084422760307806, 0.22081745519111495, 0.26079068277915185, 0.30076391036718875, 0.34073713795522564, 0.38071036554326254, 0.42068359313129944, 0.46065682071933634, 0.5, 0.49936995169262677, 0.45939672410458987, 0.419423496516553, 0.3794502689285161, 0.3394770413404792, 0.30114310242034603, 0.2995038137524423, 0.2595305861644054, 0.2499426155199969, 0.2108581325144926, 0.15944066590434447, 0.10802319929419635, 0.05660573268404823, 0.005188266073900105, 0.0, 0.046229200536248016, 0.09764666714639614, 0.14906413375654426, 0.20048160036669238, 0.2518990669768405, 0.3033165335869886, 0.35473400019713675, 0.40615146680728487, 0.457568933417433, 0.5, 0.4910135999724189, 0.43959613336227077, 0.38817866675212265, 0.3367612001419745, 0.2853437335318264, 0.28031582371191294];[0.02199, 0.022, 0.0, 0.022, 0.0, 0.022, 0.011530942266428743, 0.0, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0003467586581965068, 0.0, 0.022, 0.0, 0.022, 0.0, 0.021097787372449356, 0.022, 0.0, 0.005276915748482495, 0.022, 0.0, 0.022, 0.0, 0.022, 0.019780095731062826, 0.0, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0, 0.018154987523874528, 0.022, 0.0, 0.022, 0.0, 0.022, 0.01984870738815699];[0.1606105379830501, 0.16060721345502177, 0.15329325179266706, 0.14597929013031236, 0.13866532846795765, 0.13135136680560294, 0.12787089921904302, 0.12403740514324824, 0.11672344348089353, 0.10940948181853882, 0.10209552015618412, 0.09478155849382941, 0.0874675968314747, 0.08015363516912, 0.07283967350676529, 0.06552571184441058, 0.058211750182055884, 0.050897788519701184, 0.043583826857346485, 0.036385146082816275, 0.036269865194991785, 0.028955903532637085, 0.021641941870282386, 0.014327980207927686, 0.007014018545572986, 0.0, 0.0002999431167817137, 0.007613904779136414, 0.0093682302100399, 0.018534375585114102, 0.030592868816309397, 0.04265136204750469, 0.05470985527869999, 0.06676834850989528, 0.06798510762811712, 0.07882684174109057, 0.09088533497228586, 0.10294382820348115, 0.11500232143467644, 0.12706081466587174, 0.13911930789706703, 0.15117780112826232, 0.1632362943594576, 0.1752947875906529, 0.1852457782347018, 0.18735328082184818, 0.19941177405304347, 0.21147026728423876, 0.22352876051543405, 0.23558725374662934, 0.23676640590109432];4.6191229172940985e-09;False;2.152823590126943
1;380;2.1146774002421678;16.248007340264717;[[0.22093787818774135, 0.02063457860295277, 0.21226225963964446]];1.5739777634038004;0.9605249276753232;464.8436421268753;[0.22189274865679867, 0.022, 0.21225695877818213];[];False;25;;[0.12361865416052112, 0.12359803212664049, 0.07822955758925898, 0.03286108305187748, 0.0, 0.01250739148550402, 0.05787586602288552, 0.10324434056026702, 0.1486128150976485, 0.19398128963503, 0.2393497641724115, 0.284718238709793, 0.33008671324717453, 0.37545518778455605, 0.4208236623219376, 0.4661921368593191, 0.5, 0.4884393886032994, 0.44307091406591786, 0.39770243952853634, 0.3523339649911548, 0.3069654904537733, 0.2615970159163918, 0.2162285413790103, 0.1708600668416288, 0.1254915923042473, 0.08012311776686581, 0.034754643229484315, 0.0, 0.010613831307897186, 0.05598230584527868, 0.10135078038266018, 0.14671925492004168, 0.19208772945742317, 0.23745620399480466, 0.2828246785321862, 0.3281931530695677, 0.3735616276069492, 0.41893010214433074, 0.46429857668171226, 0.5, 0.4903329487809062, 0.4449644742435247, 0.3995959997061432, 0.35422752516876166, 0.30885905063138014, 0.2634905760939986, 0.22093787818774135, 0.22189274865679867];[0.02199, 0.022, 0.0, 0.022, 0.00606506203893559, 0.0, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0, 0.01639404887819505, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0051468402046743154, 0.0, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0, 0.017312270712456324, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0, 0.02063457860295277, 0.022];[0.19242912037289153, 0.1924293353325816, 0.19290224665075056, 0.19337515796891952, 0.19371769490146987, 0.19384806928708848, 0.19432098060525743, 0.1947938919234264, 0.19526680324159534, 0.1957397145597643, 0.19621262587793326, 0.1966855371961022, 0.19715844851427117, 0.19763135983244012, 0.19810427115060908, 0.19857718246877804, 0.19892958843537412, 0.19905009378694702, 0.19952300510511597, 0.19999591642328493, 0.2004688277414539, 0.20094173905962284, 0.2014146503777918, 0.20188756169596075, 0.2023604730141297, 0.20283338433229867, 0.20330629565046762, 0.20377920696863658, 0.2041414819692784, 0.20425211828680556, 0.20472502960497452, 0.20519794092314347, 0.20567085224131243, 0.20614376355948139, 0.20661667487765034, 0.2070895861958193, 0.20756249751398825, 0.2080354088321572, 0.20850832015032617, 0.20898123146849512, 0.20935337550318264, 0.20945414278666408, 0.20992705410483303, 0.210399965423002, 0.21087287674117094, 0.2113457880593399, 0.21181869937750886, 0.21226225963964446, 0.21225695877818213];4.474557761507317e-09;False;2.116343587897663
2;380;3.436552399982904;0;[];0;0;380;[];[0.2660318263820447, 0.0067623061900347215, 0.2160426323627293];False;14;0.27532653351515757;[0.17168503230767734, 0.12919923813596634, 0.08669412345758336, 0.04418900877920037, 0.0016838941008173874, 0.0, 0.0408212205775656, 0.08332633525594858, 0.12583144993433157, 0.16833656461271457, 0.21084167929109754, 0.2533467939694805, 0.2534816061134184, 0.29585190864786354, 0.3383570233262465, 0.3808621380046295, 0.42336725268301245, 0.4658723673613954, 0.5, 0.4916225179602216, 0.44911740328183863, 0.40661228860345566, 0.3641071739250727, 0.3216020592466897, 0.27909694456830675, 0.2660318263820447];[0.02199, 0.0, 0.022, 0.0, 0.022, 0.021128442059307674, 0.0, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0219302232875014, 0.0, 0.022, 0.0, 0.022, 0.0, 0.017663942886175586, 0.022, 0.0, 0.022, 0.0, 0.022, 0.0, 0.0067623061900347215];[0.19116896489814758, 0.17206594843184256, 0.15295424482753558, 0.1338425412232286, 0.11473083761892164, 0.113973703208172, 0.09561913401461467, 0.07650743041030769, 0.057395726806000726, 0.03828402320169376, 0.019172319597386793, 6.061599307982668e-05, 0.0, 0.019051087611227143, 0.038162791215534106, 0.05727449481984107, 0.07638619842414804, 0.09549790202845501, 0.11084281297954567, 0.11460960563276198, 0.13372130923706896, 0.15283301284137593, 0.1719447164456829, 0.19105642004998988, 0.21016812365429685, 0.2160426323627293];2.318207140136063e-09;False;1.0980700063773743
3;380;1.4158281313010626;8.019115604461062;[[0.16614242914383007, 0.019985954272546142, 0.08533865332493126]];6.073366927803459;-0.045996664316686066;506.3272559178258;[];[];False;17;;[0.144936195172882, 0.14486090100149748, 0.04843022204138325, 0.0, 0.02078627604443307, 0.1864334530903636, 0.35208063013629415, 0.433872761519036, 0.5, 0.48227219281777534, 0.31662501577184476, 0.16614242914383007, 0.12238653533269167, 0.07793262025941977, 0.0, 0.028431054087989405, 0.13479472843539858, 0.24115840278280776, 0.34752207713021693, 0.35557166130765705, 0.4538857514776261, 0.5, 0.4397505741749647];[0.02199, 0.022, 0.009192809591108988, 0.0027606753168557055, 0.0, 0.022, 0.0, 0.010863009696334133, 0.01964552728899931, 0.022, 0.0, 0.019985954272546142, 0.022, 0.019953824961081498, 0.016366654246657356, 0.015057997560084352, 0.010162170159087205, 0.005266342758090058, 0.0003705153570929109, 0.0, 0.004525312043904235, 0.0066479107871069195, 0.009421139444901382];[0.10004704140442996, 0.09996898448383135, 0.0, 0.0502072594325101, 0.07175624083314985, 0.24348146615013105, 0.41520669146711225, 0.5, 0.4314463721613282, 0.41306808321590655, 0.24134285789892534, 0.08533865332493126, 0.2910286789826628, 0.5, 0.13365020653163406, 0.0, 0.5, 0.0, 0.5, 0.4621600878926566, 0.0, 0.21677630452927818, 0.5];1.040591633490974e-08;True;4.907056446815447
4;380;1.9078673102919996;0;[];0;0;380;[0.055195899319360496, 0.022, 0.17058640241847323];[];False;0;;[0.0551983205720562, 0.055195899319360496];[0.02199, 0.022];[0.17058539654405944, 0.17058640241847323];2.1825225822333853e-14;False;1.033800019117709e-05
5;380;1.0205770522431035;0;[];0;0;380;[0.08451003132355306, 0.022, 0.17478815664090902];[];False;0;;[0.08451070859732254, 0.08451003132355306];[0.02199, 0.022];[0.1747846506577106, 0.17478815664090902];2.2417215950587138e-14;False;1.0618409388720624e-05
6;380;0.3180589451435777;0;[];0;0;380;[0.1439737827637578, 0.022, 0.03002723397618577];[];False;1;;[0.18384502812692027, 0.16391393729864243, 0.1439737827637578];[0.02199, 0.0, 0.022];[0.051684714812383264, 0.040858436031115185, 0.03002723397618577];1.3341967161573553e-10;False;0.06319717385279003
7;380;0.8912281650201029;0;[];0;0;380;[0.06256617242120968, 0.022, 0.14898587262610324];[];False;1;;[0.12025552593752037, 0.09141740627796884, 0.06256617242120968];[0.02199, 0.0, 0.022];[0.05056271527356516, 0.09976310695763682, 0.14898587262610324];2.581351564098961e-10;False;0.12227141739741279
8;380;0.17321366415072167;0;[];0;0;380;[0.008393127835985762, 0.022, 0.06862711638638101];[];False;2;;[0.017046468951282253, 0.004329562078083261, 0.0, 0.008393127835985762];[0.02199, 0.0, 0.007486653086821037, 0.022];[0.06781957073011245, 0.0682232517708341, 0.0683606878740451, 0.06862711638638101];1.0729508196799592e-10;False;0.050822685040105224
9;380;1.1657182747920445;0;[];0;0;380;[0.06243511672721411, 0.022, 0.1563804768671233];[];False;1;;[0.11681352944658781, 0.08963050385670311, 0.06243511672721411];[0.02199, 0.0, 0.022];[0.14972036275079392, 0.15304966280576285, 0.1563804768671233];1.483307854659153e-10;False;0.07026015221959794
