Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;1.073932124650726;0;[];0;0;380;[];[0.1535736937188995, 0.011777562567654505, 0.10243215509451271];False;23;0.27532653351515757;[0.07338025889752668, 0.07336208924862303, 0.047924580783508634, 0.02248707231839424, 0.0, 0.0029504361467201576, 0.028387944611834554, 0.05382545307694895, 0.07926296154206335, 0.10470047000717775, 0.13013797847229214, 0.15557548693740653, 0.18101299540252092, 0.2064505038676353, 0.2318880123327497, 0.25, 0.24267447920213592, 0.21723697073702153, 0.21339941293217563, 0.1917994622719071, 0.16636195380679272, 0.14092444534167833, 0.11548693687656394, 0.09004942841144956, 0.06461191994633517, 0.03917441148122077, 0.013736903016106375, 0.0, 0.011700605449008025, 0.03713811391412242, 0.0625756223792368, 0.0880131308443512, 0.11345063930946558, 0.13888814777457997, 0.16432565623969436, 0.18976316470480875, 0.21520067316992314, 0.24063818163503753, 0.25, 0.23392430989984808, 0.2084868014347337, 0.1830492929696193, 0.15761178450450491, 0.1535736937188995];[0.01399, 0.014, 0.0, 0.014, 0.0016238267246468097, 0.0, 0.014, 0.0, 0.014, 0.0, 0.014, 0.0, 0.014, 0.0, 0.014, 0.004031734920530711, 0.0, 0.014, 0.011887929576848168, 0.0, 0.014, 0.0, 0.014, 0.0, 0.014, 0.0, 0.014, 0.0064396431164146116, 0.0, 0.014, 0.0, 0.014, 0.0, 0.014, 0.0, 0.014, 0.0, 0.014, 0.008847551312298495, 0.0, 0.014, 0.0, 0.014, 0.011777562567654505];[0.06586623761551229, 0.06586291308748395, 0.061208573847803684, 0.05655423460812342, 0.052439741114369234, 0.05189989536844315, 0.04724555612876289, 0.04259121688908263, 0.037936877649402366, 0.033282538409722104, 0.02862819917004184, 0.02397385993036158, 0.019319520690681317, 0.014665181451001054, 0.01001084221132079, 0.006696864546255903, 0.005356502971640526, 0.0007021637319602619, 0.0, 0.003952175507720002, 0.008606514747400266, 0.01326085398708053, 0.017915193226760794, 0.022569532466441056, 0.027223871706121318, 0.03187821094580158, 0.03653255018548184, 0.03904601202185743, 0.041186889425162104, 0.045841228664842366, 0.05049556790452263, 0.05514990714420289, 0.05980424638388315, 0.06445858562356342, 0.06911292486324369, 0.07376726410292396, 0.07842160334260423, 0.0830759425822845, 0.0847888885899708, 0.08773028182196477, 0.09238462106164504, 0.0970389603013253, 0.10169329954100557, 0.10243215509451271];2.2448345324073004e-09;False;1.0633154503923916
1;380;1.3133784583180377;0;[];0;0;380;[];[0.14619882569555054, 0.004217076287925289, 0.09359800345925526];False;4;0.27532653351515757;[0.035188776544441004, 0.03497536329883641, 0.0, 0.1286533166591322, 0.25, 0.23619681945238685, 0.14619882569555054];[0.01399, 0.014, 0.012361143742519353, 0.006332777682359727, 0.000646781810965307, 0.0, 0.004217076287925289];[0.06811209738712175, 0.06802337767240069, 0.05348349170914961, 0.0, 0.05044599316152508, 0.056184222937086484, 0.09359800345925526];8.901899189517874e-10;False;0.42165811374521595
2;380;1.4449516456478002;0;[];0;0;380;[];[0.12665948167994318, 0.013866663172041648, 0.16069880872638498];False;20;0.27532653351515757;[0.07891500972347464, 0.055419559055910284, 0.03190731392753996, 0.008395068799169639, 0.0, 0.0018468295818238436, 0.015117176329200687, 0.038629421457571006, 0.06214166658594133, 0.08565391171431165, 0.10916615684268197, 0.1326784019710523, 0.15619064709942262, 0.17970289222779295, 0.20321513735616328, 0.2267273824845336, 0.25, 0.24976037238709606, 0.22624812725872573, 0.2027358821303554, 0.17922363700198507, 0.15571139187361474, 0.1321991467452444, 0.10868690161687408, 0.08517465648850375, 0.06166241136013343, 0.03815016623176311, 0.037785900741936, 0.014637921103392782, 0.0, 0.008874324024977544, 0.032386569153347866, 0.05589881428171819, 0.07941105941008851, 0.10292330453845883, 0.12643554966682916, 0.12665948167994318];[0.01399, 0.0, 0.014, 0.0, 0.004998712906687071, 0.0060983788043658905, 0.014, 0.0, 0.014, 0.0, 0.014, 0.0, 0.014, 0.0, 0.014, 0.0, 0.013857317471711487, 0.014, 0.0, 0.014, 0.0, 0.014, 0.0, 0.014, 0.0, 0.014, 0.0, 0.00021689621002743103, 0.014, 0.0052840779632641124, 0.0, 0.014, 0.0, 0.014, 0.0, 0.014, 0.013866663172041648];[0.04385728777053122, 0.031098208110020245, 0.018330008306792683, 0.005561808503565122, 0.001002910992739912, 0.0, 0.007206391299662442, 0.019974591102890002, 0.032742790906117564, 0.045510990709345125, 0.05827919051257269, 0.07104739031580025, 0.08381559011902781, 0.09658378992225537, 0.10935198972548293, 0.1221201895287105, 0.13475826082982253, 0.13488838933193806, 0.1476565891351656, 0.16042478893839318, 0.17319298874162076, 0.18596118854484833, 0.1987293883480759, 0.21149758815130348, 0.22426578795453106, 0.23703398775775864, 0.2498021875609862, 0.25, 0.2374296126357862, 0.22948056734761493, 0.22466141283255864, 0.21189321302933106, 0.1991250132261035, 0.1863568134228759, 0.17358861361964834, 0.16082041381642076, 0.16069880872638498];1.9130807439851086e-09;False;0.9061729421749873
3;380;3.486723911278151;0;[];0;0;380;[0.013611672540048764, 0.014, 0.14434054150918219];[];False;2;;[0.021769001064396085, 0.004084984496829688, 0.0, 0.013611672540048764];[0.01399, 0.0, 0.0032316715431867497, 0.014];[0.07905694964364007, 0.11168708362716756, 0.11922460152887854, 0.14434054150918219];1.6753102579330566e-10;False;0.07935477006186167
4;380;0.95839398934502;9.767896868441593;[[0.09511934439151695, 0.008184144113206542, 0.2496765529148768]];2.7279820973144067;0.22363334493284054;413.8942085452024;[];[0.13322088464363813, 0.011150134036327995, 0.16065434025081607];False;14;0.2683799504570655;[0.026951823773850008, 0.0, 0.008400287123025478, 0.04377766757736835, 0.07915504803171122, 0.11453242848605409, 0.1421758305198691, 0.14990980894039696, 0.18528718939473982, 0.22066456984908267, 0.25, 0.24395804969657445, 0.20858066924223156, 0.1732032887878887, 0.13782590833354585, 0.1312058144515682, 0.102448527879203, 0.06707114742486013, 0.03169376697051726, 0.0, 0.003683613483825611, 0.03906099393816848, 0.07443837439251136, 0.09511934439151695, 0.12069056292298809, 0.13322088464363813];[0.01399, 0.0033242715603020237, 0.0, 0.014, 0.0, 0.014, 0.003060591160137703, 0.0, 0.014, 0.0, 0.011609000351025883, 0.014, 0.0, 0.014, 0.0, 0.002619790192416857, 0.014, 0.0, 0.014, 0.0014577277376462121, 0.0, 0.014, 0.0, 0.008184144113206542, 0.014, 0.011150134036327995];[0.06342237892380519, 0.09315499234169561, 0.10242199006785807, 0.14144947798899749, 0.1804769659101369, 0.2195044538312763, 0.25, 0.24146805824758427, 0.20244057032644486, 0.16341308240530544, 0.13105093090700787, 0.12438559448416601, 0.08535810656302659, 0.046330618641887165, 0.007303130720747744, 0.0, 0.03172435720039168, 0.0707518451215311, 0.10977933304267051, 0.14474314584428868, 0.14880682096380993, 0.18783430888494934, 0.22686179680608876, 0.2496765529148768, 0.18993076733443526, 0.16065434025081607];2.229529638068035e-09;False;1.0556142364768746
5;380;2.4523476498483947;2.0354671223721694;[[0.018653378127234478, 0.00744972404281995, 0.17872475375583302]];0.08822660415838508;0.45494106364065684;459.3721671579427;[];[0.09256234157907588, 0.012396692617896714, 0.10887601162268874];True;49;0.23373679830588984;[0.08399809335927895, 0.08397976813327057, 0.058324451721540764, 0.03266913530981096, 0.007013818898081149, 0.0, 0.018641497513648658, 0.044296813925378466, 0.06995213033710827, 0.09560744674883809, 0.12013988494385536, 0.1212627631605679, 0.14691807957229772, 0.17257339598402752, 0.19822871239575732, 0.22388402880748712, 0.24953934521921692, 0.25, 0.22480533836905328, 0.19915002195732348, 0.17349470554559368, 0.14783938913386388, 0.13514651827919977, 0.12218407272213407, 0.09652875631040425, 0.07087343989867445, 0.04521812348694464, 0.019562807075214836, 0.0, 0.006092509336514973, 0.03174782574824478, 0.057403142159974586, 0.0830584585717044, 0.10871377498343421, 0.10956707849774515, 0.134369091395164, 0.1600244078068938, 0.1856797242186236, 0.2113350406303534, 0.2369903570420832, 0.25, 0.237354326546187, 0.2116990101344572, 0.1860436937227274, 0.1603883773109976, 0.14571932472531002, 0.1347330608992678, 0.10907774448753799, 0.08342242807580819, 0.05776711166407838, 0.03211179525234857, 0.006456478840618764, 0.0, 0.019198837571111044, 0.04485415398284085, 0.07050947039457066, 0.09616478680630047, 0.09899427205163489, 0.12182010321803027, 0.14747541962976007, 0.17313073604148987, 0.19878605245321967, 0.22444136886494948, 0.25, 0.24990331472332072, 0.22424799831159092, 0.19859268189986112, 0.17293736548813132, 0.15629213117142027, 0.14728204907640152, 0.12162673266467172, 0.09597141625294192, 0.07031609984121212, 0.04466078342948231, 0.019005467017752506, 0.0, 0.0066498493939773015, 0.018653378127234478, 0.024316843639028893, 0.03204414223975501, 0.04418161370377596, 0.060664416988606244, 0.06404638376852304, 0.08391115383327011, 0.08928469173745748, 0.09256234157907588];[0.01399, 0.014, 0.0, 0.014, 0.0, 0.003827411948357077, 0.014, 0.0, 0.014, 0.0, 0.013387250003793047, 0.014, 0.0, 0.014, 0.0, 0.014, 0.0, 0.00025137740760876125, 0.014, 0.0, 0.014, 0.0, 0.006926447100221756, 0.014, 0.0, 0.014, 0.0, 0.014, 0.003324657133139548, 0.0, 0.014, 0.0, 0.014, 0.0, 0.00046564419665045376, 0.014, 0.0, 0.014, 0.0, 0.014, 0.006900691673887852, 0.0, 0.014, 0.0, 0.014, 0.005995158706920847, 0.0, 0.014, 0.0, 0.014, 0.0, 0.014, 0.010476726214636146, 0.0, 0.014, 0.0, 0.014, 0.012455961610492141, 0.0, 0.014, 0.0, 0.014, 0.0, 0.01394723924461555, 0.014, 0.0, 0.014, 0.0, 0.009083235485936557, 0.014, 0.0, 0.014, 0.0, 0.014, 0.0, 0.01037120470386726, 0.014, 0.00744972404281995, 0.010220085888081563, 0.014, 0.0080627893342249, 0.0, 0.001654335443468636, 0.011371460221162174, 0.014, 0.012396692617896714];[0.04145214958243111, 0.04147087067746806, 0.06768040372919555, 0.09388993678092304, 0.12009946983265053, 0.12726480411572494, 0.14630900288437804, 0.17251853593610553, 0.19872806898783302, 0.2249376020395605, 0.25, 0.248852864908712, 0.2226433318569845, 0.19643379880525702, 0.17022426575352953, 0.14401473270180204, 0.11780519965007455, 0.11733459361627602, 0.09159566659834706, 0.06538613354661957, 0.03917660049489208, 0.012967067443164584, 0.0, 0.013242465608562912, 0.03945199866029041, 0.0656615317120179, 0.09187106476374539, 0.11808059781547288, 0.13806600865172305, 0.14429013086720038, 0.17049966391892787, 0.19670919697065536, 0.22291873002238285, 0.24912826307411035, 0.25, 0.22466220387416216, 0.19845267082243467, 0.17224313777070718, 0.1460336047189797, 0.1198240716672522, 0.10653338908027787, 0.0936145386155247, 0.06740500556379721, 0.04119547251206972, 0.014985939460342223, 0.0, 0.011223593591385273, 0.03743312664311277, 0.06364265969484026, 0.08985219274656775, 0.11606172579829524, 0.14227125885002273, 0.14886721318772123, 0.16848079190175022, 0.1946903249534777, 0.2208998580052052, 0.2471093910569327, 0.25, 0.22668107589133982, 0.20047154283961233, 0.17426200978788484, 0.14805247673615735, 0.12184294368442986, 0.0957321845442797, 0.09563341063270235, 0.06942387758097486, 0.04321434452924737, 0.017004811477519876, 0.0, 0.00920472157420762, 0.035414254625935115, 0.061623787677662606, 0.0878333207293901, 0.11404285378111759, 0.14025238683284508, 0.1596684177237194, 0.16646191988457257, 0.17872475375583302, 0.25, 0.15275122018100606, 0.0, 0.20743762992355774, 0.25, 0.0, 0.06762648002812151, 0.10887601162268874];7.1927830133306465e-09;False;3.386130804000412
6;380;3.032922897953049;0;[];0;0;380;[];[0.14950433796502727, 0.008587028178294065, 0.09699555358940247];True;5;0.27532653351515757;[0.07167902851418145, 0.07090053527388958, 0.03425864583288028, 0.0, 0.12686244860180151, 0.25, 0.21201645696351668, 0.14950433796502727];[0.01399, 0.014, 0.013529322959473997, 0.013089259461683898, 0.011459669864294033, 0.009877927788383048, 0.009390016769114069, 0.008587028178294065];[0.05806251318704784, 0.056854581284922705, 0.0, 0.05315667379414536, 0.25, 0.05893632855734135, 0.0, 0.09699555358940247];1.6453034185744887e-09;False;0.7793342984961931
7;380;1.257296680085383;0;[];0;0;380;[0.021183129403503163, 0.014, 0.028275077526474658];[];False;0;;[0.02119585520149177, 0.021183129403503163];[0.01399, 0.014];[0.028260259122748196, 0.028275077526474658];4.632701801607539e-14;False;2.1943815152503704e-05
8;380;0.12579946765752437;0.46190310440192445;[[0.08205193995032309, 0.0032554403266747264, 0.15580470772333507]];3.191485182004629;1.046482483292325;433.55285670546846;[0.07207304828636835, 0.014, 0.24338448765322962];[];False;3;;[0.020735724196662635, 0.02064014830395368, 0.0, 0.08205193995032309, 0.08016930550441227, 0.0781571494171308, 0.07207304828636835];[0.01399, 0.014, 0.011840444099559172, 0.0032554403266747264, 0.0, 0.003479408381339274, 0.014];[0.08407924775021346, 0.08414594082008504, 0.0985486820760545, 0.15580470772333507, 0.08049300428376617, 0.0, 0.24338448765322962];1.1897807611282947e-09;False;0.5254860226041445
9;380;1.1657182747920445;0;[];0;0;380;[0.013305174332796293, 0.014, 0.06563789040731814];[];False;1;;[0.047905123685268905, 0.030611329778834757, 0.013305174332796293];[0.01399, 0.0, 0.014];[0.06140018651743271, 0.06351828145917966, 0.06563789040731814];9.438005649445261e-11;False;0.044705198013788285
