Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;1.073932124650726;2.58961387821321;[[0.49216370809624915, 0.0012769157484825, 0.028529489936975364], [0.5648128325888232, 0.002919077621253197, 0.5743429387346208]];4.924751778411374;-0.404299190356467;444.1743259711958;[];[];False;81;;[0.22115408291441008, 0.2211359132655064, 0.20296626436185328, 0.18479661545820014, 0.166626966554547, 0.14845731765089387, 0.13028766874724074, 0.1121180198435876, 0.09394837093993447, 0.07577872203628133, 0.05760907313262819, 0.03943942422897505, 0.021269775325321906, 0.003100126421668764, 0.0, 0.015069522481984376, 0.03323917138563752, 0.05140882028929066, 0.0695784691929438, 0.08774811809659694, 0.10591776700025007, 0.12408741590390321, 0.14225706480755634, 0.16042671371120948, 0.1785963626148626, 0.19676601151851575, 0.21493566042216888, 0.23310530932582202, 0.25127495822947515, 0.2694446071331283, 0.2876142560367814, 0.30578390494043456, 0.3239535538440877, 0.34212320274774083, 0.36029285165139396, 0.3784625005550471, 0.39663214945870023, 0.41480179836235337, 0.4329714472660065, 0.45114109616965964, 0.4693107450733128, 0.4874803939769659, 0.5056500428806191, 0.5238196917842722, 0.5419893406879254, 0.5601589895915785, 0.5783286384952316, 0.5964982873988848, 0.6, 0.585332063697462, 0.5671624147938089, 0.5489927658901558, 0.5308231169865026, 0.5126534680828495, 0.49448381917919637, 0.49216370809624915, 0.47177648567625324, 0.4484049099443677, 0.4250333342124822, 0.40166175848059665, 0.3782901827487111, 0.3549186070168256, 0.33154703128494006, 0.30817545555305453, 0.284803879821169, 0.2614323040892835, 0.23806072835739794, 0.2146891526255124, 0.19131757689362688, 0.16794600116174135, 0.14457442542985582, 0.12120284969797031, 0.09783127396608479, 0.07445969823419928, 0.05108812250231376, 0.027716546770428244, 0.004344971038542728, 0.0, 0.01902660469334279, 0.042398180425228305, 0.06576975615711382, 0.08914133188899934, 0.11251290762088485, 0.13588448335277037, 0.1592560590846559, 0.18262763481654143, 0.20599921054842696, 0.2293707862803125, 0.252742362012198, 0.27611393774408355, 0.2994855134759691, 0.3228570892078546, 0.34622866493974014, 0.36960024067162567, 0.3929718164035112, 0.41634339213539673, 0.43971496786728226, 0.4630865435991678, 0.4864581193310533, 0.5098296950629388, 0.5332012707948244, 0.5565728465267099, 0.5799444222585954, 0.6, 0.596684002009519, 0.5733124262776335, 0.5499408505457479, 0.5265692748138624, 0.5031976990819769, 0.47982612335009134, 0.4564545476182058, 0.4330829718863203, 0.40971139615443475, 0.3863398204225492, 0.3629682446906637, 0.33959666895877816, 0.31622509322689263, 0.2928535174950071, 0.26948194176312157, 0.24611036603123604, 0.2227387902993505, 0.19936721456746498, 0.17599563883557945, 0.15262406310369392, 0.1292524873718084, 0.10588091163992287, 0.08250933590803736, 0.05913776017615184, 0.035766184444266325, 0.012394608712380809, 0.0, 0.010976967019504704, 0.034348542751390224, 0.05772011848327574, 0.08109169421516126, 0.10446326994704677, 0.12783484567893227, 0.1512064214108178, 0.17457799714270333, 0.19794957287458886, 0.2213211486064744, 0.24469272433835992, 0.26806430007024545, 0.291435875802131, 0.3148074515340165, 0.33817902726590204, 0.3615506029977876, 0.3849221787296731, 0.40829375446155863, 0.43166533019344416, 0.4550369059253297, 0.4784084816572152, 0.5017800573891007, 0.5251516331209862, 0.5485232088528718, 0.5718947845847573, 0.5952663603166428, 0.6, 0.5813620639514716, 0.5648128325888232];[0.00999, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.008293788483141542, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.0019272318467370925, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.0012769157484825, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.008140916518258141, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.008581183387666495, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.00530328329359112, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.0020253831995157784, 0.01, 0.002919077621253197];[0.1985082581300652, 0.19850493360203686, 0.19518040557369382, 0.19185587754535077, 0.18853134951700773, 0.18520682148866469, 0.18188229346032164, 0.1785577654319786, 0.17523323740363556, 0.1719087093752925, 0.16858418134694947, 0.16525965331860643, 0.16193512529026338, 0.15861059726192034, 0.15804336246091258, 0.1552860692335773, 0.15196154120523425, 0.1486370131768912, 0.14531248514854817, 0.14198795712020512, 0.13866342909186208, 0.13533890106351903, 0.132014373035176, 0.12868984500683295, 0.1253653169784899, 0.12204078895014686, 0.11871626092180382, 0.11539173289346077, 0.11206720486511773, 0.10874267683677469, 0.10541814880843164, 0.1020936207800886, 0.09876909275174556, 0.09544456472340251, 0.09212003669505947, 0.08879550866671643, 0.08547098063837338, 0.08214645261003034, 0.0788219245816873, 0.07549739655334425, 0.07217286852500121, 0.06884834049665817, 0.06552381246831512, 0.06219928443997208, 0.05887475641162904, 0.05555022838328599, 0.05222570035494295, 0.04890117232659991, 0.048260458697440625, 0.045576644298256856, 0.04225211626991381, 0.03892758824157077, 0.035603060213227726, 0.03227853218488468, 0.028954004156541636, 0.028529489936975364, 0.033310728682524, 0.038791861969430956, 0.04427299525633791, 0.04975412854324487, 0.05523526183015182, 0.06071639511705878, 0.06619752840396573, 0.07167866169087268, 0.07715979497777964, 0.0826409282646866, 0.08812206155159355, 0.0936031948385005, 0.09908432812540746, 0.10456546141231442, 0.11004659469922137, 0.11552772798612833, 0.12100886127303528, 0.12648999455994223, 0.13197112784684917, 0.1374522611337561, 0.14293339442066305, 0.14395238285615447, 0.14841452770757, 0.15389566099447693, 0.15937679428138388, 0.16485792756829082, 0.17033906085519776, 0.1758201941421047, 0.18130132742901164, 0.18678246071591859, 0.19226359400282553, 0.19774472728973247, 0.2032258605766394, 0.20870699386354635, 0.2141881271504533, 0.21966926043736024, 0.22515039372426718, 0.23063152701117412, 0.23611266029808106, 0.241593793584988, 0.24707492687189495, 0.2525560601588019, 0.25803719344570886, 0.2635183267326158, 0.2689994600195228, 0.27448059330642977, 0.27996172659333673, 0.2846651875840559, 0.28544285988024365, 0.2909239931671506, 0.2964051264540576, 0.30188625974096456, 0.3073673930278715, 0.3128485263147785, 0.31832965960168547, 0.32381079288859244, 0.3292919261754994, 0.3347730594624064, 0.34025419274931334, 0.3457353260362203, 0.3512164593231273, 0.35669759261003425, 0.3621787258969412, 0.3676598591838482, 0.37314099247075516, 0.37862212575766213, 0.3841032590445691, 0.38958439233147607, 0.39506552561838304, 0.40054665890529, 0.406027792192197, 0.41150892547910395, 0.4169900587660109, 0.4224711920529179, 0.4253779923119579, 0.42795232533982486, 0.4334334586267318, 0.4389145919136388, 0.44439572520054577, 0.44987685848745274, 0.4553579917743597, 0.4608391250612667, 0.46632025834817364, 0.4718013916350806, 0.4772825249219876, 0.48276365820889455, 0.4882447914958015, 0.4937259247827085, 0.49920705806961546, 0.5046881913565224, 0.5101693246434293, 0.5156504579303363, 0.5211315912172432, 0.5266127245041501, 0.532093857791057, 0.5375749910779639, 0.5430561243648708, 0.5485372576517777, 0.5540183909386847, 0.5594995242255916, 0.5649806575124985, 0.5660907970398593, 0.5704617907994055, 0.5743429387346208];7.789058424042481e-09;False;3.6635460028639453
1;380;2.1146774002421678;16.248007340264717;[[0.5498930198395062, 0.00736542139704752, 0.25766790389941174]];1.5739777634038004;0.9605249276753232;464.8436421268753;[0.5517354410230396, 0.01, 0.2576576758949172];[];False;49;;[0.15278775613327264, 0.15276713409939202, 0.13214510021876408, 0.11152306633813612, 0.09090103245750816, 0.0702789985768802, 0.04965696469625225, 0.02903493081562429, 0.008412896934996333, 0.0, 0.012209136945631624, 0.03283117082625958, 0.05345320470688754, 0.0740752385875155, 0.09469727246814345, 0.11531930634877141, 0.13594134022939935, 0.1565633741100273, 0.17718540799065524, 0.19780744187128319, 0.21842947575191113, 0.23905150963253907, 0.259673543513167, 0.28029557739379496, 0.3009176112744229, 0.32153964515505085, 0.3421616790356788, 0.36278371291630673, 0.3834057467969347, 0.4040277806775626, 0.42464981455819056, 0.4452718484388185, 0.46589388231944645, 0.4865159162000744, 0.5071379500807024, 0.5277599839613304, 0.5483820178419584, 0.5690040517225864, 0.5896260856032144, 0.6, 0.5897518805161576, 0.5691298466355296, 0.5485078127549016, 0.5278857788742736, 0.5072637449936456, 0.4866417111130176, 0.4660196772323897, 0.44539764335176174, 0.4247756094711338, 0.40415357559050585, 0.3835315417098779, 0.36290950782924997, 0.342287473948622, 0.3216654400679941, 0.30104340618736614, 0.2804213723067382, 0.25979933842611025, 0.2391773045454823, 0.21855527066485436, 0.19793323678422642, 0.17731120290359847, 0.15668916902297053, 0.1360671351423426, 0.11544510126171463, 0.09482306738108667, 0.07420103350045872, 0.05357899961983076, 0.0329569657392028, 0.012334931858574844, 0.0, 0.008287102022053112, 0.02890913590268107, 0.04953116978330903, 0.07015320366393699, 0.09077523754456494, 0.1113972714251929, 0.13201930530582084, 0.1526413391864488, 0.17326337306707673, 0.19388540694770467, 0.21450744082833262, 0.23512947470896056, 0.2557515085895885, 0.27637354247021645, 0.2969955763508444, 0.31761761023147234, 0.3382396441121003, 0.3588616779927282, 0.37948371187335617, 0.4001057457539841, 0.42072777963461205, 0.44134981351524, 0.46197184739586794, 0.4825938812764959, 0.5032159151571238, 0.5238379490377518, 0.5444599829183798, 0.5498930198395062, 0.5517354410230396];[0.00999, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.004079567022193329, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.004969499877249889, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.005981433223306893, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.00736542139704752, 0.01];[0.23783476463265826, 0.23783497959234834, 0.23804993928242515, 0.23826489897250197, 0.2384798586625788, 0.2386948183526556, 0.23890977804273242, 0.23912473773280923, 0.23933969742288605, 0.23942739166915988, 0.23955465711296287, 0.23976961680303968, 0.2399845764931165, 0.2401995361831933, 0.24041449587327013, 0.24062945556334694, 0.24084441525342376, 0.24105937494350058, 0.2412743346335774, 0.2414892943236542, 0.24170425401373102, 0.24191921370380784, 0.24213417339388466, 0.24234913308396147, 0.2425640927740383, 0.2427790524641151, 0.24299401215419192, 0.24320897184426873, 0.24342393153434555, 0.24363889122442237, 0.24385385091449918, 0.244068810604576, 0.2442837702946528, 0.24449872998472963, 0.24471368967480644, 0.24492864936488326, 0.24514360905496008, 0.2453585687450369, 0.2455735284351137, 0.24568166390984547, 0.2457884881251905, 0.2460034478152673, 0.24621840750534413, 0.24643336719542094, 0.24664832688549776, 0.24686328657557458, 0.2470782462656514, 0.2472932059557282, 0.24750816564580502, 0.24772312533588184, 0.24793808502595865, 0.24815304471603547, 0.24836800440611229, 0.2485829640961891, 0.24879792378626592, 0.24901288347634273, 0.24922784316641955, 0.24944280285649637, 0.24965776254657318, 0.24987272223665, 0.2500876819267268, 0.2503026416168036, 0.2505176013068804, 0.2507325609969572, 0.25094752068703396, 0.25116248037711075, 0.25137744006718754, 0.25159239975726433, 0.2518073594473411, 0.25193593615053084, 0.2520223191374179, 0.2522372788274947, 0.2524522385175715, 0.25266719820764827, 0.25288215789772506, 0.25309711758780185, 0.25331207727787863, 0.2535270369679554, 0.2537419966580322, 0.253956956348109, 0.2541719160381858, 0.2543868757282626, 0.25460183541833936, 0.25481679510841615, 0.25503175479849294, 0.2552467144885697, 0.2554616741786465, 0.2556766338687233, 0.2558915935588001, 0.2561065532488769, 0.25632151293895367, 0.25653647262903045, 0.25675143231910724, 0.25696639200918403, 0.2571813516992608, 0.2573963113893376, 0.2576112710794144, 0.25766790389941174, 0.2576576758949172];4.506859777250689e-09;False;2.11789230690407
2;380;3.436552399982904;0;[];0;0;380;[];[0.30347957048685364, 0.0038646832355542465, 0.2622382202135724];False;32;0.27532653351515757;[0.21219589410750678, 0.1928947079421865, 0.17357420127019424, 0.15425369459820198, 0.13493318792620973, 0.11561268125421746, 0.09629217458222519, 0.07697166791023292, 0.057651161238240656, 0.03833065456624839, 0.01901014789425612, 0.0, 0.00031035877773614903, 0.01963086544972842, 0.03895137212172069, 0.058271878793712956, 0.07759238546570522, 0.09691289213769749, 0.11623339880968976, 0.13555390548168203, 0.1548744121536743, 0.17419491882566657, 0.19351542549765882, 0.21283593216965108, 0.23215643884164333, 0.2514769455136356, 0.27079745218562784, 0.2901179588576201, 0.30943846552961235, 0.31329321680558864, 0.3287589722016046, 0.34807947887359686, 0.3673999855455891, 0.38672049221758137, 0.4060409988895736, 0.4253615055615659, 0.44468201223355813, 0.4640025189055504, 0.48332302557754264, 0.502643532249535, 0.5219640389215272, 0.5412845455935195, 0.5606050522655117, 0.579925558937504, 0.5992460656094962, 0.6, 0.5814334277185115, 0.5621129210465192, 0.542792414374527, 0.5234719077025347, 0.5041514010305425, 0.4848308943585502, 0.46551038768655795, 0.4461898810145657, 0.42686937434257344, 0.4075488676705812, 0.38822836099858893, 0.3689078543265967, 0.3495873476546044, 0.33026684098261216, 0.3109463343106199, 0.30347957048685364];[0.00999, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0001606369765582063, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.0019951605521631006, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.00960977504197823, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.0038646832355542465];[0.23627726242012667, 0.22759881155617093, 0.2189116735542132, 0.21022453555225548, 0.20153739755029776, 0.19285025954834004, 0.1841631215463823, 0.1754759835444246, 0.16678884554246687, 0.15810170754050915, 0.14941456953855142, 0.14086697909495155, 0.1407274315365937, 0.13204029353463598, 0.12335315553267827, 0.11466601753072056, 0.10597887952876285, 0.09729174152680514, 0.08860460352484743, 0.07991746552288972, 0.07123032752093202, 0.06254318951897431, 0.05385605151701659, 0.045168913515058876, 0.03648177551310116, 0.027794637511143444, 0.01910749950918573, 0.010420361507228014, 0.0017332235052703003, 0.0, 0.006953914496687413, 0.015641052498645128, 0.024328190500602843, 0.03301532850256056, 0.041702466504518275, 0.05038960450647599, 0.059076742508433706, 0.06776388051039142, 0.07645101851234913, 0.08513815651430684, 0.09382529451626455, 0.10251243251822226, 0.11119957052017997, 0.11988670852213767, 0.1285738465240954, 0.12891284033030972, 0.13726098452605312, 0.14594812252801084, 0.15463526052996857, 0.1633223985319263, 0.172009536533884, 0.18069667453584173, 0.18938381253779946, 0.19807095053975718, 0.2067580885417149, 0.21544522654367262, 0.22413236454563035, 0.23281950254758807, 0.2415066405495458, 0.2501937785515035, 0.2588809165534612, 0.2622382202135724];2.8379892888204057e-09;False;1.344276299783563
3;380;1.4158281313010626;8.019115604461062;[[0.4003416257396018, 1.4045727453827809e-05, 0.30894578909756665]];6.073366927803459;-0.045996664316686066;506.3272559178258;[];[0.2816203891632088, 0.0054786809676064495, 0.33296312715225607];False;11;0.18846145777887674;[0.17913539176865403, 0.1790600975972695, 0.10376592621275561, 0.05985783460423912, 0.02847175482824172, 0.0, 0.04682241655627217, 0.12211658794078607, 0.19741075932529997, 0.2727049307098139, 0.3479991020943278, 0.42329327347884166, 0.49858744486335554, 0.518905745668264, 0.5738816162478694, 0.6, 0.5508242123676167, 0.4755300409831028, 0.4003416257396018, 0.3384264351278647, 0.2816203891632088];[0.00999, 0.01, 0.0, 0.0058315392547831765, 0.01, 0.0062185977606630995, 0.0, 0.01, 0.0, 0.01, 0.0, 0.01, 0.0, 0.0026985223997149158, 0.01, 0.006531154633637087, 0.0, 0.01, 1.4045727453827809e-05, 0.002863948089277299, 0.0054786809676064495];[0.12365417717706562, 0.123576120256467, 0.04551919965783917, 0.0, 0.032537720940788654, 0.06205418237552804, 0.11059464153941648, 0.1886515621380443, 0.26670848273667214, 0.3447654033353, 0.4228223239339278, 0.5008792445325556, 0.5789361651311834, 0.6, 0.5430069142701888, 0.515930175537078, 0.464949993671561, 0.38689307307293314, 0.30894578909756665, 0.6, 0.33296312715225607];4.194011721329794e-09;False;1.9864332942762877
4;380;1.9078673102919996;0;[];0;0;380;[0.06822051483895845, 0.01, 0.21083779376912432];[];False;0;;[0.06822293609165417, 0.06822051483895845];[0.00999, 0.01];[0.21083678789471053, 0.21083779376912432];2.1825225822333853e-14;False;1.0338000191178714e-05
5;380;1.0205770522431035;0;[];0;0;380;[0.10445120843476649, 0.01, 0.21603040549832062];[];False;0;;[0.10445188570853597, 0.10445120843476649];[0.00999, 0.01];[0.2160268995151222, 0.21603040549832062];2.2417215950587138e-14;False;1.0618409388720624e-05
6;380;0.3180589451435777;0;[];0;0;380;[0.20910681739463455, 0.01, 0.054038634607738084];[];False;1;;[0.22722516690155928, 0.2181705240014003, 0.20910681739463455];[0.00999, 0.0, 0.01];[0.06388025865673985, 0.058961908269069635, 0.054038634607738084];6.062876189130606e-11;False;0.028718151973568383
7;380;0.8912281650201029;0;[];0;0;380;[0.12241578275052596, 0.01, 0.10721910650944635];[];False;1;;[0.14863106296855394, 0.13552997995814375, 0.12241578275052596];[0.00999, 0.0, 0.01];[0.06249351170432616, 0.08484512211468888, 0.10721910650944635];1.1730215450406509e-10;False;0.05556275593940174
8;380;0.17321366415072167;0;[];0;0;380;[0.009508461179716304, 0.01, 0.08418926703941167];[];False;1;;[0.02106875987890902, 0.015291502049747678, 0.009508461179716304];[0.00999, 0.0, 0.01];[0.08382230096373973, 0.08400569221416307, 0.08418926703941167];4.8757187736763774e-11;False;0.023094918707699558
9;380;1.1657182747920445;0;[];0;0;380;[0.11966617408209329, 0.01, 0.1880749320208018];[];False;1;;[0.14437689175111534, 0.13202771368640648, 0.11966617408209329];[0.00999, 0.0, 0.01];[0.18504843324413836, 0.18656092562927432, 0.1880749320208018];6.740469200872124e-11;False;0.031927720910883445
