Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;1.073932124650726;2.58961387821321;[[0.0077215229437440115, 0.00027691574848278267, 0.047265950357054984]];4.924751778411374;-0.404299190356467;444.1743259711958;[];[0.23312295827470364, 0.005869500710240084, 0.1820215764024002];False;59;0.2523603297418939;[0.13671189776190532, 0.13669372811300165, 0.12397497388044446, 0.11125621964788726, 0.09853746541533007, 0.08581871118277287, 0.07309995695021568, 0.06038120271765848, 0.04766244848510129, 0.034943694252544094, 0.022224940019986896, 0.009506185787429698, 0.0, 0.0032125684451274994, 0.015931322677684698, 0.028650076910241896, 0.041368831142799094, 0.054087585375356295, 0.06680633960791349, 0.07952509384047068, 0.09224384807302788, 0.10496260230558507, 0.11768135653814227, 0.13040011077069946, 0.14311886500325666, 0.15583761923581385, 0.16855637346837105, 0.18127512770092824, 0.19399388193348543, 0.20671263616604263, 0.21943139039859982, 0.23215014463115702, 0.2448688988637142, 0.2575876530962714, 0.2703064073288286, 0.2830251615613858, 0.295743915793943, 0.3084626700265002, 0.3211814242590574, 0.3339001784916146, 0.34661893272417177, 0.35933768695672896, 0.37205644118928616, 0.38477519542184335, 0.39749394965440055, 0.4, 0.3897872961130423, 0.3770685418804851, 0.3643497876479279, 0.3516310334153707, 0.3389122791828135, 0.32619352495025633, 0.31347477071769914, 0.30075601648514194, 0.28803726225258475, 0.27531850802002755, 0.2660456266250773, 0.26259975378747036, 0.24988099955491316, 0.23716224532235597, 0.22444349108979877, 0.21172473685724158, 0.19900598262468439, 0.1862872283921272, 0.17356847415957, 0.1608497199270128, 0.1481309656944556, 0.1354122114618984, 0.12269345722934122, 0.10997470299678402, 0.09725594876422683, 0.08453719453166963, 0.07181844029911244, 0.059099686066555246, 0.04638093183399805, 0.03366217760144086, 0.02094342336888366, 0.008224669136326461, 0.0077215229437440115, 0.0, 0.007991384329874136, 0.024351487342193997, 0.040711590354513855, 0.057071693366833716, 0.07343179637915358, 0.08979189939147345, 0.1061520024037933, 0.12251210541611315, 0.138872208428433, 0.15523231144075286, 0.17159241445307272, 0.18795251746539257, 0.20431262047771243, 0.22067272349003228, 0.23703282650235213, 0.253392929514672, 0.2697530325269919, 0.2861131355393118, 0.30247323855163166, 0.31883334156395154, 0.3351934445762714, 0.3515535475885913, 0.3679136506009112, 0.3842737536132311, 0.4, 0.3993661433744491, 0.3830060403621292, 0.3666459373498093, 0.35028583433748944, 0.33392573132516956, 0.3175656283128497, 0.3012055253005298, 0.2848454222882099, 0.26848531927589003, 0.25212521626357015, 0.2357651132512503, 0.23312295827470364];[0.0069900000000000006, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0017680960497159573, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.005620749163130161, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0018964994072692976, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.00027691574848278267, 0.0035807250561323504, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.006728791660082146, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.005869500710240084];[0.12271281783603498, 0.12270949330800664, 0.12038232368816651, 0.11805515406832638, 0.11572798444848625, 0.11340081482864613, 0.111073645208806, 0.10874647558896587, 0.10641930596912574, 0.10409213634928562, 0.10176496672944549, 0.09943779710960536, 0.09769843597717356, 0.09711062748976523, 0.0947834578699251, 0.09245628825008498, 0.09012911863024485, 0.08780194901040472, 0.0854747793905646, 0.08314760977072447, 0.08082044015088434, 0.07849327053104421, 0.07616610091120408, 0.07383893129136396, 0.07151176167152383, 0.0691845920516837, 0.06685742243184357, 0.06453025281200345, 0.06220308319216331, 0.05987591357232318, 0.05754874395248304, 0.05522157433264291, 0.052894404712802774, 0.05056723509296264, 0.048240065473122505, 0.04591289585328237, 0.043585726233442236, 0.0412585566136021, 0.03893138699376197, 0.03660421737392183, 0.0342770477540817, 0.03194987813424156, 0.029622708514401432, 0.0272955388945613, 0.02496836927472117, 0.024509833468192233, 0.02264119965488104, 0.020314030035040908, 0.017986860415200777, 0.015659690795360646, 0.013332521175520515, 0.011005351555680384, 0.008678181935840253, 0.006351012316000121, 0.004023842696159989, 0.0016966730763198568, 0.0, 0.0006304965435202753, 0.002957666163360407, 0.005284835783200539, 0.007612005403040671, 0.009939175022880803, 0.012266344642720934, 0.014593514262561065, 0.016920683882401196, 0.019247853502241327, 0.021575023122081458, 0.02390219274192159, 0.02622936236176172, 0.02855653198160185, 0.030883701601441983, 0.033210871221282114, 0.03553804084112225, 0.03786521046096238, 0.04019238008080252, 0.04251954970064265, 0.044846719320482786, 0.04717388894032292, 0.047265950357054984, 0.04907681227403009, 0.05095096244522208, 0.054787755746056946, 0.058624549046891815, 0.062461342347726684, 0.06629813564856155, 0.07013492894939641, 0.07397172225023127, 0.07780851555106613, 0.081645308851901, 0.08548210215273586, 0.08931889545357072, 0.09315568875440558, 0.09699248205524044, 0.1008292753560753, 0.10466606865691017, 0.10850286195774503, 0.11233965525857989, 0.11617644855941475, 0.12001324186024961, 0.12385003516108448, 0.12768682846191934, 0.1315236217627542, 0.13536041506358906, 0.13919720836442392, 0.14288534875929773, 0.1430340016652588, 0.14687079496609365, 0.1507075882669285, 0.15454438156776337, 0.15838117486859823, 0.1622179681694331, 0.16605476147026796, 0.16989155477110282, 0.17372834807193768, 0.17756514137277254, 0.1814019346736074, 0.1820215764024002];3.635863245713944e-09;False;1.7132806788922168
1;380;2.1146774002421678;0;[];0;0;380;[];[0.20688974671547894, 0.00033485574174256776, 0.16252948277600004];False;56;0.27532653351515757;[0.09444955218776956, 0.09442893015388892, 0.07999350643744935, 0.06555808272100977, 0.0511226590045702, 0.03668723528813063, 0.02225181157169106, 0.007816387855251489, 0.0, 0.006619035861188081, 0.02105445957762765, 0.03548988329406722, 0.04992530701050679, 0.06436073072694637, 0.07879615444338595, 0.09323157815982552, 0.1076670018762651, 0.12210242559270468, 0.13653784930914425, 0.15097327302558383, 0.1654086967420234, 0.17984412045846299, 0.19427954417490256, 0.20871496789134214, 0.22315039160778172, 0.2375858153242213, 0.25202123904066087, 0.26645666275710045, 0.28089208647354, 0.2953275101899796, 0.3097629339064192, 0.32419835762285876, 0.33863378133929833, 0.3530692050557379, 0.3675046287721775, 0.38194005248861707, 0.39637547620505664, 0.4, 0.3891891000785038, 0.37475367636206425, 0.36031825264562467, 0.3458828289291851, 0.3314474052127455, 0.31701198149630594, 0.30257655777986636, 0.2881411340634268, 0.2737057103469872, 0.25927028663054763, 0.24483486291410805, 0.23039943919766848, 0.2159640154812289, 0.20152859176478932, 0.18709316804834975, 0.17265774433191017, 0.1582223206154706, 0.143786896899031, 0.12935147318259144, 0.11491604946615186, 0.10048062574971228, 0.0860452020332727, 0.07160977831683313, 0.05717435460039356, 0.04273893088395399, 0.028303507167514418, 0.013868083451074847, 0.0, 0.0005673402653647209, 0.015002763981804291, 0.029438187698243863, 0.04387361141468343, 0.058309035131123, 0.07274445884756257, 0.08717988256400214, 0.10161530628044171, 0.11605072999688129, 0.13048615371332087, 0.14492157742976045, 0.15935700114620002, 0.1737924248626396, 0.18822784857907918, 0.20266327229551875, 0.21709869601195833, 0.2315341197283979, 0.24596954344483749, 0.26040496716127703, 0.2748403908777166, 0.2892758145941562, 0.30371123831059577, 0.31814666202703534, 0.3325820857434749, 0.3470175094599145, 0.3614529331763541, 0.37588835689279365, 0.39032378060923323, 0.4, 0.39524079567432724, 0.38080537195788766, 0.3663699482414481, 0.3519345245250085, 0.33749910080856893, 0.32306367709212935, 0.3086282533756898, 0.2941928296592502, 0.2797574059428106, 0.26532198222637104, 0.25088655850993147, 0.2364511347934919, 0.2220157110770523, 0.20758028736061274, 0.20688974671547894];[0.0069900000000000006, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.003209691100064533, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.005242402366360088, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.006724886367344362, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.004692175101048833, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.00033485574174256776];[0.14702347611312477, 0.14702369107281485, 0.14717416285586862, 0.1473246346389224, 0.14747510642197617, 0.14762557820502994, 0.14777604998808372, 0.1479265217711375, 0.14800799813378004, 0.14807699355419127, 0.14822746533724504, 0.14837793712029881, 0.1485284089033526, 0.14867888068640636, 0.14882935246946014, 0.1489798242525139, 0.14913029603556768, 0.14928076781862146, 0.14943123960167523, 0.149581711384729, 0.14973218316778278, 0.14988265495083655, 0.15003312673389033, 0.1501835985169441, 0.15033407029999787, 0.15048454208305165, 0.15063501386610542, 0.1507854856491592, 0.15093595743221297, 0.15108642921526674, 0.15123690099832052, 0.1513873727813743, 0.15153784456442806, 0.15168831634748184, 0.1518387881305356, 0.1519892599135894, 0.15213973169664316, 0.15217751296090384, 0.1522902034796969, 0.15244067526275068, 0.15259114704580445, 0.15274161882885823, 0.152892090611912, 0.15304256239496578, 0.15319303417801955, 0.15334350596107332, 0.1534939777441271, 0.15364444952718087, 0.15379492131023464, 0.15394539309328842, 0.1540958648763422, 0.15424633665939597, 0.15439680844244974, 0.1545472802255035, 0.1546977520085573, 0.15484822379161106, 0.15499869557466484, 0.1551491673577186, 0.15529963914077238, 0.15545011092382616, 0.15560058270687993, 0.1557510544899337, 0.15590152627298748, 0.15605199805604125, 0.15620246983909503, 0.15634702778802764, 0.1563529416221488, 0.15650341340520257, 0.15665388518825635, 0.15680435697131012, 0.1569548287543639, 0.15710530053741767, 0.15725577232047144, 0.15740624410352522, 0.157556715886579, 0.15770718766963276, 0.15785765945268654, 0.1580081312357403, 0.15815860301879409, 0.15830907480184786, 0.15845954658490163, 0.1586100183679554, 0.15876049015100918, 0.15891096193406296, 0.15906143371711673, 0.1592119055001705, 0.15936237728322428, 0.15951284906627805, 0.15966332084933182, 0.1598137926323856, 0.15996426441543937, 0.16011473619849315, 0.16026520798154692, 0.1604156797646007, 0.16051654261515144, 0.16056615154765444, 0.1607166233307082, 0.160867095113762, 0.16101756689681576, 0.16116803867986954, 0.1613185104629233, 0.16146898224597708, 0.16161945402903086, 0.16176992581208463, 0.1619203975951384, 0.16207086937819218, 0.16222134116124595, 0.16237181294429973, 0.1625222847273535, 0.16252948277600004];3.490397097700097e-09;False;1.6533036659986124
2;380;2.4928128124385145;0;[];0;0;380;[0.0963448168552946, 0.007, 0.056083289941639906];[];False;1;;[0.1001139405617362, 0.09823072578632328, 0.0963448168552946];[0.0069900000000000006, 0.0, 0.007];[0.04055697666657913, 0.0483145842286002, 0.056083289941639906];4.4833951031756047e-11;False;0.02123659100302562
3;380;1.7279433274786542;0;[];0;0;380;[0.13548349119431943, 0.007, 0.058900537056946964];[];False;1;;[0.14606066737616846, 0.14077585954835398, 0.13548349119431943];[0.0069900000000000006, 0.0, 0.007];[0.050212891472799955, 0.054553609316487416, 0.058900537056946964];4.1320196834543815e-11;False;0.01957222373103331
4;380;3.6629613256655973;0;[];0;0;380;[];[0.23237307793392137, 0.0005549451568527012, 0.17991731037173672];False;28;0.27532653351515757;[0.0764399056317943, 0.04570619747013416, 0.014928521199515994, 0.0, 0.015849155071102173, 0.04354419472486943, 0.04662683134172034, 0.0774045076123385, 0.10818218388295667, 0.13895986015357484, 0.169737536424193, 0.20051521269481118, 0.23129288896542935, 0.2620705652360475, 0.29284824150666566, 0.32362591777728383, 0.354403594047902, 0.3851812703185202, 0.4, 0.3840410534108617, 0.35326337714024353, 0.32248570086962536, 0.2917080245990072, 0.260930348328389, 0.23015267205777085, 0.19937499578715268, 0.1685973195165345, 0.13781964324591633, 0.10704196697529816, 0.07626429070468, 0.04548661443406183, 0.014708938163443666, 0.0, 0.016068738107174498, 0.04684641437779266, 0.07762409064841083, 0.108401766919029, 0.13917944318964717, 0.16995711946026534, 0.20073479573088351, 0.23151247200150168, 0.2622901482721198, 0.293067824542738, 0.32384550081335617, 0.35462317708397434, 0.3854008533545925, 0.4, 0.38382147037478936, 0.3530437941041712, 0.322266117833553, 0.29148844156293485, 0.2607107652923167, 0.23237307793392137];[0.0069900000000000006, 0.0, 0.007, 0.003604693366783759, 0.0, 0.00629889260877839, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.003370335916795174, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.003654634799625902, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.003320394483953029, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0005549451568527012];[0.016303525586268425, 0.012127407284884635, 0.007945314565330052, 0.005916816400840191, 0.0037632218457754685, 0.0, 0.0004188708737791146, 0.004600963593333698, 0.00878305631288828, 0.012965149032442863, 0.017147241751997444, 0.021329334471552025, 0.025511427191106606, 0.029693519910661187, 0.03387561263021577, 0.03805770534977035, 0.04223979806932493, 0.04642189078887951, 0.048435470403177, 0.05060398350843409, 0.05478607622798867, 0.058968168947543254, 0.06315026166709783, 0.06733235438665242, 0.071514447106207, 0.07569653982576158, 0.07987863254531616, 0.08406072526487074, 0.08824281798442532, 0.0924249107039799, 0.09660700342353448, 0.10078909614308906, 0.10278775720719417, 0.10497118886264364, 0.10915328158219822, 0.1133353743017528, 0.11751746702130739, 0.12169955974086197, 0.12588165246041655, 0.13006374517997113, 0.1342458378995257, 0.1384279306190803, 0.14261002333863487, 0.14679211605818945, 0.15097420877774403, 0.15515630149729862, 0.15714004401121134, 0.1593383942168532, 0.16352048693640778, 0.16770257965596236, 0.17188467237551694, 0.17606676509507152, 0.17991731037173672];3.1538441903841466e-09;False;1.4938879491351689
5;380;2.4523476498483947;2.0354671223721694;[[0.15384209945557525, 0.0004497240428213455, 0.11450048699728384]];0.08822660415838508;0.45494106364065684;459.3721671579427;[];[0.18952378283115004, 0.0039039089394250293, 0.23644217104413578];False;72;0.23373679830588984;[0.15649357094208588, 0.15647524571607752, 0.14364758751021262, 0.13081992930434772, 0.11799227109848281, 0.10516461289261791, 0.09233695468675301, 0.07950929648088811, 0.06668163827502321, 0.053853980069158314, 0.04102632186329341, 0.02819866365742851, 0.015371005451563606, 0.0025433472456987023, 0.0, 0.010284310960166201, 0.023111969166031105, 0.03593962737189601, 0.048767285577760916, 0.061594943783625816, 0.07442260198949072, 0.08725026019535562, 0.10007791840122052, 0.11290557660708542, 0.12573323481295032, 0.13856089301881522, 0.15138855122468012, 0.1594533319918207, 0.16421620943054502, 0.17704386763640992, 0.18987152584227482, 0.20269918404813972, 0.21552684225400462, 0.22835450045986952, 0.24118215866573442, 0.25400981687159935, 0.26683747507746425, 0.27966513328332915, 0.29249279148919405, 0.30532044969505895, 0.31814810790092385, 0.33097576610678875, 0.34380342431265365, 0.35663108251851855, 0.36945874072438345, 0.38228639893024835, 0.39511405713611325, 0.4, 0.3920582846580219, 0.379230626452157, 0.3664029682462921, 0.3535753100404272, 0.3407476518345623, 0.3279199936286974, 0.3150923354228325, 0.3022646772169676, 0.2894370190111027, 0.2766093608052378, 0.2637817025993729, 0.250954044393508, 0.24900491316506748, 0.2381263861876431, 0.2252987279817782, 0.2124710697759133, 0.1996434115700484, 0.1868157533641835, 0.1739880951583186, 0.1611604369524537, 0.1483327787465888, 0.1355051205407239, 0.12267746233485899, 0.10984980412899409, 0.09702214592312919, 0.08419448771726429, 0.07136682951139939, 0.05853917130553449, 0.04571151309966959, 0.03288385489380469, 0.020056196687939783, 0.00722853848207488, 0.0, 0.005599119723790025, 0.018426777929654928, 0.03125443613551983, 0.04408209434138473, 0.05690975254724963, 0.06973741075311453, 0.08256506895897943, 0.09539272716484433, 0.10822038537070923, 0.12104804357657413, 0.13387570178243904, 0.1425368416780444, 0.14670335998830397, 0.15953101819416887, 0.17235867640003377, 0.18518633460589867, 0.19801399281176357, 0.21084165101762847, 0.22366930922349337, 0.23649696742935827, 0.24932462563522317, 0.2621522838410881, 0.274979942046953, 0.2878076002528179, 0.3006352584586828, 0.3134629166645477, 0.3262905748704126, 0.3391182330762775, 0.3519458912821424, 0.3647735494880073, 0.3776012076938722, 0.3904288658997371, 0.4, 0.39674347589439807, 0.38391581768853317, 0.37108815948266827, 0.35826050127680337, 0.34543284307093847, 0.33260518486507357, 0.31977752665920867, 0.30694986845334377, 0.29412221024747887, 0.28129455204161397, 0.26846689383574907, 0.2659214034788438, 0.25563923562988417, 0.24281157742401926, 0.22998391921815436, 0.21715626101228946, 0.20432860280642456, 0.19150094460055966, 0.17867328639469476, 0.16584562818882986, 0.15384209945557525, 0.16723286356809294, 0.17652762817316014, 0.18154300094251855, 0.18952378283115004];[0.0069900000000000006, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.00561210593280767, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.002599082508748694, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.0026662388019950646, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.0010636328455372746, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0030554164632021806, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.004726348199823239, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.005222928271600552, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.005610936445890778, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0, 0.007, 0.0004497240428213455, 0.007, 0.0024533383899061293, 0.0, 0.0039039089394250293];[0.0772278828238849, 0.07724660391892185, 0.0903513704447856, 0.10345613697064934, 0.11656090349651309, 0.12966567002237683, 0.1427704365482406, 0.15587520307410435, 0.1689799695999681, 0.18208473612583187, 0.19518950265169563, 0.2082942691775594, 0.22139903570342315, 0.2345038022292869, 0.23710209190259932, 0.24760856875515064, 0.26071333528101437, 0.2738181018068781, 0.28692286833274183, 0.30002763485860556, 0.3131324013844693, 0.326237167910333, 0.33934193443619676, 0.3524467009620605, 0.3655514674879242, 0.37865623401378795, 0.3917610005396517, 0.4, 0.39513423293448463, 0.3820294664086209, 0.36892469988275717, 0.35581993335689344, 0.3427151668310297, 0.329610400305166, 0.31650563377930224, 0.3034008672534385, 0.2902961007275748, 0.27719133420171105, 0.2640865676758473, 0.2509818011499836, 0.23787703462411983, 0.22477226809825607, 0.2116675015723923, 0.19856273504652855, 0.1854579685206648, 0.17235320199480103, 0.15924843546893727, 0.1542569444686024, 0.1461436689430735, 0.13303890241720975, 0.11993413589134601, 0.10682936936548226, 0.09372460283961852, 0.08061983631375477, 0.06751506978789103, 0.05441030326202728, 0.04130553673616354, 0.02820077021029979, 0.015096003684436044, 0.0019912371585722975, 0.0, 0.01111352936729145, 0.024218295893155196, 0.03732306241901894, 0.05042782894488269, 0.06353259547074644, 0.07663736199661018, 0.08974212852247393, 0.10284689504833767, 0.11595166157420142, 0.12905642810006518, 0.14216119462592894, 0.1552659611517927, 0.16837072767765646, 0.18147549420352022, 0.19458026072938397, 0.20768502725524773, 0.2207897937811115, 0.23389456030697525, 0.246999326832839, 0.2543840191601963, 0.2601040933587027, 0.27320885988456645, 0.2863136264104302, 0.2994183929362939, 0.31252315946215764, 0.32562792598802137, 0.3387326925138851, 0.35183745903974883, 0.36494222556561257, 0.3780469920914763, 0.39115175861734003, 0.4, 0.3957434748567963, 0.38263870833093255, 0.3695339418050688, 0.3564291752792051, 0.34332440875334136, 0.3302196422274776, 0.3171148757016139, 0.30401010917575017, 0.29090534264988643, 0.2778005761240227, 0.26469580959815897, 0.25159104307229524, 0.23848627654643148, 0.22538151002056772, 0.21227674349470396, 0.1991719769688402, 0.18606721044297644, 0.17296244391711268, 0.15985767739124893, 0.14675291086538517, 0.1369750172110054, 0.13364814433952144, 0.12054337781365769, 0.10743861128779394, 0.0943338447619302, 0.08122907823606645, 0.06812431171020271, 0.055019545184338964, 0.04191477865847522, 0.028810012132611473, 0.015705245606747728, 0.002600479080883981, 0.0, 0.010504287444979768, 0.023609053970843515, 0.03671382049670726, 0.049818587022571005, 0.06292335354843476, 0.0760281200742985, 0.08913288660016225, 0.10223765312602599, 0.11450048699728384, 0.2830245130604089, 0.4, 0.33688106188730926, 0.23644217104413578];6.131709177014439e-09;False;2.903158394469489
6;380;3.032922897953049;0;[];0;0;380;[];[0.2323033191792014, 0.00199764510631025, 0.1798881854139542];False;6;0.27532653351515757;[0.13354240180029894, 0.13276390856000708, 0.06382594660924419, 0.0, 0.19396780448624668, 0.4, 0.38781864035567454, 0.34823844441826246, 0.2323033191792014];[0.0069900000000000006, 0.007, 0.0061144693571788256, 0.0052946042214801255, 0.002803024404890883, 0.0001564735441987649, 0.0, 0.0005084205473970599, 0.00199764510631025];[0.10817400327943666, 0.10696607137731153, 0.0, 0.0990341252850649, 0.4, 0.08031467847731383, 0.06141373988968558, 0.0, 0.1798881854139542];2.7328759532547056e-09;False;1.294487047107808
7;380;1.257296680085383;0;[];0;0;380;[0.039476445170038066, 0.007, 0.05266540473252892];[];False;0;;[0.03948917096802667, 0.039476445170038066];[0.0069900000000000006, 0.007];[0.05265058632880246, 0.05266540473252892];4.632701801607539e-14;False;2.194381515250169e-05
8;380;0.12579946765752437;0.46190310440192445;[[0.06415574530418158, 0.003744559673325276, 0.22837022649509586]];3.191485182004629;1.046482483292325;433.55285670546846;[0.05794212253204849, 0.007, 0.020195562002331073];[];False;4;;[0.038631918842804154, 0.0385363429500952, 0.0, 0.02836678194617764, 0.06415574530418158, 0.06199025114107044, 0.058446969175314556, 0.05794212253204849];[0.0069900000000000006, 0.007, 0.002967985037038317, 0.0, 0.003744559673325276, 0.0, 0.0061270221763739105, 0.007];[0.15664476652197423, 0.15671145959184582, 0.1836022051566539, 0.2033966085019555, 0.22837022649509586, 0.1417431839661668, 0.0, 0.020195562002331073];8.71393679706224e-10;False;0.3746749503428938
9;380;1.1657182747920445;0;[];0;0;380;[0.0719563732356261, 0.007, 0.11651038719919639];[];False;1;;[0.08925016714206026, 0.08060945095864534, 0.0719563732356261];[0.0069900000000000006, 0.0, 0.007];[0.11439229225744944, 0.11545058272512715, 0.11651038719919639];4.717316864442272e-11;False;0.022344613083704827
