Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;1.073932124650726;2.58961387821321;[[0.23449956963250795, 0.017723084251517623, 0.08516367050407]];4.924751778411374;-0.404299190356467;444.1743259711958;[];[0.11963046343216269, 0.014755239534954332, 0.1682147208222606];False;19;0.2523603297418939;[0.09449080518565288, 0.09447263553674923, 0.052682443058347, 0.010892250579944779, 0.0, 0.030897941898457442, 0.07268813437685967, 0.1144783268552619, 0.15626851933366412, 0.19805871181206636, 0.23984890429046857, 0.2816390967688708, 0.3, 0.276570710752727, 0.23478051827432478, 0.2309481508298095, 0.19299032579592254, 0.1512001333175203, 0.10940994083911808, 0.06761974836071585, 0.02582955588231363, 0.0, 0.015960636596088595, 0.05775082907449082, 0.09954102155289304, 0.14133121403129528, 0.1831214065096975, 0.2249115989880997, 0.23449956963250795, 0.22216658602786443, 0.16841196184452775, 0.11465733766119107, 0.06090271347785439, 0.007148089294517712, 0.0, 0.04660653488881897, 0.10036115907215565, 0.11963046343216269];[0.02299, 0.023, 0.0, 0.023, 0.017005249833003205, 0.0, 0.023, 0.0, 0.023, 0.0, 0.023, 0.0, 0.010105260331936088, 0.023, 0.0, 0.002109213813011407, 0.023, 0.0, 0.023, 0.0, 0.023, 0.008784229503124626, 0.0, 0.023, 0.0, 0.023, 0.0, 0.023, 0.017723084251517623, 0.023, 0.0, 0.023, 0.0, 0.023, 0.019941545843327253, 0.0, 0.023, 0.014755239534954332];[0.08481509768901985, 0.0848117731609915, 0.0771653586958025, 0.0695189442306135, 0.067525972735304, 0.0618725297654245, 0.054226115300235495, 0.04657970083504649, 0.03893328636985749, 0.03128687190466849, 0.023640457439479484, 0.01599404297429048, 0.012634520853568015, 0.008347628509101477, 0.000701214043912473, 0.0, 0.006945200421276532, 0.014591614886465536, 0.022238029351654538, 0.02988444381684354, 0.03753085828203254, 0.04225693102816798, 0.04517727274722155, 0.052823687212410556, 0.06047010167759956, 0.06811651614278856, 0.07576293060797756, 0.08340934507316657, 0.08516367050407, 0.08805601836019103, 0.10066262492007702, 0.11326923147996301, 0.125875838039849, 0.138482444599735, 0.1401588240881968, 0.15108905115962099, 0.16369565771950698, 0.1682147208222606];3.1777143311819963e-09;False;1.4679681327006204
1;380;2.1146774002421678;0;[];0;0;380;[];[0.13771884433202977, 0.013329923146477421, 0.11624239775600229];False;20;0.27532653351515757;[0.065280450215018, 0.06525982818113736, 0.017829150255693066, 0.0, 0.029601527669751233, 0.07703220559519552, 0.12446288352063982, 0.17189356144608411, 0.2193242393715284, 0.2667549172969727, 0.3, 0.28581440477758296, 0.23838372685213866, 0.19095304892669435, 0.14352237100125004, 0.09609169307580574, 0.04866101515036145, 0.0012303372249171524, 0.0, 0.04620034070052714, 0.09363101862597144, 0.14106169655141573, 0.18849237447686001, 0.23592305240230432, 0.28335373032774863, 0.3, 0.26921559174680704, 0.22178491382136273, 0.17435423589591842, 0.1269235579704741, 0.07949288004502982, 0.03206220211958552, 0.0, 0.015368475805858775, 0.06279915373130307, 0.11022983165674737, 0.13771884433202977];[0.02299, 0.023, 0.0, 0.008645679838806547, 0.023, 0.0, 0.023, 0.0, 0.023, 0.0, 0.016121146389084948, 0.023, 0.0, 0.023, 0.0, 0.023, 0.0, 0.023, 0.022403387060636673, 0.0, 0.023, 0.0, 0.023, 0.0, 0.023, 0.014927920510358279, 0.0, 0.023, 0.0, 0.023, 0.0, 0.023, 0.007452453960079904, 0.0, 0.023, 0.0, 0.013329923146477421];[0.101617831853358, 0.10161804681304808, 0.10211245410022472, 0.10229830136609004, 0.10260686138740138, 0.10310126867457803, 0.10359567596175467, 0.10409008324893132, 0.10458449053610797, 0.10507889782328461, 0.10542543748643265, 0.10557330511046126, 0.1060677123976379, 0.10656211968481455, 0.1070565269719912, 0.10755093425916784, 0.10804534154634449, 0.10853974883352113, 0.10855257360677527, 0.10903415612069778, 0.10952856340787442, 0.11002297069505107, 0.11051737798222772, 0.11101178526940436, 0.11150619255658101, 0.11167970972711788, 0.11200059984375767, 0.11249500713093431, 0.11298941441811096, 0.1134838217052876, 0.11397822899246425, 0.1144726362796409, 0.11480684584746051, 0.11496704356681756, 0.1154614508539942, 0.11595585814117085, 0.11624239775600229];3.2919850669180533e-09;False;1.5593214259588388
2;380;2.4928128124385145;0;[];0;0;380;[0.05680506905111124, 0.023, 0.07907205613312795];[];False;1;;[0.06919549072796961, 0.0630016269673483, 0.05680506905111124];[0.02299, 0.0, 0.023];[0.028031659598457097, 0.05354630879028321, 0.07907205613312795];1.473848039993181e-10;False;0.06981206720723003
3;380;1.7279433274786542;0;[];0;0;380;[0.0661815097681824, 0.023, 0.06326482826165253];[];False;1;;[0.1009523698541893, 0.08357072007429588, 0.0661815097681824];[0.02299, 0.0, 0.023];[0.03470551300683332, 0.04898206568585688, 0.06326482826165253];1.3583387079490137e-10;False;0.06434071260830748
4;380;3.6629613256655973;0;[];0;0;380;[];[0.18333486746343358, 0.009745992527056662, 0.13405567663541798];False;10;0.27532653351515757;[0.05283276985915863, 0.0, 0.030096327299029564, 0.04824991263534302, 0.1493765632388027, 0.2505032138422624, 0.3, 0.24837013555427792, 0.14724348495081824, 0.04611683434735857, 0.0, 0.055009816256101116, 0.15613646685956079, 0.25726311746302044, 0.3, 0.24161023193351985, 0.18333486746343358];[0.02299, 0.010973843037326143, 0.004128807393932665, 0.0, 0.023, 0.0, 0.011257428925358061, 0.023, 0.0, 0.023, 0.012511299111957738, 0.0, 0.023, 0.0, 0.009719972850726469, 0.023, 0.009745992527056662];[0.011268465182850133, 0.004089510532761069, 0.0, 0.0024667221918012756, 0.016207883984623476, 0.029949045777445678, 0.036674704570251834, 0.043690207570267876, 0.057431369363090075, 0.07117253115591228, 0.07743891967326474, 0.08491369294873448, 0.09865485474155668, 0.11239601653437888, 0.11820313477627764, 0.12613717832720106, 0.13405567663541798];2.3357850768416737e-09;False;1.1063961842828134
5;380;2.4523476498483947;2.0354671223721694;[[0.2944882189329664, 0.022449724042819648, 0.10935000183034828]];0.08822660415838508;0.45494106364065684;459.3721671579427;[];[0.18418442957391817, 0.010201337632547587, 0.16373386602135512];True;36;0.23373679830588984;[0.10816325255354792, 0.10814492732753954, 0.06599690750826914, 0.023848887688998746, 0.0, 0.01829913213027165, 0.06044715194954205, 0.10259517176881244, 0.13324436729317712, 0.14474319158808283, 0.1868912114073532, 0.22903923122662362, 0.27118725104589403, 0.3, 0.28666472913483554, 0.24451670931556513, 0.20236868949629472, 0.173099316574489, 0.16022066967702434, 0.11807264985775394, 0.07592463003848354, 0.033776610219213146, 0.0, 0.008371409600057247, 0.05051942941932765, 0.09266744923859804, 0.12055699955784488, 0.13481546905786845, 0.17696348887713886, 0.21911150869640927, 0.2612595285156797, 0.3, 0.2965924516650499, 0.2544444318457795, 0.21229641202650906, 0.18578668430982115, 0.17014839220723865, 0.12800037238796824, 0.08585235256869785, 0.04370433274942745, 0.0015563129301570527, 0.0, 0.040591706889113344, 0.08273972670838374, 0.10786963182251272, 0.12488774652765415, 0.16703576634692455, 0.20918378616619493, 0.25133180598546534, 0.29347982580473575, 0.2944882189329664, 0.2956131510102656, 0.3, 0.2903629075610953, 0.2665251834833988, 0.25736782618805026, 0.24268745940570233, 0.21884973532800583, 0.21034880338636608, 0.19501201125030937, 0.18418442957391817];[0.02299, 0.023, 0.0, 0.023, 0.00998576067869785, 0.0, 0.023, 0.0, 0.016725139166279115, 0.023, 0.0, 0.023, 0.0, 0.015722997872404165, 0.023, 0.0, 0.023, 0.00702782431800647, 0.0, 0.023, 0.0, 0.023, 0.0045682435764938314, 0.0, 0.023, 0.0, 0.015219212197707964, 0.023, 0.0, 0.023, 0.0, 0.021140514974608154, 0.023, 0.0, 0.023, 0.00853375128657761, 0.0, 0.023, 0.0, 0.023, 0.0, 0.0008492735257101302, 0.023, 0.0, 0.01371328522913681, 0.023, 0.0, 0.023, 0.0, 0.023, 0.022449724042819648, 0.023, 0.020854112638847157, 0.01613999667285415, 0.004479446939621908, 0.0, 0.007181102793610336, 0.01884165252684258, 0.023, 0.015497797739925176, 0.010201337632547587];[0.05337739399624904, 0.05339611509128599, 0.09645463367626686, 0.13951315226124775, 0.16387723337801635, 0.18257167084622863, 0.22563018943120952, 0.2686887080161904, 0.3, 0.2882527733988287, 0.24519425481384782, 0.20213573622886694, 0.15907721764388605, 0.12964204390038475, 0.11601869905890516, 0.07296018047392427, 0.029901661888943394, 0.0, 0.013156856696037488, 0.056215375281018366, 0.09927389386599925, 0.14233241245098013, 0.1768386788212141, 0.18539093103596102, 0.2284494496209419, 0.27150796820592277, 0.3, 0.2854335132090963, 0.24237499462411544, 0.19931647603913455, 0.15625795745415366, 0.11668059845718706, 0.11319943886917279, 0.07014092028419192, 0.027082401699211035, 0.0, 0.01597611688576985, 0.05903463547075073, 0.1020931540557316, 0.1451516726407125, 0.18821019122569338, 0.18980012426441173, 0.23126870981067427, 0.27432722839565515, 0.3, 0.28261425301936394, 0.23955573443438305, 0.19649721584940216, 0.15343869726442128, 0.11038017867944039, 0.10935000183034828, 0.12350737784870393, 0.17871628506781526, 0.3, 0.0, 0.1152462030204873, 0.3, 0.0, 0.10698502819227067, 0.3, 0.16373386602135512];8.431275533405889e-09;False;3.9852258241712306
6;380;3.032922897953049;0;[];0;0;380;[];[0.1757795144076652, 0.016375123654233048, 0.12668153725291975];False;5;0.27532653351515757;[0.09230015294288728, 0.0915216597025954, 0.044114412758334914, 0.0, 0.14923090056328325, 0.3, 0.2574237861150986, 0.1757795144076652];[0.02299, 0.023, 0.022391038425375605, 0.021824374381615972, 0.019907454711159647, 0.01797077637365495, 0.017423870996943692, 0.016375123654233048];[0.0747663432178441, 0.07355841131571897, 0.0, 0.06844915762445188, 0.3, 0.06606244519733218, 0.0, 0.12668153725291975];2.0129893889205844e-09;False;0.9534968781952236
7;380;1.257296680085383;0;[];0;0;380;[0.02728090132568146, 0.023, 0.03640518659515941];[];False;0;;[0.027293627123670068, 0.02728090132568146];[0.02299, 0.023];[0.036390368191432945, 0.03640518659515941];4.632701801607539e-14;False;2.1943815152503704e-05
8;380;0.12579946765752437;0.46190310440192445;[[0.07608654173494257, 0.012255440326674728, 0.17999321398058865], [0.06455430233127593, 0.007686039705791432, 0.28133511019275576]];3.191485182004629;1.046482483292325;433.55285670546846;[];[];False;3;;[0.02670112241204314, 0.026605546519334184, 0.0, 0.07608654173494257, 0.07158708933652537, 0.06899917050600352, 0.06455430233127593];[0.02299, 0.023, 0.020216291078718886, 0.012255440326674728, 0.004475013904765667, 0.0, 0.007686039705791432];[0.10826775400746703, 0.10833444707733862, 0.1268998564362543, 0.17999321398058865, 0.0, 0.10352544856133473, 0.28133511019275576];1.5828385999711304e-09;False;0.5877025720594489
9;380;1.1657182747920445;0;[];0;0;380;[0.004836084197296333, 0.023, 0.08602713715873984];[];False;1;;[0.06168680483753268, 0.03326762528721666, 0.004836084197296333];[0.02299, 0.0, 0.023];[0.07906422176410495, 0.08254492245822663, 0.08602713715873984];1.5507462658734816e-10;False;0.07345452149532417
