Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;0.014319094995343014;2.265912143436559;[[0.06366670317827325, 0.0023735983112768907, 0.06359985403960441]];4.924751778411374;-0.404299190356467;444.1743259711958;[];[0.09605995069174651, 0.006715868298707362, 0.10105916313269316];False;6;0.2523603297418939;[0.07338025889752668, 0.06591091000368575, 0.06366670317827325, 0.05051691586167318, 0.031819655276164774, 0.013122394690656364, 0.0, 0.005574865894852047, 0.024272126480360458, 0.042969387065868864, 0.06166664765137728, 0.08036390823688569, 0.09605995069174651];[0.0079, 0.0, 0.0023735983112768907, 0.008, 0.0, 0.008, 0.0023853187987005666, 0.0, 0.008, 0.0, 0.008, 0.0, 0.006715868298707362];[0.06586623761551229, 0.06412347624727588, 0.06359985403960441, 0.0666837597977614, 0.07106866642728696, 0.07545357305681252, 0.07853105465959383, 0.07983847968633809, 0.08422338631586365, 0.08860829294538922, 0.09299319957491478, 0.09737810620444035, 0.10105916313269316];4.219941873057439e-10;False;0.1920449222160357
1;380;0.02819569866989557;0;[];0;0;380;[0.037696172541129606, 0.008, 0.079107638522323];[];False;1;;[0.05069589922864221, 0.04423691552855733, 0.037696172541129606];[0.0079, 0.0, 0.008];[0.07891500972347464, 0.07901071837195904, 0.079107638522323];4.3360680480268674e-11;False;0.020538743871137133
2;380;0.03323750416584686;8.018622266626776;[[0.07637966961094979, 0.006674226317495972, 0.046069318478172736]];1.948714650604693;0.47761625574098604;501.7887052523518;[];[0.11573014146893096, 0.004544035414045336, 0.0882992307732754];False;0;0.27532653351515757;[0.05373626581108632, 0.07637966961094979];[0.0079, 0.006674226317495972];[0.021769001064396085, 0.046069318478172736];1.9211341469520233e-10;False;0.03323750416584686
3;380;0.0188777084173475;7.01672615390343;[[0.05673494041633106, 0.004984655838326201, 0.02749975679844748]];6.073366927803459;-0.045996664316686066;506.3272559178258;[];[0.11571572217333113, 0.0030775901831027594, 0.16183502480002793];False;5;0.18846145777887674;[0.05943820368345185, 0.057780745379697226, 0.05673494041633106, 0.009403053596112515, 0.0, 0.00877453493656047, 0.04377878357759207, 0.09696062075129666, 0.11571572217333113];[0.0079, 0.0, 0.004984655838326201, 0.00716330141311558, 0.007596115790122985, 0.008, 0.006388784886385847, 0.003940871185887274, 0.0030775901831027594];[0.041029201972840795, 0.032733860737588064, 0.02749975679844748, 0.25, 0.205797627085541, 0.1645498280112972, 0.0, 0.25, 0.16183502480002793];1.7990047983214975e-09;False;0.8477204771568891
4;380;0.025438230803893326;0.004002154906291032;[[0.0026561204915573344, 0.0067835222522410815, 0.07243202602434513], [0.0007037837234103728, 0.005583677121902121, 0.074245492104368]];5.182653841118659;0.3429920905438974;444.1743259711958;[];[];False;2;;[0.022636781773061273, 0.0, 0.0026561204915573344, 0.0, 0.0007037837234103728];[0.0079, 0.006900768560836461, 0.0067835222522410815, 0.005835003177443818, 0.005583677121902121];[0.06995691816743164, 0.07217210390750847, 0.07243202602434513, 0.07386563368328823, 0.074245492104368];4.2777122110348775e-10;False;0.029440385710184345
5;380;0.04087704553268343;0;[];0;0;380;[0.03316242016215271, 0.008, 0.06490750083807416];[];False;1;;[0.042891916595836715, 0.03805776427972957, 0.03316242016215271];[0.0079, 0.0, 0.008];[0.07539468119032267, 0.07018406956876523, 0.06490750083807416];4.515397100834003e-11;False;0.021388175532140577
6;380;0.032509259540806745;2.4820457356922483;[[0.04462002975691897, 0.005033084592161919, 0.03307723404779125]];0.5054559851533255;-0.368150838278916;450.370708338086;[];[0.08796912652858672, 0.004311719384980068, 0.11703396724195939];True;1;0.2523603297418939;[0.01660373025155774, 0.04462002975691897, 0.0576679877640743, 0.07840748898759844, 0.08796912652858672];[0.0079, 0.005033084592161919, 0.0, 0.008, 0.004311719384980068];[0.049316683359936386, 0.03307723404779125, 0.05834797809363782, 0.09851538411769073, 0.11703396724195939];3.9169992475886763e-10;False;0.12846488102255268
7;380;0.015856738833354377;3.235003395301849;[[0.0905956670537931, 0.004667110340313028, 0.01110104399579092]];3.39470202102593;1.1881427252170127;489.0345374100244;[0.08549724475707016, 0.008, 0.0416896116182517];[];False;3;;[0.0810632593253182, 0.08705556933260632, 0.0905956670537931, 0.08952354908960575, 0.08871718815994538, 0.08549724475707016];[0.0079, 0.0, 0.004667110340313028, 0.002003416405245706, 0.0, 0.008];[0.00947712681141291, 0.01049796178533952, 0.01110104399579092, 0.0, 0.008349312720854988, 0.0416896116182517];1.5747194277119188e-10;False;0.07038474002952731
8;380;0.017143981649896264;3.3206063068860012;[[0.04511121217355466, 0.007838607998509307, 0.04195246587126258]];1.189980812879952;-0.6771070840808314;428.9659788801306;[0.06481372193335981, 0.008, 0.05207331060134306];[];False;2;;[0.05106392287684542, 0.0480759575777255, 0.04511121217355466, 0.054862084889670364, 0.06481372193335981];[0.0079, 0.0, 0.007838607998509307, 0.0, 0.008];[0.03866954638334236, 0.04031740901242786, 0.04195246587126258, 0.04696132362317779, 0.05207331060134306];9.405230274164582e-11;False;0.044374146765371755
9;380;0.0418741152045799;0;[];0;0;380;[0.07374209552339675, 0.008, 0.016674991971554934];[];False;1;;[0.05706370090319875, 0.06535045043147322, 0.07374209552339675];[0.0079, 0.0, 0.008];[0.04141054320561519, 0.02912055234089343, 0.016674991971554934];7.1369446928078e-11;False;0.033805714634657105
