Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out;Total_distance_m
0;380;0.014319094995343014;2.265912143436559;[[0.10588779575452567, 0.007626401688723107, 0.10149757418661956]];4.924751778411374;-0.404299190356467;444.1743259711958;[];[0.14062249283075196, 0.005100799912103084, 0.15930949768848426];False;4;0.2523603297418939;[0.1156013514737791, 0.10588779575452567, 0.08164306190010891, 0.03957422558271498, 0.0, 0.002494610734678949, 0.04456344705207288, 0.08663228336946681, 0.12870111968686074, 0.14062249283075196];[0.017900000000000003, 0.007626401688723107, 0.018000000000000002, 0.0, 0.0169326304895756, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.005100799912103084];[0.10376395776252742, 0.10149757418661956, 0.10718348168751371, 0.11704952160394623, 0.12633052206507706, 0.12691556152037872, 0.13678160143681123, 0.14664764135324374, 0.15651368126967624, 0.15930949768848426];6.317397222715569e-10;False;0.28860797475164385
1;380;0.02819569866989557;14.217006422731629;[[0.06201890609587983, 0.0039276059949969345, 0.12458509584013146]];1.5739777634038004;0.9605249276753232;464.8436421268753;[0.07186005366642116, 0.018000000000000002, 0.12453046376008255];[];False;1;;[0.07986500120139378, 0.06523008876702424, 0.06201890609587983, 0.07186005366642116];[0.017900000000000003, 0.0, 0.0039276059949969345, 0.018000000000000002];[0.12432065398324141, 0.12453751281968077, 0.12458509584013146, 0.12453046376008255];1.3415570522211684e-10;False;0.04536786927239624
2;380;0.04582069866643872;1.9931269507859886;[[0.1390429845697087, 0.01403470649574027, 0.10651423234635843]];2.966560172624361;-0.9249614865221232;473.2693773900932;[0.16318603260033795, 0.018000000000000002, 0.12031919785381029];[];False;3;;[0.11091873960793312, 0.12668290468278465, 0.1390429845697087, 0.14962028119852278, 0.15037984186280898, 0.16318603260033795];[0.017900000000000003, 0.0, 0.01403470649574027, 0.0, 0.0010078388990175926, 0.018000000000000002];[0.12350651861517889, 0.11398202449614078, 0.10651423234635843, 0.007136371128723187, 0.0, 0.12031919785381029];5.950598093288351e-10;False;0.2761737195818422
3;380;0.04009557802230531;0.049494261353045646;[[0.08190931100030546, 0.005888162354675132, 0.1572218890980441], [0.03556544112451289, 0.001352770218479324, 0.17399561408655298]];5.058139014558932;0.09755326393340501;428.9659788801306;[];[];False;1;;[0.08363042666445646, 0.08233532997186777, 0.08190931100030546, 0.03556544112451289];[0.017900000000000003, 0.0, 0.005888162354675132, 0.001352770218479324];[0.12499121318826828, 0.1492439944743184, 0.1572218890980441, 0.17399561408655298];2.634043831101164e-10;False;0.08958983937535095
4;380;2.2869456607377323e-05;1.376708877517115;[[0.09853674773918811, 0.017884276446335275, 0.0546127841660277], [0.07550865778326087, 0.0008933515648138208, 0.281812439827012]];5.4513090114444696;-0.5377190278181729;455.86529629651864;[];[];False;19;;[0.09852757156870133, 0.09853674773918811, 0.09834268922246436, 0.06815822641943522, 0.03797376361640609, 0.007789300813376952, 0.0, 0.02239516198965218, 0.052579624792681315, 0.08276408759571045, 0.11294855039873959, 0.14313301320176872, 0.17331747600479785, 0.17991658997877974, 0.203501938807827, 0.23368640161085613, 0.26387086441388524, 0.29405532721691435, 0.32423979001994346, 0.35000000000000003, 0.3455757471770275, 0.3153912843739984, 0.28520682157096927, 0.25502235876794016, 0.22483789596491102, 0.19465343316188188, 0.19014811500131976, 0.16446897035885275, 0.1342845075558236, 0.10410004475279447, 0.07391558194976533, 0.04373111914673619, 0.013546656343707057, 0.0, 0.016637806459322075, 0.04682226926235121, 0.07550865778326087];[0.017900000000000003, 0.017884276446335275, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.004645019378205226, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.003935271344956767, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.018000000000000002, 0.002638329240218059, 0.0, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.018000000000000002, 0.015313328800339632, 0.0, 0.018000000000000002, 0.0, 0.018000000000000002, 0.0, 0.018000000000000002, 0.009921677858641344, 0.0, 0.018000000000000002, 0.0008933515648138208];[0.0545989429305024, 0.0546127841660277, 0.054818644169120766, 0.08683874671808563, 0.11885884926705048, 0.15087895181601535, 0.1591419516400187, 0.18289905436498022, 0.2149191569139451, 0.24693925946290995, 0.2789593620118748, 0.3109794645608397, 0.34299956710980456, 0.35000000000000003, 0.32498033034123064, 0.29296022779226577, 0.2609401252433009, 0.22892002269433603, 0.19689992014537117, 0.16957312719805712, 0.1648798175964063, 0.13285971504744143, 0.10083961249847656, 0.06881950994951169, 0.03679940740054683, 0.00477930485158197, 0.0, 0.02724079769738289, 0.05926090024634775, 0.09128100279531262, 0.12330110534427749, 0.15532120789324236, 0.18734131044220723, 0.2017117939638671, 0.2193614129911721, 0.25138151554013694, 0.281812439827012];2.9664056168571076e-09;False;1.3767317469737224
5;380;0.06855508855301445;0;[];0;0;380;[0.08060322637618715, 0.018000000000000002, 0.033318671464742884];[];False;1;;[0.11916751167567484, 0.09993907972969072, 0.08060322637618715];[0.017900000000000003, 0.0, 0.018000000000000002];[0.02615708482667727, 0.02972790379106096, 0.033318671464742884];1.122556846186925e-10;False;0.05317238403377079
6;380;0.01418311848966999;4.291304130899948;[[0.10488173003290421, 0.009902349077460963, 0.05076968481993242]];0.6852306551869657;0.10271501054700988;511.9184981959861;[];[0.1781297072240613, 0.01745258713220456, 0.1408610015765321];True;0;0.15546335832333966;[0.10995526934441423, 0.10488173003290421, 0.1781297072240613];[0.017900000000000003, 0.009902349077460963, 0.01745258713220456];[0.061327034329529594, 0.05076968481993242, 0.1408610015765321];3.1266365289496915e-10;False;0.13053911366060025
7;380;0.018485733687439138;1.7009030004287715;[[0.0932515906848631, 0.01581125579651697, 0.1129890747600226]];2.795948511750474;0.19378429057174132;464.8436421268753;[];[0.18180251364544586, 0.002810893503361743, 0.13760792242297296];False;1;0.23373679830588984;[0.07494466076086123, 0.0932515906848631, 0.10440459934442624, 0.1331773957301488, 0.18180251364544586];[0.017900000000000003, 0.01581125579651697, 0.018000000000000002, 0.012353425767920586, 0.002810893503361743];[0.11150051358458392, 0.1129890747600226, 0.08142632661242188, 0.0, 0.13760792242297296];8.967545161495117e-10;False;0.284835335994747
8;380;0.018974893182205722;4.960137716265885;[[0.06595966914361012, 0.009360846205780782, 0.028696892671217823]];2.9941325274090542;-0.9620250205083175;469.2708302065761;[0.08503268343123485, 0.018000000000000002, 0.19584178372997782];[];False;2;;[0.07880662383917325, 0.06595966914361012, 0.06839727255653225, 0.0724850357965389, 0.08503268343123485];[0.017900000000000003, 0.009360846205780782, 0.005864026506184443, 0.0, 0.018000000000000002];[0.03974610887893758, 0.028696892671217823, 0.0, 0.04812353902278032, 0.19584178372997782];5.632122164494618e-10;False;0.245977124402767
9;380;0.05130042155391339;0;[];0;0;380;[];[0.1474665966034684, 0.008810845725427733, 0.15003821950891413];False;0;0.27532653351515757;[0.12002986376563789, 0.1474665966034684];[0.017900000000000003, 0.008810845725427733];[0.12641086108304583, 0.15003821950891413];7.8812911485707e-11;False;0.03733147600116973
